"","Achanthes.hungarica","Achanthes.zeigleri","Achnanthes.spp","Achnanthidium.exiguum","Achnanthidium.minutissimum.var.minutissima","Adlafia.bryophila","Amphora.coffeaeformis","Amphora.inarensis","Amphora.ovalis","Amphora.pediculus","Amphora.spp","Amphora.veneta","Aulacoseira.granulata","Aulacoseira.spp","Brachysira.vitrea","Caloneis.bacillum","Cavinula.pseudoscutiformis","Cocconeis.diminuta","Cocconeis.placentula.var.placentula","Cocconeis.titicaensis","Craticula.halophila","Craticula.subminuscula","Cyclostephanos.andinus","Cyclotella.meneghiniana","Cymatopleura.solea","Cymbella.aspera","Cymbella.cymbiformis.cystula","Cymbella.tumida","Denticula.elegans","Denticula.kuetzingii","Denticula.sp.1","Diatoma.mesodon","Diatoma.moniliformis","Diatoma.vulgaris","Diploneis.subovalis","Discostella.stelligera","Encyonema.alpinum","Encyonema.evergladianum","Encyonema.minutum","Encyonema.neogracile","Encyonema.silesiacum","Encyonema.sp.1","Encyonema.tenuissimum","Encyonopsis.angusta","Encyonopsis.descripta","Encyonopsis.falaisensis","Encyonopsis.microcephala","Encyonopsis.spp","Encyonopsis.subminuta","Eolimna.minima","Epithemia.adnata","Epithemia.argus","Epithemia.sorex","Epithemia.spp","Epithemia.turgida","Eunotia.bilunatum","Eunotia.spp","Fistulifera.pelliculosa","Fragilaria.capucina","Fragilaria.capucina.var.gracilis","Fragilaria.capucina.var.septentrionalis","Fragilaria.crotonensis","Fragilaria.fonticola","Fragilaria.spp","Fragilaria.vaucheriae","Fragilariforma.virescens","Frankophila.similioides","Frustulia.spp","Frustulia.vulgaris","Geissleria.modica","Gomphonema..pumilum","Gomphonema.acuminatum","Gomphonema.angustatum","Gomphonema.gracile","Gomphonema.minutum","Gomphonema.parvulum","Gomphonema.pseudoaugur","Gomphonema.spp","Gomphonema.truncatum","Hannaea.arcus","Hantzschia.amphioxys","Hantzschia.elongata","Hyppodonta.capitata","Melosira.varians","Navicula.capitatoradiata","Navicula.cincta","Navicula.cryptocephala","Navicula.cryptotenella","Navicula.diluviana","Navicula.erifuga","Navicula.gregaria","Navicula.laterorostrata","Navicula.margalithii","Navicula.menisculus","Navicula.porifera.var.opportuna","Navicula.radiosa","Navicula.radiosafallax","Navicula.spp","Navicula.tripunctata","Navicula.veneta","Navicymbula.pusilla","Neidium.ampliatum","Neidium.bisulcatum","Nitzschia.aequorea","Nitzschia.amphibia","Nitzschia.archibaldii","Nitzschia.dissipata","Nitzschia.fonticola","Nitzschia.frustulum","Nitzschia.holsatica","Nitzschia.incognita","Nitzschia.inconspicua","Nitzschia.lacuum","Nitzschia.liebertruthii","Nitzschia.linearis","Nitzschia.microcephala","Nitzschia.modesta","Nitzschia.palea","Nitzschia.paleacea","Nitzschia.perminuta","Nitzschia.pumila","Nitzschia.pusilla","Nitzschia.rostellata","Nitzschia.sigma","Nitzschia.sigmoidea","Nitzschia.solita","Nitzschia.spp","Nitzschia.supralitorea","Odontidium.hyemale","Pinnularia.borealis","Pinnularia.microstauron","Pinnularia.obscura","Pinnularia.spp","Pinnularia.viridis","Placoneis.elginesis","Placoneis.gastrum","Placoneis.spp","Planothidium.delicatulum","Planothidium.distinctum","Planothidium.lanceolatum","Psammothidium.chlidanos","Psammothidium.marginulatum","Pseudostaurosira.brevistriata","Pseudostaurosira.pseudoconstruens","Pseudostaurosira.spp","Pseudostaurosira.subsalina","Pseudostaurosira.zeilleri","Reimeria.sinuata","Rhopalodia.gibba","Sellaphora.pupula","Sellaphora.seminulum","Sellaphora.spp","Sellaphora.submuralis","Sellaphora.subrotundata","Sellaphora.vitabunda","Stauroneis.spp","Staurosira.construens","Staurosira.construens.var.exigua","Staurosira.construens.var.triundulata","Staurosira.construens.var.venter","Staurosira.spp","Staurosirella.leptostauron","Staurosirella.pinnata","Surirella.angusta","Surirella.spp","Synedra.acus","Synedra.rumpens","Tabellaria.flocculosa","Tabellaria.tabulata","Ulnaria.delicatissima","Ulnaria.delicatissima.var.angustissima","Ulnaria.ulna"
"JunnPln_Jnn1,CR.1",0,0,0,0,23.8235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147058823529412,0,0,0,0,0,0,0.147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588235294117647,0,0,0,0,1.17647058823529,0,0,0,0,0,0,0.147058823529412,0.147058823529412,0,0,0,0,0,0.147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58823529411765,0,0,0.294117647058824,0,0.441176470588235,0,0,0,0,0,0,0,0,0,0,0,0.147058823529412,0,0,0,0,0,0,0,0,0,0.294117647058824,0,0,0,0,0.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0.882352941176471,0,0,0.294117647058824,0,0,0,0,0,0,0,0,0,0,0.588235294117647,0,0,0,0.441176470588235,0,0,0,0,0.735294117647059,28.3823529411765,0,0.294117647058824,0,0,0,0,0,0,0,0,3.08823529411765
"JunnPln_Jnn12,Ch1",0,0,0,0,13.0641330166271,0,0,0,0,0,0.950118764845606,0,0,0,0,0,0,0,65.3206650831354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66270783847981,0,0.475059382422803,0,0,0,0,0,0,0,0,0,0,0,0.475059382422803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475059382422803,0,0,0,4.98812351543943,0.950118764845606,0,0.475059382422803,0,0.237529691211401,0,0,0,0,0.712589073634204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237529691211401,0,0,0,0,0,0,0,0,0,0.475059382422803,0,0,0,0,0.475059382422803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950118764845606,0,0,0,0,0,0,0,6.17577197149644,0,0,0,0,0,0,0,0,0,0,0,0,1.90023752969121,0,0,0,0,0,0,0,0,0,0,0
"JunnPln_Jnn2,Wrs1",0,0,0,0,3.35820895522388,0,0,1.49253731343284,0,3.98009950248756,0,1.86567164179104,0,0,0,0.248756218905473,0,0,0.248756218905473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24378109452736,0,0,0,0.124378109452736,0,0,0,0,0,0,0,1.24378109452736,0,0,0.497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0.124378109452736,0.497512437810945,0,0,0.248756218905473,0,0,0,0,0,0,0.248756218905473,0,0,0,1.49253731343284,0.497512437810945,0,0.124378109452736,0,1.49253731343284,0.497512437810945,0,0,0,1.24378109452736,0,0,0,0,0,1.24378109452736,0.248756218905473,0,0,0,0,0,0.621890547263682,3.73134328358209,0,0,0,0,0,0,0,0,1.24378109452736,0,0,6.59203980099503,0,0,0,0,0,0.746268656716418,2.7363184079602,0,0,0,2.11442786069652,0,0,0,0,0,0,0,0,20.5223880597015,35.0746268656716,0,0,0,0,0,0,0,0,0,0,4.35323383084577
"JunnPln_Jnn2,Wrs2",0,0,0,0,12.9032258064516,0,0,0.537634408602151,0,3.36021505376344,0,0.268817204301075,0,0,0,0,0,0,0.134408602150538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134408602150538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403225806451613,0,0,0,0,0,0,0,0,0,0,0,0.268817204301075,0,0,1.88172043010753,0,0,0,0,0,0,0,0.537634408602151,0,0,0,0,0,0,0,0,0,2.41935483870968,0,0,0,0,0,0.268817204301075,0,0,0,0,0,0,3.49462365591398,7.52688172043011,0,0.806451612903226,0,0.940860215053763,0,1.0752688172043,0,0.806451612903226,4.3010752688172,9.81182795698925,0.134408602150538,0,1.0752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91397849462366,7.52688172043011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3225806451613,17.8763440860215,0,0,0.134408602150538,0,0,0,0,0,0,0,0.134408602150538
"JunnPln_Jnn2,Wrs3",0,0,0,0,1.97368421052632,0,0,0.43859649122807,0,14.2543859649123,0,0,0,0,0,0,0,0,0.219298245614035,0,0.657894736842105,0,0,0,0,0,0,0,0.43859649122807,0.43859649122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219298245614035,0,0,0,0,0,0,0,0,0,0,0,0.219298245614035,0,0,1.53508771929825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2280701754386,0,0,0,0.87719298245614,0,1.09649122807018,0,0,0,0,0.43859649122807,0,0.219298245614035,0.87719298245614,0,0,0,1.31578947368421,0,0.657894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0.87719298245614,0,0,0,0,0,0,0,0,0,0,1.09649122807018,0,17.7631578947368,5.26315789473684,0,0,0,0,7.23684210526316,4.82456140350877,0,0,0,0.87719298245614,0,0,0,0,0,0,0,0,7.89473684210526,11.6228070175439,0,0,0,0,0,0,0,0,0,0,0.43859649122807
"JunnPln_Jnn3,sp21",2.47191011235955,0,0,0,4.9438202247191,0,0.224719101123596,0,0,0.898876404494382,0,0.674157303370786,0,0,0,0,0,0,17.752808988764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69662921348315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449438202247191,0,0,35.2808988764045,0,0,0,0,0,0,0,0,0,0.449438202247191,0.674157303370786,0.674157303370786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449438202247191,0,0,0,0,0.449438202247191,0,0,0,0,0,0,0,0,0,0,0,2.24719101123596,20.8988764044944,2.69662921348315,0,0,0,0,0,0,0,0,0,0.898876404494382,0,0,0,0,0.674157303370786,0,0,0,0,0,0,0,0,0,0,2.47191011235955,0,0,0,0,2.02247191011236
"JunnPln_Jnn4,Ons1",0.449438202247191,0,0.449438202247191,0,6.06741573033708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674157303370786,0,0,0,0,0,0,0,0,0,0,0,0,83.1460674157303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57303370786517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449438202247191,0.898876404494382,0,0,0,0,0,0,0,0,0,0,0.449438202247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449438202247191,0,0,0,0,0,0,0,0,0,0,0,0,4.49438202247191,0,0,0,0,0,0,0,0,0,0,0.449438202247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449438202247191
"JunnPln_Jnn4,Ons2",0,0,1.27659574468085,0,88.7234042553192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,1.27659574468085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851063829787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212765957446809,0,0,2.12765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851063829787234,0,0,0,0,0,0,0,0,0,0,0,0,3.61702127659574,0,0,0,0,0,0,0,0.638297872340425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JunnPln_Jnn5,Cns1",0,0,0,0,8.00681431005111,0,0,0,0,0,0,6.47359454855196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4701873935264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72572402044293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170357751277683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340715502555366,0,0,0,0,0,0,0,0,0.681431005110733,0,0,0,0,0,0,0,0,0,0,6.98466780238501,0.340715502555366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340715502555366,3.23679727427598,0,0,0,0.681431005110733,0,0,0,0,0,0,0,0,0,4.94037478705281,0,0,0,0,0,0,0,0,0,0,12.6064735945486
"JunnPln_Jnn5,Cns2",0,0,0,0.164473684210526,3.45394736842105,0,1.80921052631579,1.64473684210526,0,19.7368421052632,0.657894736842105,4.76973684210526,0,0,0,0,0,0,1.48026315789474,0,0,0,0,0,0,0,0,0,0,8.22368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328947368421053,0,2.13815789473684,0,0,0,0.328947368421053,0.164473684210526,0.328947368421053,0,0,0,0,0,0,0,0,0,0,0,2.96052631578947,0,0.822368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328947368421053,5.09868421052632,0,0,0.328947368421053,0,0,3.45394736842105,4.27631578947368,0,0,0,0,0,0,0.822368421052632,0,0,0,0,0,3.28947368421053,26.6447368421053,0,0,0,0,0,0,0,1.97368421052632,0,0,3.61842105263158
"JunnPln_Jnn6,CR.1",0,0,0,0,10.9913793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8879310344828,0,0,0,0,0,0,0,0.431034482758621,0,0,0,0,0,0,3.87931034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431034482758621,0,0,2.58620689655172,0,0,0,0,0,6.89655172413793,0,0,0,0,0,0.862068965517241,0,0,0,0,0,0,0,0,0,0,1.50862068965517,0,0,0.646551724137931,0,0,0,0,0,10.9913793103448,0,0,2.37068965517241,0,0,0,0,5.17241379310345,2.80172413793103,0,0,0,0,0,0,0,0,0,0,0,15.301724137931,2.37068965517241,0,0.862068965517241,0,0,0,0,1.50862068965517,0,0,0,2.1551724137931,0,0,0.862068965517241,0,0.431034482758621,0,0,0.21551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431034482758621,0.431034482758621,0,0,1.07758620689655,0,0,0,0,0,6.46551724137931
"JunnPln_Jnn6,CR.2",0,0,0,0,4.18181818181818,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,11.6363636363636,0,0,0,0,0,0,0,0.545454545454546,0,0,0.181818181818182,0,0,0,4.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454546,0,0,2.18181818181818,0,0,0,0,0,9.81818181818182,0,0,0,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0,0,0.181818181818182,0,0,0,0,0,15.4545454545455,0,0,0,0,0,0,0,3.81818181818182,6.54545454545455,0,0,0,0.363636363636364,0,0,0,0,0,0,0,21.4545454545455,4.36363636363636,0,0.545454545454546,0,0,0,0,8.36363636363636,0,0,0,0.363636363636364,0,0,0,0,0.727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0.181818181818182,0,0.181818181818182,0,0,0.181818181818182,0,0,0,0,1.81818181818182
"JunnPln_Jnn8,UpB1",0,0,1.82232346241458,0,35.3075170842825,0,0,0,0,0,0,0,0,0,0,0.455580865603645,0,0,0.227790432801822,0,0,0,0,0,0,0,0.911161731207289,0,0,0.227790432801822,0,0,0.455580865603645,0,0,0,0,0,0,0,0,0,0,0,0.455580865603645,1.59453302961276,0.683371298405467,0,0.683371298405467,0,0,0,0,0,0,0.683371298405467,0,0,2.27790432801822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1002277904328,0,0,0,0,0,0,0,0,0,0,0,19.3621867881549,0.227790432801822,0,1.36674259681093,0,0,0,0,0,0.455580865603645,0,0,0,10.250569476082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227790432801822,0,1.13895216400911,0.911161731207289,0,0,0,0,0,2.73348519362187,13.2118451025057,0.227790432801822
"JunnPln_Jnn8,UpB2",0,0,0,0,37.1747211895911,0,0,0,0,0,0,0,0,0.371747211895911,0,0,0,0,0,0,0,0,0,0,0,0,1.11524163568773,0,0,0,0.371747211895911,0.185873605947955,0,0,0,0.185873605947955,0,0,0.185873605947955,0,0.185873605947955,0,0,0,0,0.557620817843866,0,0,0.371747211895911,0,0,0,0,0,0,0.929368029739777,0.557620817843866,0,6.13382899628253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929368029739777,0.557620817843866,0,0,0,0,0,0,0.185873605947955,0,0,0,0,0.185873605947955,0,0,0,0,0,0,0,0,0,0,0.185873605947955,0,0,0.185873605947955,0,0,0,3.90334572490706,0,0,0.743494423791822,0,0,0,0,0.743494423791822,0.185873605947955,0,0,7.43494423791822,0,0,1.48698884758364,0,0,0,0,0,0.743494423791822,0,0,0,4.08921933085502,0,0,0,0,0,0,0,0,0.371747211895911,0,0,0.185873605947955,0,0.185873605947955,0,5.76208178438662,0.371747211895911,0,0,0,0,0,0,0,0.185873605947955,0,0,0,1.85873605947955,0,0,0.557620817843866,0.185873605947955,0,0.557620817843866,0,0,0,8.92193308550186,5.76208178438662,5.20446096654275
"JunnPln_Jnn9,dbS1",0,0,0,0,21.0416666666667,0,0,0,0,0,0,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0.208333333333333,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,11.0416666666667,0,0,0,0,0,0,0,10,0.833333333333333,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333333333,0,0.208333333333333,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,5.41666666666667,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,15.8333333333333,9.79166666666667,0,0.416666666666667,0,0.208333333333333,8.54166666666667,0,0,0,0,0,11.875
"JunnPln_Jnn9,dbS2",0,0,0,0,4.82625482625483,0,0,0,0,0,0,0,0,0,0,0.193050193050193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386100386100386,0,0,0,0,0,0,0,0,0.386100386100386,0,0,0,0,0,0,0,0,0,0,0,0,0.579150579150579,0,0,0,0,0,0,0.193050193050193,0.193050193050193,0,0,0,0,0,0,0,0,0.579150579150579,0,0.772200772200772,1.35135135135135,0,1.15830115830116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35135135135135,0,0,0.386100386100386,0,0,0,0,3.66795366795367,0,0,0,0.772200772200772,0,0,0,0,0,0,0,0,0,0,0,0.386100386100386,0.579150579150579,0,0,0,0,0,0,0,0,0.386100386100386,0,0,0.193050193050193,0,0,20.4633204633205,1.93050193050193,0,0,0.772200772200772,0,0,0,0,0,0,0,0,0,34.3629343629344,11.5830115830116,0,0.386100386100386,0,0,2.12355212355212,0.193050193050193,0,0,3.66795366795367,0.193050193050193,5.98455598455598
"JunnPln_L.Alcc,s3",0,0,0,0,16.7619047619048,0,0,0,0,0,0,0,0,0,0.761904761904762,0,0,0,5.14285714285714,0,0,0,0,0.19047619047619,0,0,28,0,0,26.8571428571429,0,0,0,0,0,0.19047619047619,0,0,0,0,1.14285714285714,0,0.761904761904762,0,0,0,3.61904761904762,0,0,0,0.380952380952381,0,0,0,0,0,0,0,0.761904761904762,0,0,0,0,0,0,0,0,0,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380952380952381,0,0,0,1.9047619047619,0,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0.380952380952381,0,0,0,0,0,0,0,0,0,0,3.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380952380952381,0,0,0,0,1.9047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619047619,0,1.52380952380952,4.57142857142857,0
"JunnPln_L.Ccch,s",0,0,0,0,2.42290748898678,0,0,0,0,0,0,1.3215859030837,0,0,0,0,0,0,0,0,0,0,1.3215859030837,0,0,0,1.3215859030837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3215859030837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6696035242291,0,0,0,0,0,0,0,0,0,58.5903083700441,0,0,0,0,0,0,0,0,0,0,0,0,0.440528634361234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9647577092511,3.74449339207048,0,0,0.220264317180617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440528634361234,0,0,0,0,0,0.220264317180617,0,0,0,0,0,0
"JunnPln_L.Jnn,cn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190476,0,0,0,0,0,0,0,0.238095238095238,0,0,0,0,0,7.38095238095238,34.5238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952380952,0,0,0,0,0.476190476190476,0,0,0,0,0,0,4.04761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,17.8571428571429,0,0,0,0,32.3809523809524
"JunnPln_L.Jnn,cn4",0,0,1.3136288998358,0,5.91133004926108,0,0,0,0,0,0,0,0,0,4.26929392446634,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80623973727422,1.97044334975369,0,0,0,0,0,0,0,0,0,0,0,0,0.164203612479475,0,0,0,0.821018062397373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328407224958949,0.821018062397373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164203612479475,0.328407224958949,0,0,0,0,0,0,1.14942528735632,0,0.328407224958949,0,0,0,0,0,0,0,0,0,0,0,1.3136288998358,3.61247947454844,0,0,0,0,0,0,0,0,0,0.328407224958949,0,0,0.656814449917898,0,0,0.328407224958949,0,0,0,0,0,0.656814449917898,0,0,0,0,0,0,0,0,0,0.656814449917898,0,0.985221674876847,0,0,0,0,0,0,0,0,0,2.79146141215107,0,6.40394088669951,0.164203612479475,0,55.1724137931034,2.46305418719212,0,4.76190476190476,0,0,0,0,0,0,0.328407224958949,0,0
"JunnPln_L.Jnn,sh3",0,0,0.229357798165138,0,6.19266055045872,0,0,0,0.458715596330275,0,0,0,0,0,0.229357798165138,0,0,0,0,0,0,0,0,0,0,0,5.5045871559633,0,0,27.5229357798165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2385321100917,0,0,0,0.458715596330275,12.8440366972477,0,0,0,0,0,0,0.458715596330275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8348623853211,1.37614678899083,0,0,0,0,0,0,0,0,0,1.8348623853211,0,0,0,0,0.458715596330275,0,0,7.79816513761468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458715596330275,0,0,0,0,0,0,7.56880733944954,0,0,0,0,0,0,2.29357798165138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12844036697248,0,0,0,0,0,0,0,0,0,0,1.8348623853211,0,0,0,0,0,0,0,0,0,2.98165137614679,0.917431192660551,1.37614678899083
"JunnPln_L.Jnn,sh4",0,0,0,0,15.7894736842105,0,0.18796992481203,0,0,0,0,0.37593984962406,0,0,1.50375939849624,0,0,0,0.18796992481203,0.18796992481203,0,0,0,0,0,0,6.39097744360902,0,0,11.0902255639098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37593984962406,0,0.18796992481203,0,0,0,0,0,0,0,0.37593984962406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18796992481203,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12781954887218,0,0,0,0,0,0,0,5.45112781954887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26315789473684,0,0,0,0,0,2.63157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12781954887218,0,0,0,0,0,0,0,0,0,1.50375939849624,0,0,15.6015037593985,30.4511278195489,0
"JunnPln_L.Llcc,s1",0,0,0,0,0,0,0,0,0,0,0,0.43010752688172,0,0,0,0,0,0,0,0.645161290322581,0,0,0,0,0,0,0.43010752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43010752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7849462365591,0,0,0,0,0,0,0,0,0,76.1290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0.43010752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43010752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43010752688172,0.860215053763441,0,0,0,0,0
"JunnPln_L.Llcc,s2",0,0,0,0,1.69491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33050847457627,2.11864406779661,0,0,0.635593220338983,0.211864406779661,0,0,1.48305084745763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635593220338983,0,0,0,0,0,0,0,0.211864406779661,0,0,19.7033898305085,0,0,0,0,0,0,0,0,0,60.1694915254237,0,0,0,0,0,0,0,0,0,0,0,0,0.423728813559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423728813559322,0,0,0,0,0,0,0,0,0,0,0,0,0.423728813559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54237288135593,0,0,2.54237288135593,0,0,0.423728813559322,4.02542372881356,0,0,0,0,0
