"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"441","LacCore_LagunLBr",-23.85787,-64.43757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,3.06,1.46,2.05,NA,3,5.9,0.01,3393.3,6.04,3.1,533,127.3,0.412643999,208,89,787,4010,0,0.016505778,"Southern Andean Yungas",342,11.5,0.386667,3,4,"Seasonal Tropical Forest",10,0,0,0,0,0,0,0.08,0.05,0,0,0,4.09,0,0,0,4.36,0,0,0,0,0.95,31.94,0,0,0,0,0,0,0,5.7,0,0,0,52.9,0,4.41,0,57.94,5.7,0,0,0.08,0,31.94,0.0593220338983051,0.112903225806452,1.51219512195122,"Argentina-Andean"
"447","LacCore_LgndlsPz1",-22.3033,-65.9935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3667,10.8,120.4779968,97,119,200,4263,4e-04,2.327708607,"Central Andean puna",339,2.625,0.445007,3,2,"Upland Tundra",2.366439819,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,0,0,0,0.34,0,21.97,1.41,0,0,0,62.9,0,0,0,0,90.31,1.41,0,0,0,0,0,0,8.28,NA,NA,NA,"Argentina-Andean"
"448","LacCore_LgndlsPz2",-22.3051,-66.0201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3664,105.6,120.4779968,97,117,195,4245,4e-04,2.327708607,"Central Andean puna",339,1.875,0.50182,3,2,"Inland Water",2.728224039,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,0,0,0,0.31,0,26.71,1,0,0,0,58.83,0,0,0,0,90.73,1,0,0,0,0,0,0,8.28,NA,NA,NA,"Argentina-Andean"
"449","LacCore_LgndlsPz3",-22.3328,-66.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.08,38.19,1.28,184.71,NA,3,2.6,3.12,686.3,0.73,3932.2,3659,105.6,120.4779968,96,117,196,4286,4e-04,2.327708607,"Central Andean puna",339,0,-9999,3,2,"Inland Water",1.296728134,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,21.27,0.67,0,0,0,64.66,0,0,0,0,91.06,0.67,0,0,0,0,0,0,8.28,27.3384615384615,0.0180763948934439,21.2885063071842,"Argentina-Andean"
"452","LacCore_LgnTtMrn",-26.56318,-59.41603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,5.03,1.22,1.12,NA,3,0.8,0.03,499.4,0.35,4.8,74,191.3,1.271020055,216,44,1134,4034,4e-04,0.57423821,"Humid Chaco",345,0,0.22,3,2,"Seasonal Tropical Forest",8.799710274,0,0,0,0,0,0,0.09,0,0,0,0,68.92,0,0,0,6.02,0,0,0,0,8.75,10.49,0,0,0,0,0,0,0,0,0,0,0,5.58,0,6.02,0,83.25,0,0,0,0.09,0,10.49,1.7,0.283333333333333,4.28571428571429,"Argentina-Andean"
"633","UnvrsGA_LagunNgr",-27.646111,-68.543083,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4093,111.9,24.93,46,63,94,2619,0.0044,5.207671394,"Southern Andean steppe",339,NA,0.146634,4,1,"Bare Desert",1.251258016,95.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0.13,0,0,0,95.99,2.1,0,0,0,0,0,0,0,1.93,NA,NA,NA,"Argentina-Andean"
