"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"469","McGl-lw_MrChqt-1",-30.823,-62.313,22.9,8.2,44865,NA,NA,NA,NA,349.7,246.1,141,12522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,6132.89,1519.3,5.47,14483,NA,1,2.4,371.12,451.7,-1,129875.5,69,15.9,88.53150177,184,56,881,4695,0.0024,28.36096297,"Espinal",339,0,-9999,1,7,"Bare Desert",3.250023127,5.94,0,0,1.66,1.66,0,33.25,2.54,0.66,0,0,5.82,0,0,0,0.1,43.77,0,0,0,0.1,0,0,0.08,0,0.93,0.01,0,0,0,0,0,0.99,4.2,5.94,5.97,1.67,10.12,0,0.99,0,33.25,0,43.77,2555.37083333333,0.0472213003992285,8.96744459020921,"Argentina-MarChiquita"
"470","McGl-lw_MrChqt-2",-30.849,-62.623,22.9,8.2,44865,NA,NA,NA,NA,349.7,246.1,141,12522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,6132.89,1519.3,5.47,14483,NA,1,2.4,371.12,451.7,-1,129875.5,69,2021.3,2707.639893,183,57,864,4678,0,6.752259293,"Dry Chaco",339,0,-9999,1,7,"Inland Water",3.415076017,1.55,0,0,0.25,0.25,0,21.19,0.36,1.28,0,0.18,7.56,0,0,0.12,0.79,61.92,0,0,0,1.33,0,0,0.14,0,0.51,0.19,0,0,0.69,0,0.18,0.12,1.71,1.55,3.33,0.62,10.6,0.69,0.12,0.12,21.19,0.18,61.92,2555.37083333333,0.0472213003992285,8.96744459020921,"Argentina-MarChiquita"
"471","McGl-lw_MrChqt-3",-30.82,-62.782,22.9,8.2,44865,NA,NA,NA,NA,349.7,246.1,141,12522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6132.89,1519.3,5.47,14483,NA,1,2.4,371.12,451.7,-1,129875.5,69,2021.3,2707.639893,183,59,856,4660,0.0064,75.77033601,"Dry Chaco",339,0,-9999,1,7,"Inland Water",0.2504628,1.12,0,0.35,0.07,0.07,0.26,18.19,0.96,1.26,0,0.6,2.77,0,0,0.3,3.85,62.55,0,0,0,3.84,0,0,0.12,0,1.13,0.29,0.3,0,0.89,0.3,0.18,0.12,0.64,1.12,8.34,0.96,7.25,0.89,0.12,0.56,18.19,0.18,62.55,2555.37083333333,0.0472213003992285,8.96744459020921,"Argentina-MarChiquita"
