"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"200","Ecdr-Cs_Dckwdpnd",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,-9999,NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Ecuador-Coastal"
"201","Ecdr-Cs_DosHrmns",-0.783333333,-79.91666667,30,7.39,NA,NA,NA,0.01,NA,8.58,NA,5.68,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,186.9,186.9,241,101,1642,595,0.0016,3.244323296,"Western Ecuador moist forests",301,31.5,0.383663,3,7,"Woody Savanna",13,0,0,0,0,0,0,4.24,0.4,0,0,1.36,12.02,0.19,0,0,0,9.07,0,0,4.66,0,0,0,0,0,0,0,0,0,1.78,0,0,0,66.23,0,0.4,1.55,78.25,1.78,0,4.66,4.24,0,9.07,NA,NA,NA,"Ecuador-Coastal"
"202","Ecdr-Cs_EsmrldsL",-1.066666667,-79.23333333,30,NA,NA,NA,NA,0.01,NA,11.61,28.82,16.21,95.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,189.6,189.6,213,84,2210,592,4e-04,0.939752157,"Northwestern Andean montane forests",301,7.25,0.472832,3,7,"Barren Tundra",6.251257896,1.9,23.64,4.63,0,0,0,5.31,0,0,0,0,3.02,5.99,0,0,1.28,0,0,0,2.41,0.8,0,0,0.53,0,27.39,0,0,2.04,0.76,9.46,0,0,10.79,25.54,43.29,8.03,14.61,0.76,0,2.41,5.31,0,0,NA,NA,NA,"Ecuador-Coastal"
"203","Ecdr-Cs_Lemna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,-9999,NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Ecuador-Coastal"
"204","Ecdr-Cs_SanGernm",-2.25,-80.06666667,NA,6.5,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,209,209,253,120,683,1029,0.008,19.37306607,"Western Ecuador moist forests",301,0,0.418421,3,7,"Forest and Field",17.79423714,4.52,0,0.35,0,0,0,16.38,5.41,0,0,4.25,8.79,9.12,0,0,1.05,2.3,0,0,4.81,0.34,0,2.76,3.28,0,0.83,0,0.16,0,0,1.26,1.27,0,33.14,4.52,12.34,13.37,42.27,2.76,0,4.81,16.38,1.27,2.3,NA,NA,NA,"Ecuador-Coastal"
"205","Ecdr-Cs_Tinaland",-0.333333333,-79.08333333,26,6,NA,NA,NA,1,NA,0.034,1.19,3.39,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,974,202.3,202.3,199,76,2435,403,0.0024,7.596051607,"Northwestern Andean montane forests",301,13.75,0.554,3,7,"Bare Desert",7.318683624,7.79,50.23,1.1,0,0,0,0.01,0.66,0,0,0,0.86,3.81,0,0,0,0,0,0,0,0,0,0,0.24,0,20.24,0,0,0.25,0,11.2,0.58,0,2.98,58.02,33.44,4.06,3.84,0,0,0,0.01,0.58,0,NA,NA,NA,"Ecuador-Coastal"
"206","Ecdr-Cs_Wtrfllpn",-0.366666667,-78.83333333,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236,199.4,199.4,185,64,2265,237,0,0.422218938,"Northwestern Andean montane forests",301,11.125,0.292113,1,7,"Barren Tundra",11,24.48,68.25,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,2.06,0,0,0.08,92.73,7.14,0,0.08,0,0,0,0,0,0,NA,NA,NA,"Ecuador-Coastal"
