"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"129","Clm-L-N_Ayapel-1",8.32,-75.1,28.74,6.87,59.25,NA,NA,NA,148,5.71,3.06,2.08,3.25,NA,2.8,0.03,1.27,NA,NA,1.1,0.74,NA,NA,NA,NA,NA,NA,NA,120.51,214.61,5.51,202.17,NA,3,1.7,268.2,8.7,0.39,6760.5,16,63.2,46.00460052,279,65,2424,469,0.0212,7.159486045,"Magdalena-Urab├í moist forests",302,0,-9999,4,1,"Inland Water",6.763897896,0,0,0.1,0,0,0,0.31,0.16,0,0,3.66,13.47,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,69.54,0,0,0,0.96,0,0.26,3.66,14.43,69.54,0,0,0.31,0,11.75,70.8882352941176,0.0178256046150433,33.4396794776673,"Colombia-Lowlands"
"130","Clm-L-N_Ayapel-2",8.32,-75.1,28.74,6.87,59.25,NA,NA,NA,148,5.71,3.06,2.08,3.25,NA,2.8,0.03,1.27,NA,NA,1.1,0.74,NA,NA,NA,NA,NA,NA,NA,120.51,214.61,5.51,202.17,NA,3,1.7,268.2,8.7,0.39,6760.5,16,63.2,46.00460052,279,65,2424,469,0.0212,7.159486045,"Magdalena-Urab├í moist forests",302,0,-9999,4,1,"Inland Water",6.763897896,0,0,0.1,0,0,0,0.31,0.16,0,0,3.66,13.47,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,69.54,0,0,0,0.96,0,0.26,3.66,14.43,69.54,0,0,0.31,0,11.75,70.8882352941176,0.0178256046150433,33.4396794776673,"Colombia-Lowlands"
"131","Clm-L-N_Ayapel-3",8.32,-75.1,28.74,6.87,59.25,NA,NA,NA,148,5.71,3.06,2.08,3.25,NA,2.8,0.03,1.27,NA,NA,1.1,0.74,NA,NA,NA,NA,NA,NA,NA,120.51,214.61,5.51,202.17,NA,3,1.7,268.2,8.7,0.39,6760.5,16,63.2,46.00460052,279,65,2424,469,0.0212,7.159486045,"Magdalena-Urab├í moist forests",302,0,-9999,4,1,"Inland Water",6.763897896,0,0,0.1,0,0,0,0.31,0.16,0,0,3.66,13.47,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,69.54,0,0,0,0.96,0,0.26,3.66,14.43,69.54,0,0,0.31,0,11.75,70.8882352941176,0.0178256046150433,33.4396794776673,"Colombia-Lowlands"
"132","Clm-L-N_Ayapel-4",8.32,-75.1,28.74,6.87,59.25,NA,NA,NA,148,5.71,3.06,2.08,3.25,NA,2.8,0.03,1.27,NA,NA,1.1,0.74,NA,NA,NA,NA,NA,NA,NA,120.51,214.61,5.51,202.17,NA,3,1.7,268.2,8.7,0.39,6760.5,16,63.2,46.00460052,279,65,2424,469,0.0212,7.159486045,"Magdalena-Urab├í moist forests",302,0,-9999,4,1,"Inland Water",6.763897896,0,0,0.1,0,0,0,0.31,0.16,0,0,3.66,13.47,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,69.54,0,0,0,0.96,0,0.26,3.66,14.43,69.54,0,0,0.31,0,11.75,70.8882352941176,0.0178256046150433,33.4396794776673,"Colombia-Lowlands"
"133","Clm-L-W_Antioq-1",6.4733,-75.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,124.9,0.0171861,258,48,1269,575,0.004,4.413292609,"Cauca Valley dry forests",302,5.125,0.467838,4,1,"Crops and Town",12.69556046,0,0,0.54,0,0,0,1.51,0.1,0,0,22.86,25.36,0,0,0,0,2.7,0,1.57,0.34,20.24,0,0,0,0,0,0,0,0.12,17.95,0,0,0,6.67,0,0.64,24.55,52.27,17.95,0,0.34,1.51,0,2.7,NA,NA,NA,"Colombia-Lowlands"
"134","Clm-L-W_Antioq-2",6.567,-75.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,120.1,15.50940037,263,47,1432,546,0.004,4.413292609,"Cauca Valley dry forests",302,8,0.310994,2,7,"Woody Savanna",10.36643982,0,0,3.5,0,0,0,2.4,0.16,0,0,16.7,17.58,0,0,0,0,2.6,0,4.44,0.71,33.08,0,0,0,0,0,0,0,0.47,7.69,0,0,0,10.7,0,3.66,21.61,61.36,7.69,0,0.71,2.4,0,2.6,NA,NA,NA,"Colombia-Lowlands"
"135","Clm-L-W_Antioq-3",6.567,-75.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,120.1,15.50940037,263,47,1432,546,0.004,4.413292609,"Cauca Valley dry forests",302,8,0.310994,3,1,"Woody Savanna",10.36643982,0,0,3.5,0,0,0,2.4,0.16,0,0,16.7,17.58,0,0,0,0,2.6,0,4.44,0.71,33.08,0,0,0,0,0,0,0,0.47,7.69,0,0,0,10.7,0,3.66,21.61,61.36,7.69,0,0.71,2.4,0,2.6,NA,NA,NA,"Colombia-Lowlands"
"136","Clm-L-W_Antioq-4",6.6,-75.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,50.1,15.50940037,261,47,1392,554,0.004,4.413292609,"Cauca Valley dry forests",302,11.875,0.333588,3,1,"Inland Water",9.696528435,0,0,4.32,0,0,0,3,0.28,0,0,14.49,14.58,0,0,0,0,2.34,0,4.19,0.71,36.61,0,0,0,0,0,0,0,0.47,6.34,0,0,0,12.74,0,4.6,19.15,63.93,6.34,0,0.71,3,0,2.34,NA,NA,NA,"Colombia-Lowlands"
"137","Clm-L-W_Antioq-5",6.6,-75.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,50.1,15.50940037,261,47,1392,554,0.004,4.413292609,"Cauca Valley dry forests",302,11.875,0.333588,3,1,"Inland Water",9.696528435,0,0,4.32,0,0,0,3,0.28,0,0,14.49,14.58,0,0,0,0,2.34,0,4.19,0.71,36.61,0,0,0,0,0,0,0,0.47,6.34,0,0,0,12.74,0,4.6,19.15,63.93,6.34,0,0.71,3,0,2.34,NA,NA,NA,"Colombia-Lowlands"
"138","Clm-L-W_Antioq-6",6.6,-75.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,50.1,15.50940037,261,47,1392,554,0.004,4.413292609,"Cauca Valley dry forests",302,11.875,0.333588,3,1,"Inland Water",9.696528435,0,0,4.32,0,0,0,3,0.28,0,0,14.49,14.58,0,0,0,0,2.34,0,4.19,0.71,36.61,0,0,0,0,0,0,0,0.47,6.34,0,0,0,12.74,0,4.6,19.15,63.93,6.34,0,0.71,3,0,2.34,NA,NA,NA,"Colombia-Lowlands"
"139","Clm-L-W_Antioq-7",6.563,-75.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,27.7,15.50940037,263,47,1412,568,0.004,4.413292609,"Cauca Valley dry forests",302,5.125,0.310994,3,1,"Woody Savanna",21.68148613,0,0,3.37,0,0,0,2.43,0.16,0,0,16.94,18.32,0,0,0,0,2.67,0,4.36,0.71,32.37,0,0,0,0,0,0,0,0.47,7.94,0,0,0,10.32,0,3.53,21.77,61.01,7.94,0,0.71,2.43,0,2.67,NA,NA,NA,"Colombia-Lowlands"
"140","Clm-L-W_Antioq-8",6.563,-75.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,27.7,15.50940037,263,47,1412,568,0.004,4.413292609,"Cauca Valley dry forests",302,5.125,0.310994,3,1,"Woody Savanna",21.68148613,0,0,3.37,0,0,0,2.43,0.16,0,0,16.94,18.32,0,0,0,0,2.67,0,4.36,0.71,32.37,0,0,0,0,0,0,0,0.47,7.94,0,0,0,10.32,0,3.53,21.77,61.01,7.94,0,0.71,2.43,0,2.67,NA,NA,NA,"Colombia-Lowlands"
"141","Clm-L-W_Antioq-9",6.563,-75.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,27.7,15.50940037,263,47,1412,568,0.004,4.413292609,"Cauca Valley dry forests",302,5.125,0.310994,1,7,"Woody Savanna",21.68148613,0,0,3.37,0,0,0,2.43,0.16,0,0,16.94,18.32,0,0,0,0,2.67,0,4.36,0.71,32.37,0,0,0,0,0,0,0,0.47,7.94,0,0,0,10.32,0,3.53,21.77,61.01,7.94,0,0.71,2.43,0,2.67,NA,NA,NA,"Colombia-Lowlands"
"142","Clm-L-W_Juncal-1",5.13,-72.75,NA,6.8,NA,NA,NA,NA,8.6,6.52,1.99,43,4.46,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674,73.6,0.017304299,241,64,4116,708,0,0.135112617,"Apure-Villavicencio dry forests",306,9.25,0.394585,3,1,"Savanna (Woods)",5.250142097,0,0,8.33,0,0,0,2.85,0.77,0,0,2.78,0.56,0,0,0,8.41,0,0,7.65,0.64,13.04,0,0,0,0,0.06,0,0,0,39.39,0.42,0,0,15.12,0,17.99,10.43,28.72,39.39,0,0.64,2.85,0,0,NA,NA,NA,"Colombia-Lowlands"
"143","Clm-L-W_Juncal-2",5.13,-72.75,NA,6.8,NA,NA,NA,NA,8.6,6.52,1.99,43,4.46,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674,73.6,0.017304299,241,64,4116,708,0,0.135112617,"Apure-Villavicencio dry forests",306,9.25,0.394585,1,7,"Savanna (Woods)",5.250142097,0,0,8.33,0,0,0,2.85,0.77,0,0,2.78,0.56,0,0,0,8.41,0,0,7.65,0.64,13.04,0,0,0,0,0.06,0,0,0,39.39,0.42,0,0,15.12,0,17.99,10.43,28.72,39.39,0,0.64,2.85,0,0,NA,NA,NA,"Colombia-Lowlands"
"144","Clm-L-W_Juncal-3",5.13,-72.75,NA,6.8,NA,NA,NA,NA,8.6,6.52,1.99,43,4.46,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674,73.6,0.017304299,241,64,4116,708,0,0.135112617,"Apure-Villavicencio dry forests",306,9.25,0.394585,1,7,"Savanna (Woods)",5.250142097,0,0,8.33,0,0,0,2.85,0.77,0,0,2.78,0.56,0,0,0,8.41,0,0,7.65,0.64,13.04,0,0,0,0,0.06,0,0,0,39.39,0.42,0,0,15.12,0,17.99,10.43,28.72,39.39,0,0.64,2.85,0,0,NA,NA,NA,"Colombia-Lowlands"
