"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"96","Clm-A-E_Fuquen-4",5.466,-73.752,17.7,6.9,177,NA,NA,NA,26.9,8.82,4.75,1.98,68.9,NA,15.6,0.002,0.8,NA,0.02,2,0.1,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2540,27.8,27.58539963,146,50,1000,347,0.0036,1.735733146,"Magdalena Valley montane forests",302,1,0.444444,3,7,"Cold Grassland",7.526984215,0,0,7.48,0,0,0,16.25,9.46,0,0,9.51,0.84,0,0,0,0.36,0.07,0,15.48,0.97,19.63,0,0,3.31,0.08,0.12,0,0,1.43,9.74,4.34,0,0,1.09,0,25.15,26.42,21.56,9.74,0,0.97,16.25,0,0.07,NA,NA,NA,"Colombia-Andes"
"97","Clm-A-E_Guatvt-1",4.977,-73.775,16.4,6.3,16.86,NA,2.13,NA,6.32,0.267,0.092,0.377,0.644,NA,7.2,0.001,0.44,3.8,0.02,1.52,0.02,NA,6.58,NA,NA,NA,NA,NA,21.72,40.7,2.46,690,690,2,31.8,6.98,1143.8,5.63,366.8,2581,21.4,35.270401,142,34,927,377,4e-04,1.413268314,"Magdalena Valley montane forests",302,0,0.0494706,3,7,"Inland Water",8.629548073,0,0,8.15,0,0,0,11.87,32.95,0,0,5.31,0,0,0,0,0.86,4.47,0,24.33,0,0.98,0,0,2.96,0,0,0,0,5.27,2.58,0,0,0.22,0,0,44.92,34.91,0.98,2.58,0.22,0,11.87,0,4.47,0.683018867924528,0.0592148309705562,0.531594202898551,"Colombia-Andes"
"98","Clm-A-E_Guatvt-2",4.977,-73.775,16.4,6.3,16.86,NA,2.13,NA,6.32,0.267,0.092,0.377,0.644,NA,7.2,0.001,0.44,3.8,0.02,1.52,0.02,NA,6.58,NA,NA,NA,NA,NA,21.72,40.7,2.46,690,690,2,31.8,6.98,1143.8,5.63,366.8,2581,21.4,35.270401,142,34,927,377,4e-04,1.413268314,"Magdalena Valley montane forests",302,0,0.0494706,1,7,"Inland Water",8.629548073,0,0,8.15,0,0,0,11.87,32.95,0,0,5.31,0,0,0,0,0.86,4.47,0,24.33,0,0.98,0,0,2.96,0,0,0,0,5.27,2.58,0,0,0.22,0,0,44.92,34.91,0.98,2.58,0.22,0,11.87,0,4.47,0.683018867924528,0.0592148309705562,0.531594202898551,"Colombia-Andes"
"99","Clm-A-E_Herrer-1",4.69,-74.27,18.9,6.8,17.9,NA,4.8755,NA,NA,6.86,4.53,32.7,45.3,NA,44.6,0.005,1.325,5.18,6.44,17.55,3.91,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2543,122.5,0.586624026,136,47,627,202,0.0024,0.196831738,"Magdalena Valley montane forests",302,1.125,0.355479,3,4,"Cold Grassland",17.78061485,0,0,18.73,0,0,0,14.39,4.99,0,0,1.43,0,0,0,0,0.29,0.88,0,7.98,0,14.17,0,0,12.82,0,4.95,0,0,0,0,15.44,3.81,0,0.16,0,57.22,9.41,14.33,0,0,0,14.39,3.81,0.88,NA,NA,NA,"Colombia-Andes"
"100","Clm-A-E_Herrer-2",4.69,-74.27,18.9,6.8,17.9,NA,4.8755,NA,NA,6.86,4.53,32.7,45.3,NA,44.6,0.005,1.325,5.18,6.44,17.55,3.91,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2543,122.5,0.586624026,136,47,627,202,0.0024,0.196831738,"Magdalena Valley montane forests",302,1.125,0.355479,2,4,"Cold Grassland",17.78061485,0,0,18.73,0,0,0,14.39,4.99,0,0,1.43,0,0,0,0,0.29,0.88,0,7.98,0,14.17,0,0,12.82,0,4.95,0,0,0,0,15.44,3.81,0,0.16,0,57.22,9.41,14.33,0,0,0,14.39,3.81,0.88,NA,NA,NA,"Colombia-Andes"
"101","Clm-A-E_Suesca-1",5.18,-73.78,18.63,9.47,1220,NA,170,NA,492.43,165,43.33,NA,NA,NA,61.72,0.002,NA,NA,0.04,NA,0.06,NA,4.41,NA,NA,NA,NA,NA,1.89,9.85,2.02,10.16,NA,3,5.4,0.15,800.1,2.88,7.7,2846,5.3,3.911989927,126,37,764,377,0.0036,1.735733146,"Magdalena Valley montane forests",302,0,0.0509778,2,4,"Crops, Grass, Shrubs",18.7282238,0,0,4.14,0,0,0,16.39,25.16,0,0,3.45,0,0,0,0,0.84,1.96,0,25.14,0,6.36,0,0,9.14,0.08,0,0,0,4.08,2.24,0.05,0,0,0.97,0,39.41,32.67,7.33,2.24,0,0,16.39,0,1.96,0.35,0.245454545454545,0.757874015748031,"Colombia-Andes"
"102","Clm-A-E_Suesca-2",5.18,-73.78,18.63,9.47,1220,NA,170,NA,492.43,165,43.33,NA,NA,NA,61.72,0.002,NA,NA,0.04,NA,0.06,NA,4.41,NA,NA,NA,NA,NA,1.89,9.85,2.02,10.16,NA,3,5.4,0.15,800.1,2.88,7.7,2846,5.3,3.911989927,126,37,764,377,0.0036,1.735733146,"Magdalena Valley montane forests",302,0,0.0509778,2,4,"Crops, Grass, Shrubs",18.7282238,0,0,4.14,0,0,0,16.39,25.16,0,0,3.45,0,0,0,0,0.84,1.96,0,25.14,0,6.36,0,0,9.14,0.08,0,0,0,4.08,2.24,0.05,0,0,0.97,0,39.41,32.67,7.33,2.24,0,0,16.39,0,1.96,0.35,0.245454545454545,0.757874015748031,"Colombia-Andes"
"103","Clm-A-E_Ubaqu-10",4.5,-73.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2063,109.6,0.092126101,172,42,1136,370,4e-04,0.046835019,"Cordillera Oriental montane forests",305,7.375,0.5975,3,1,"Woody Savanna",15,0,0,10.19,0,0,0,9.32,15.72,0,0,9.91,0,0,0,0,1.29,0.09,0,20.57,0,11.83,0,0,3.16,0.04,1.28,0,0,1.63,3.43,4.91,2.08,0,4.57,0,36.59,32.11,16.4,3.43,0,0,9.32,2.08,0.09,NA,NA,NA,"Colombia-Andes"
"104","Clm-A-E_Ubaqu-11",4.5,-73.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2063,109.6,0.092126101,172,42,1136,370,4e-04,0.046835019,"Cordillera Oriental montane forests",305,7.375,0.5975,3,1,"Woody Savanna",15,0,0,10.19,0,0,0,9.32,15.72,0,0,9.91,0,0,0,0,1.29,0.09,0,20.57,0,11.83,0,0,3.16,0.04,1.28,0,0,1.63,3.43,4.91,2.08,0,4.57,0,36.59,32.11,16.4,3.43,0,0,9.32,2.08,0.09,NA,NA,NA,"Colombia-Andes"
"105","Clm-A-E_Ubaqu-12",4.5,-73.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2063,109.6,0.092126101,172,42,1136,370,4e-04,0.046835019,"Cordillera Oriental montane forests",305,7.375,0.5975,3,1,"Woody Savanna",15,0,0,10.19,0,0,0,9.32,15.72,0,0,9.91,0,0,0,0,1.29,0.09,0,20.57,0,11.83,0,0,3.16,0.04,1.28,0,0,1.63,3.43,4.91,2.08,0,4.57,0,36.59,32.11,16.4,3.43,0,0,9.32,2.08,0.09,NA,NA,NA,"Colombia-Andes"
