"","code","lat","long","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region"
"487","Shnc-WA_IbirzRvr",-17.49666667,-65.27333333,12,6.8,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2209,135.8,135.8,176,77,1212,2094,0,0,"Bolivian Yungas",312,22.125,0.29432,3,7,"Montane Tropical Forests",4.250538349,0.49,0,35.85,0,0,0,2.71,0,0,0,2.04,0.35,0,0,0,0.17,0,0,24.87,0,0.83,0,0,1.9,0.7,0.59,0,0,0,0.88,9.82,0,0,18.84,0.49,49.03,26.91,20.02,0.88,0,0,2.71,0,0,NA,NA,NA,"Sehuencas-WesternAndes"
"488","Shnc-WA_ShncsRvr",-17.54333333,-65.26866667,10.2,6.7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2606,140.9,140.9,158,98,704,1677,0,0,"Bolivian Yungas",312,34,0.481611,1,7,"Tropical Rainforest",4.285611153,0.49,0,48.16,0,0,0,2.73,0,0,0,0.51,0.38,0,0,0,0.17,0,0,16.49,0,0.83,0,0,0.76,0.7,0.34,0,0,0,0.88,8.52,0,0,19.04,0.49,58.65,17,20.25,0.88,0,0,2.73,0,0,NA,NA,NA,"Sehuencas-WesternAndes"
"489","Shnc-WA_Stream 1",-17.52666667,-65.27,10,6.9,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2546,140.9,140.9,166,92,840,1792,0,0,"Bolivian Yungas",312,38.25,0.419341,1,7,"Montane Tropical Forests",4.266884327,0.49,0,43.99,0,0,0,2.71,0,0,0,0.89,0.35,0,0,0,0.17,0,0,19.42,0,0.83,0,0,1.27,0.7,0.44,0,0,0,0.88,9.08,0,0,18.8,0.49,55.65,20.31,19.98,0.88,0,0,2.71,0,0,NA,NA,NA,"Sehuencas-WesternAndes"
"490","Shnc-WA_Stream 2",NA,NA,10,6.1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,-9999,NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Sehuencas-WesternAndes"
"491","Shnc-WA_Stream 4",-17.55333333,-65.27,9,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2746,140.9,140.9,159,97,708,1700,0,0,"Bolivian Yungas",312,27.75,0.513873,1,7,"Tropical Rainforest",4.318683624,0.49,0,50.57,0,0,0,2.84,0,0,0,0.41,0.4,0,0,0,0.17,0,0,14.55,0,0.83,0,0,0.68,0.7,0.34,0,0,0,0.88,8.15,0,0,18.96,0.49,60.61,14.96,20.19,0.88,0,0,2.84,0,0,NA,NA,NA,"Sehuencas-WesternAndes"
