"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Shnc-WA_IbirzRvr","Sehuencas-EasternAndes","Bolivia","Morales",2007,"Ibirizu River","modern","River","epilithic","Shnc-WA_IbirzRvr","Sehuencas-WesternAndes",-17.497,-65.273
"Shnc-WA_Stream 1","Sehuencas-EasternAndes","Bolivia","Morales",2007,"Stream 1","modern","River","epilithic","Shnc-WA_Stream 1","Sehuencas-WesternAndes",-17.527,-65.27
"Shnc-WA_Stream 2","Sehuencas-EasternAndes","Bolivia","Morales",2007,"Stream 2","modern","River","epilithic","Shnc-WA_Stream 2","Sehuencas-WesternAndes",NA,NA
"Shnc-WA_ShncsRvr","Sehuencas-EasternAndes","Bolivia","Morales",2007,"Sehuencas River","modern","River","epilithic","Shnc-WA_ShncsRvr","Sehuencas-WesternAndes",-17.543,-65.269
"Shnc-WA_Stream 4","Sehuencas-EasternAndes","Bolivia","Morales",2007,"Stream 4","modern","River","epilithic","Shnc-WA_Stream 4","Sehuencas-WesternAndes",-17.553,-65.27
