"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Ecdr-Cs_SanGernm","Ecuador-Coastal","Ecuador","Steinitz-Kannan",1980,"San Geronimo","surface sediment + modern","Lake","several","Ecdr-Cs_SanGernm","Ecuador-Coastal",-2.25,-80.067
"Ecdr-Cs_Tinaland","Ecuador-Coastal","Ecuador","Steinitz-Kannan",1980,"Tinalandia","surface sediment + modern","Lake","several","Ecdr-Cs_Tinaland","Ecuador-Coastal",-0.333,-79.083
"Ecdr-Cs_Lemna","Ecuador-Coastal","Ecuador","Steinitz-Kannan",1980,"Lemna","surface sediment + modern","Lake","several","Ecdr-Cs_Lemna","Ecuador-Coastal",NA,NA
"Ecdr-Cs_Dckwdpnd","Ecuador-Coastal","Ecuador","Steinitz-Kannan",1980,"Duckweed pond","surface sediment + modern","Pond","several","Ecdr-Cs_Dckwdpnd","Ecuador-Coastal",NA,NA
"Ecdr-Cs_EsmrldsL","Ecuador-Coastal","Ecuador","Steinitz-Kannan",1980,"Esmeraldas Lake","surface sediment + modern","Lake","several","Ecdr-Cs_EsmrldsL","Ecuador-Coastal",-1.067,-79.233
"Ecdr-Cs_DosHrmns","Ecuador-Coastal","Ecuador","Steinitz-Kannan",1980,"Dos Hermanos","surface sediment + modern","Pond","several","Ecdr-Cs_DosHrmns","Ecuador-Coastal",-0.783,-79.917
"Ecdr-Cs_Wtrfllpn","Ecuador-Coastal","Ecuador","Steinitz-Kannan",1980,"Waterfall pond","surface sediment + modern","Pond","several","Ecdr-Cs_Wtrfllpn","Ecuador-Coastal",-0.367,-78.833
