"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Bush-Gd_Pacucha","Bush-Guido","Peru","Bush-Valencia",2009,"Pacucha","surface sediment","Lake","epipelon","Bush-Gd_Pacucha","Peru-Andean eastern",-13.616,-73.32
"Bush-Gd_Uspacoch","Bush-Guido","Peru","Bush-Valencia",2009,"Uspacocha","surface sediment","Lake","epipelon","Bush-Gd_Uspacoch","Peru-Andean eastern",-13.576,-72.888
"Bush-Gd_Huamnmrc","Bush-Guido","Peru","Bush-Valencia",2009,"Huamanmarca","surface sediment","Lake","epipelon","Bush-Gd_Huamnmrc","Peru-Andean eastern",-13.034,-72.377
"Bush-Gd_Miski","Bush-Guido","Peru","Bush-Valencia",2009,"Miski","surface sediment","Lake","epipelon","Bush-Gd_Miski","Peru-Andean eastern",-13.023,-72.378
"Bush-Gd_Huaypo","Bush-Guido","Peru","Bush-Valencia",2009,"Huaypo","surface sediment","Lake","epipelon","Bush-Gd_Huaypo","Peru-Andean eastern",-13.398,-72.123
"Bush-Gd_Acopia","Bush-Guido","Peru","Bush-Valencia",2009,"Acopia","surface sediment","Lake","epipelon","Bush-Gd_Acopia","Peru-Andean eastern",-14.066,-71.494
