"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"McGl-lw_MrChqt-1","McGlue-lowlands","Argentina","McGlue",2008,"Mar Chiquita","surface sediment","Lake","epipelon","McGl-lw_MrChqt-1","Argentina-MarChiquita",-30.823,-62.313
"McGl-lw_MrChqt-2","McGlue-lowlands","Argentina","McGlue",2008,"Mar Chiquita","surface sediment","Lake","epipelon","McGl-lw_MrChqt-2","Argentina-MarChiquita",-30.85,-62.637
"McGl-lw_MrChqt-3","McGlue-lowlands","Argentina","McGlue",2008,"Mar Chiquita","surface sediment","Lake","epipelon","McGl-lw_MrChqt-3","Argentina-MarChiquita",-30.82,-62.782
