"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Clm-L-N_Ayapel-1","Colombia-Lowlands-North","Colombia","M.I. Velez",2001,"Ayapel","surface sediment","Lake","epipelon","Clm-L-N_Ayapel-1","Colombia-Lowlands-North",8.318,-75.118
"Clm-L-N_Ayapel-2","Colombia-Lowlands-North","Colombia","M.I. Velez",2001,"Ayapel","modern","Lake","phytoplankton","Clm-L-N_Ayapel-2","Colombia-Lowlands-North",8.318,-75.118
"Clm-L-N_Ayapel-3","Colombia-Lowlands-North","Colombia","M.I. Velez",2001,"Ayapel","modern","Lake","periphyton","Clm-L-N_Ayapel-3","Colombia-Lowlands-North",8.318,-75.118
"Clm-L-N_Ayapel-4","Colombia-Lowlands-North","Colombia","M.I. Velez",2001,"Ayapel","modern","Lake","phytoplankton","Clm-L-N_Ayapel-4","Colombia-Lowlands-North",8.318,-75.118
