"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"LacCore_LgndlsPz1","LacCore","Argentina","several",2006,"Laguna de los Pozuelos","core top","Lake","","LacCore_LgndlsPz1","Argentina-Andean",-22.303,-65.993
"LacCore_LgndlsPz2","LacCore","Argentina","several",2006,"Laguna de los Pozuelos","core top","Lake","","LacCore_LgndlsPz2","Argentina-Andean",-22.305,-66.02
"LacCore_LgndlsPz3","LacCore","Argentina","several",2006,"Laguna de los Pozuelos","core top","Lake","","LacCore_LgndlsPz3","Argentina-Andean",-22.333,-66.001
"LacCore_LagunLBr","LacCore","Argentina","several",2006,"Laguna La Brea","core top","Lake","","LacCore_LagunLBr","Argentina-Andean",-23.858,-64.438
"LacCore_LgnTtMrn","LacCore","Argentina","several",2007,"Laguna Tita Moreno","core top","Lake","","LacCore_LgnTtMrn","Argentina-Andean",-26.563,-59.416
"UnvrsGA_LagunNgr","Université Grenoble Alpes","Argentina","Stephanie Guedron",2017,"Laguna Negra-Arg","surface sediment","Lake","","UnvrsGA_LagunNgr","Argentina-Andean",-27.646,-68.543
