"","CollectionName","Country","Collector.Analyst","Year","SiteName","SampleType","Habitat","Substrate","code","region","Lat.DD.S","Long.DD.W"
"Clm-A-E_Ubaque-4","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaque-4","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Ubaque-5","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaque-5","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Ubaque-6","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaque-6","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Ubaque-7","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaque-7","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Ubaque-8","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaque-8","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Ubaque-9","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaque-9","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Ubaqu-10","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaqu-10","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Ubaqu-11","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaqu-11","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Ubaqu-12","Colombia-Andes-Eastern","Colombia","M.I. Velez",2014,"Ubaque","modern","Lake","phytoplankton","Clm-A-E_Ubaqu-12","Colombia-Andes-Eastern",4.5,-73.935
"Clm-A-E_Fuquen-1","Colombia-Andes-Eastern","Colombia","M.I. Velez",2001,"Fuquene","surface sediment","Lake","epipelon","Clm-A-E_Fuquen-1","Colombia-Andes-Eastern",5.466,-73.752
"Clm-A-E_Fuquen-2","Colombia-Andes-Eastern","Colombia","M.I. Velez",2001,"Fuquene","modern","Lake","phytoplankton","Clm-A-E_Fuquen-2","Colombia-Andes-Eastern",5.466,-73.752
"Clm-A-E_Fuquen-3","Colombia-Andes-Eastern","Colombia","M.I. Velez",2001,"Fuquene","modern","Lake","phytoplankton","Clm-A-E_Fuquen-3","Colombia-Andes-Eastern",5.466,-73.752
"Clm-A-E_Fuquen-4","Colombia-Andes-Eastern","Colombia","M.I. Velez",2001,"Fuquene","modern","Lake","phytoplankton","Clm-A-E_Fuquen-4","Colombia-Andes-Eastern",5.466,-73.752
"Clm-A-E_Guatvt-1","Colombia-Andes-Eastern","Colombia","M.I. Velez",2001,"Guatavita","modern","Lake","periphyton","Clm-A-E_Guatvt-1","Colombia-Andes-Eastern",4.972,-73.83
"Clm-A-E_Guatvt-2","Colombia-Andes-Eastern","Colombia","M.I. Velez",2001,"Guatavita","modern","Lake","phytoplankton","Clm-A-E_Guatvt-2","Colombia-Andes-Eastern",4.972,-73.83
