old,new_1,new_2
Frustulia.rhomboides,Frustulia.rhomboides,benthic
Gomphonema..pumilum,Gomphonema..pumilum,benthic
Gomphonema.acuminatum,Gomphonema.acuminatum,benthic
Gomphonema.angustatum,Gomphonema.angustatum,benthic
Gomphonema.cf.minusculum,Gomphonema.cf.minusculum,benthic
Gomphonema.cf.subtile,Gomphonema.cf.subtile,benthic
Gomphonema.gracile,Gomphonema.gracile,benthic
Gomphonema.lagenula,Gomphonema.lagenula,benthic
Gomphonema.minutum,Gomphonema.minutum,benthic
Gomphonema.parvulum,Gomphonema.parvulum,benthic
Gomphonema.sp.1.ESTRELLANI,Gomphonema.sp.1.ESTRELLANI,benthic
Gomphonema.truncatum,Gomphonema.truncatum,benthic
Gomphonema.truncatum.var.capitatum,Gomphonema.truncatum.var.capitatum,benthic
Gomphonema.variostriatum,Gomphonema.variostriatum,benthic
Gyrosigma.acuminatum,Gyrosigma.acuminatum,benthic
Halamphora.kevei,Halamphora.kevei,benthic
Haloroundia.speciosa,Haloroundia.speciosa,saline
Hantzschia.amphioxys,Hantzschia.amphioxys,benthic
Hantzschia.sp.1.SUDLIPEZ,Hantzschia.sp.1.SUDLIPEZ,saline
Hippodonta.hungarica,Hippodonta.hungarica,benthic
Kobayasiella.subtilissima,Kobayasiella.subtilissima,benthic
Lemnicola.hungarica,Lemnicola.hungarica,benthic
Luticola.mutica,Luticola.mutica,benthic
Luticola.nivalis,Luticola.nivalis,benthic
Luticola.nivalis.1,Luticola.nivalis,benthic
Mastoglia.atacamae,Mastoglia.atacamae,saline
Navicula.capitatoradiata,Navicula.capitatoradiata,benthic
Navicula.cariocincta,Navicula.cariocincta,benthic
Navicula.cf.dilucida,Navicula.cf.dilucida,benthic
Navicula.cincta,Navicula.cincta,benthic
Navicula.criptotenelloides,Navicula.criptotenelloides,benthic
Navicula.cryptocephala,Navicula.cryptocephala,benthic
Navicula.cryptotenella,Navicula.cryptotenella,benthic
Navicula.erifuga,Navicula.erifuga,benthic
Navicula.gregaria,Navicula.gregaria,benthic
Navicula.heimansioides.sensu,Navicula.heimansioides.sensu,benthic
Navicula.lauca,Navicula.lauca,saline
Navicula.margalithii,Navicula.margalithii,benthic
Navicula.menisculus,Navicula.menisculus,benthic
Navicula.notha,Navicula.heimansioides.sensu,benthic
Navicula.paramutica.var.binodis,Navicula.paramutica.var.binodis,benthic
Navicula.peregrina,Navicula.peregrina,benthic
Navicula.pseudolanceolata,Navicula.pseudolanceolata,benthic
Navicula.radiosa,Navicula.radiosa,tycoplanktonic
Navicula.radiosa.var.parva,Navicula.radiosa.var.parva,tycoplanktonic
Navicula.salinicola,Navicula.salinicola,saline
Navicula.sp.1.CAUCA,Navicula.sp.1.CAUCA,benthic
Navicula.tripunctata,Navicula.tripunctata,benthic
Navicula.trivialis,Navicula.trivialis,benthic
Navicula.veneta,Navicula.veneta,saline
Navicula.viridulacalcis,Navicula.viridulacalcis,saline
Navicymbula.pusilla,Navicymbula.pusilla,saline
Nitzschia.accedens.var.chilensis,Nitzschia.accedens.var.chilensis,saline
Nitzschia.agnita,Nitzschia.agnita,benthic
Nitzschia.alpina,Nitzschia.alpina,benthic
Nitzschia.amphibia.,Nitzschia.amphibia,saline
Nitzschia.archibaldii,Nitzschia.archibaldii,benthic
Nitzschia.cf.archibaldii,Nitzschia.cf.archibaldii,benthic
Nitzschia.cf.palea,Nitzschia.cf.palea,benthic
Nitzschia.cf.perminuta,Nitzschia.cf.perminuta,benthic
Nitzschia.cf.pusilla,Nitzschia.cf.pusilla,benthic
Nitzschia.chungara,Nitzschia.chungara,saline
Nitzschia.compressa,Nitzschia.compressa,benthic
Nitzschia.dissipata,Nitzschia.dissipata,benthic
Nitzschia.epithemioides,Nitzschia.epithemioides,benthic
Nitzschia.fonticola,Nitzschia.fonticola,benthic
Nitzschia.frustulum,Nitzschia.frustulum,saline
Nitzschia.hantzschiana,Nitzschia.hantzschiana,benthic
Nitzschia.inconspicua,Nitzschia.inconspicua,benthic
Nitzschia.liebertruthii,Nitzschia.liebertruthii,saline
Nitzschia.linearis,Nitzschia.linearis,benthic
Nitzschia.oberheimiana,Nitzschia.oberheimiana,benthic
Nitzschia.palea,Nitzschia.palea,benthic
Nitzschia.paleacea,Nitzschia.paleacea,benthic
Nitzschia.perminuta,Nitzschia.perminuta,benthic
Nitzschia.pumila,Nitzschia.pumila,benthic
