code;region;
GslngBA_Sollata;Peru-Andean Puna;
GslngBA_Jaluncch;Peru-Andean Puna;
GslngBA_Lake 6;Peru-Andean Puna;
GslngBA_Calzada;Peru-Andean Puna;
GslngBA_Maquera;Peru-Andean Puna;
GslngBA_Umapata;Peru-Andean Puna;
GslngBA_Chacas;Peru-Andean Puna;
GslngBA_Pacuna;Peru-Andean Puna;
GslngBA_Lake 12;Peru-Andean Puna;
GslngBA_Ululumas;Peru-Andean Puna;
GslngBA_SaraCoch;Peru-Andean Puna;
GslngBA_Lagunlls;Peru-Andean Puna;
GslngBA_Salinas;Peru-Andean Puna;
GslngBA_Arapa;Peru-Andean Puna;
GslngBA_Jacumarn;Peru-Andean Puna;
GslngBA_Asiruni;Peru-Andean Puna;
GslngBA_Laja;Peru-Andean Puna;
GslngBA_JchchKkt;Peru-Andean Puna;
GslngBA_CharNkkt;Peru-Andean Puna;
GslngBA_Lake 23;Peru-Andean Puna;
GslngBA_Estrelln;Peru-Andean Puna;
GslngBA_Jayokota;Peru-Andean Puna;
GslngBA_Chijtcll;Peru-Andean Puna;
GslngBA_Lake 27;Peru-Andean Puna;
GslngBA_Luky;Peru-Andean Puna;
GslngBA_Lake 29;Peru-Andean Puna;
GslngBA_Khotaña;Peru-Andean Puna;
GslngBA_SoraKkot;Peru-Andean Puna;
GslngBA_KK(nrth);Peru-Andean Puna;
GslngBA_Aquihui;Peru-Andean Puna;
GslngBA_Lake 34;Peru-Andean Puna;
GslngBA_MuruKkot;Peru-Andean Puna;
JunnPln_L.Tl;shr1;JuninPlain
JunnPln_HgpCv;ot;JuninPlain
JunnPln_L.Ccch;s;JuninPlain
JunnPln_J11;GK252;JuninPlain
JunnPln_J11;GK253;JuninPlain
JunnPln_J11;GK254;JuninPlain
JunnPln_J11;GK255;JuninPlain
JunnPln_L.Llcc;s1;JuninPlain
JunnPln_J13;Qd.A2;JuninPlain
JunnPln_J13;Qd.A3;JuninPlain
JunnPln_Jn10;TdS1;JuninPlain
JunnPln_Jn10;TdS2;JuninPlain
JunnPln_Jn10;TdS3;JuninPlain
JunnPln_Jn10;TdS4;JuninPlain
JunnPln_Jnn9;dbS1;JuninPlain
JunnPln_Jn14;PR.2;JuninPlain
JunnPln_Jn14;PR.3;JuninPlain
JunnPln_L.Yncc;s1;JuninPlain
JunnPln_Jn7;SPdP2;JuninPlain
JunnPln_Jn7;SPdP3;JuninPlain
JunnPln_L.Prn;cn;JuninPlain
JunnPln_Jnn1;CR.2;JuninPlain
JunnPln_Jnn1;CR.3;JuninPlain
JunnPln_L.Prn;sh1;JuninPlain
JunnPln_Jnn12;Ch2;JuninPlain
JunnPln_Jnn12;Ch3;JuninPlain
JunnPln_Yncch1;w;JuninPlain
JunnPln_Jnn2;Wrs2;JuninPlain
JunnPln_Jnn2;Wrs3;JuninPlain
JunnPln_Jnn2;Wrs4;JuninPlain
JunnPln_Jnn2;Wrs5;JuninPlain
JunnPln_Yncc2;is;JuninPlain
JunnPln_Jnn3;sp22;JuninPlain
JunnPln_Jnn3;sp23;JuninPlain
JunnPln_Jn14;PR.1;JuninPlain
JunnPln_Jnn4;Ons2;JuninPlain
JunnPln_Jnn4;Ons3;JuninPlain
