code;region;
McGl-lw_MrChqt-1;Argentina-MarChiquita;
McGl-lw_MrChqt-2;Argentina-MarChiquita;
McGl-lw_MrChqt-3;Argentina-MarChiquita;
McGl-lw_BVrmlh-1;Pantanal;
McGl-lw_BVrmlh-2;Pantanal;
McGl-lw_BVrmlh-3;Pantanal;
McGl-lw_Mandiore;Pantanal;
McGl-lw_Nhclnd-1;Pantanal;
McGl-lw_Nhclnd-2;Pantanal;
McGl-lw_Nhclnd-3;Pantanal;
EpNGEO-J_Pallccch;Ecuador-Andean;
EpNGEO-J_Llaviucu;Ecuador-Andean;
EpNGEO-F_SanPablo;Ecuador-Interandean;
EpNGEO-F_Yahurcch;Ecuador-Interandean;
EpNGEO-F_Cunrro1;Ecuador-Interandean;
EpNGEO-F_Cunrro2;Ecuador-Interandean;
EpNGEO-F_Cubilche1;Ecuador-Andean;
EpNGEO-F_Cubilche2;Ecuador-Andean;
EpNGEO-F_Caricoch;Ecuador-Andean;
EpNGEO-F_Chiriacu1;Ecuador-Andean;
EpNGEO-F_Chiriacu2;Ecuador-Andean;
EpNGEO-F_Cuicocha1;Ecuador-Andean;
EpNGEO-F_Cuicocha2;Ecuador-Andean;
EpNGEO-F_Yanacoch1;Ecuador-Andean;
EpNGEO-F_Yanacoch2;Ecuador-Andean;
EpNGEO-F_Huarmcch1;Ecuador-Andean;
EpNGEO-F_Huarmcch2;Ecuador-Andean;
EpNGEO-F_Yambo1;Ecuador-Interandean;
EpNGEO-F_Yambo2;Ecuador-Interandean;
EpNGEO-F_SanMarcs;Ecuador-Andean;
EpNGEO-J_Yahurcch1;Ecuador-Interandean;
EpNGEO-J_Yahurcch2;Ecuador-Interandean;
EpNGEO-J_Piñan1;Ecuador-Andean;
EpNGEO-J_Piñan2;Ecuador-Andean;
EpNGEO-J_Piñan3;Ecuador-Andean;
EpNGEO-J_Piñan4;Ecuador-Andean;
EpNGEO-J_Jigeno1;Ecuador-Andean;
EpNGEO-J_Jigeno2;Ecuador-Andean;
EpNGEO-J_Jigeno3;Ecuador-Andean;
EpNGEO-J_Estrllsc1;Ecuador-Andean;
EpNGEO-J_Estrllsc2;Ecuador-Andean;
EpNGEO-J_Estrllsc3;Ecuador-Andean;
EpNGEO-J_Toreador1;Ecuador-Andean;
EpNGEO-J_Toreador2;Ecuador-Andean;
EpNGEO-J_Toreador3;Ecuador-Andean;
EpNGEO-J_Marmlcch1;Ecuador-Andean;
EpNGEO-J_Marmlcch2;Ecuador-Andean;
EpNGEO-J_Marmlcch3;Ecuador-Andean;
EpNGEO-J_Piñancch1;Ecuador-Andean;
EpNGEO-J_Piñancch2;Ecuador-Andean;
EpNGEO-J_Piñancch3;Ecuador-Andean;
EpNGEO-J_Patoquns1;Ecuador-Andean;
EpNGEO-J_Patoquns2;Ecuador-Andean;
EpNGEO-J_Patoquns3;Ecuador-Andean;
EpNGEO-J_Riñoncch1;Ecuador-Andean;
EpNGEO-J_Riñoncch2;Ecuador-Andean;
EpNGEO-J_Riñoncch3;Ecuador-Andean;
EpNGEO-J_Fondocch1;Ecuador-Andean;
EpNGEO-J_Fondocch2;Ecuador-Andean;
EpNGEO-J_DsChrrrs1;Ecuador-Andean;
EpNGEO-J_DsChrrrs2;Ecuador-Andean;
EpNGEO-J_DsChrrrs3;Ecuador-Andean;
EpNGEO-J_Garzacch1;Ecuador-Amazonia;
EpNGEO-J_Garzacch2;Ecuador-Amazonia;
EpNGEO-J_Garzacch3;Ecuador-Amazonia;
EpNGEO-J_Mandicch1;Ecuador-Amazonia;
EpNGEO-J_Mandicch2;Ecuador-Amazonia;
EpNGEO-J_Añangcch1;Ecuador-Amazonia;
EpNGEO-J_Añangcch2;Ecuador-Amazonia;
EpNGEO-J_Limoncch1;Ecuador-Amazonia;
EpNGEO-J_Limoncch2;Ecuador-Amazonia;
EpNGEO-J_Limoncch3;Ecuador-Amazonia;
EpNGEO-J_Colta-11;Ecuador-Interandean;
EpNGEO-J_Colta-12;Ecuador-Interandean;
EpNGEO-J_Colta-13;Ecuador-Interandean;
EpNGEO-J_Colta-21;Ecuador-Interandean;
EpNGEO-J_Colta-22;Ecuador-Interandean;
EpNGEO-J_Kuyuk1;Ecuador-Andean;
EpNGEO-J_Kuyuk2;Ecuador-Andean;
EpNGEO-J_Kuyuk3;Ecuador-Andean;
EpNGEO-J_Negra;Ecuador-Andean;
Chl-Crr_CingsdNm;Chile-Coastal;
Chl-Crr_Batuco;Chile-Coastal;
Chl-Crr_Aculeo;Chile-Coastal;
Chl-Crr_LagunNgr;Chile-Andean;
Chl-Crr_LgnAlbfr;Chile-Coastal;
Chl-Crr_LgnCnchc;Chile-Andean;
Chl-Crr_LEncañad;Chile-Andean;
Chl-Crr_HmdldTnq;Chile-Coastal;
Chl-Crr_LagundTn;Chile-Andean;
Chl-Crr_LagunCpn;Chile-Andean;
Chl-Crr_Peral;Chile-Coastal;
Chl-Crr_Vichuqun;Chile-Coastal;
Chl-Crr_Chepical;Chile-Andean;
Chl-Crr_LagunOch;Chile-Andean;
Chl-Crr_LagunCrn;Chile-Coastal;
Chl-Crr_LgndlInc;Chile-Andean;
Chl-Bls_El Maule;Chile-Andean;
Chl-Bls_Vichuqun;Chile-Coastal;
Chl-Bls_Matanzas;Chile-Coastal;
Chl-Bls_Peral;Chile-Coastal;
Chl-Bls_LagnGrnd;Chile-Coastal;
Chl-Bls_LEncañad;Chile-Andean;
Chl-Bls_LgnMscnt;Chile-Andean;
Chl-Bls_Miñiques;Chile-Andean;
Chl-Bls_Aculeo;Chile-Coastal;
Chl-Bls_Chepical;Chile-Andean;
Chl-Bls_Batuco;Chile-Coastal;
Chl-Bls_Colejuda;Chile-Coastal;
Chl-Bls_Peinado;Chile-Andean;
Chl-Bls_CingsdNm;Chile-Coastal;
UnvrsGA_LagunNgr;Argentina-Andean;
LLAV_miriop_88;Ecuador-Andean;
ELLV_mud_11m_88;Ecuador-Andean;
ELLV_spyromat_88;Ecuador-Andean;
ELLV6_plankt_96;Ecuador-Andean;
ELLV7_plankt_96;Ecuador-Andean;
ELLV4_plankt_96;Ecuador-Andean;
Galapgs_El Junco;Galapagos;
Galapgs_Genovesa;Galapagos;
Galapgs_TrtsPndI;Galapagos;
Galapgs_TrtsPnII;Galapagos;
Galapgs_FrgtBrdP;Galapagos;
Galapgs_Bainbrdg;Galapagos;
Galapgs_SaltMine;Galapagos;
Galapgs_SergLagn;Galapagos;
Galapgs_WilsnLgn;Galapagos;
Galapgs_ElSarten;Galapagos;
Galapgs_Beagle;Galapagos;
Galapgs_TagusCov;Galapagos;
Galapgs_Cementar;Galapagos;
Galapgs_CactsRdg;Galapagos;
Galapgs_SalnsLgn;Galapagos;
Galapgs_WttmrSpr;Galapagos;
Galapgs_Fernandn;Galapagos;
Galapgs_SntgLgn2;Galapagos;
Galapgs_Santiag3;Galapagos;
Galapgs_SntgLgn4;Galapagos;
