"","ID","Title","Latitude","Longitude","lat","long"
"43",967,"Relationships between Holocene sea-level variations, trophic development, and climatic change in Negra Lagoon, Southern Uruguay","-33 56","-53 33",-33.9333333333333,-53.55
"44",974,"Diatom paleoecology of Laguna Zoncho, Costa Rica","+8 48","-82 57",8.8,-82.95
"45",982,"Solar variability and the levels of Lake Victoria, East Africa, during the last millenium","+1 17","+33 19",1.28333333333333,33.3166666666667
"46",984,"Diatom-based models for reconstructing past water quality and productivity in New Zealand lakes","-36 30","+174 14",-36.5,174.233333333333
"47",986,"The use of sedimentary algal pigments to infer historic algal communities in Lake Apopka, Florida","+28 44","-81 46",28.7333333333333,-81.7666666666667
"48",1007,"Upper Pleistocene and Holocene paleosalinity and trophic state changes in relation to sea level variation in Rocha Lagoon, southern Uruguay","-34 34","-54 10",-34.5666666666667,-54.1666666666667
"49",1015,"Reconstruction of a climate record for the past 140 kyr based on diatom valve flux data from Lake Biwa, Japan","+35 20","+136 10",35.3333333333333,136.166666666667
"50",1054,"Development of a diatom-based model for inferring total phosphorus in southeastern Australian water storages","-35 24","+146 15",-35.4,146.25
"51",1057,"Interpreting the hydrological history of a temporary pond from chemical and microscopic characterization of siliceous microfossils","+33 9","-39 17",33.15,-39.2833333333333
"52",1058,"Environmental changes in the Zirahuén Basin, Michoacán, Mexico, during the last 1000 years","+19 26","-101 44",19.4333333333333,-101.733333333333
"53",1059,"Holocene trophic state changes in relation to sea level variation in Lake Blanca, SE Uruguay","-34 53","-54 50",-34.8833333333333,-54.8333333333333
"54",1068,"A diatom model for inferring sea level change in the coastal waters of Hong Kong","+22 23","+114 6",22.3833333333333,114.1
"55",1084,"Paleolimnology of Lake Tanganyika, East Africa, over the past 100 kyr","-11 40","+34 41",-11.6666666666667,34.6833333333333
"56",1093,"Diatom-based conductivity and water-level inference models from eastern Tibetan (Qinghai-Xizang) Plateau lakes","+35 0","+92 0",35,92
"57",1133,"Paleolimnological assessment of human impacts in Lake Blanca, SE Uruguay","-34 53","-54 50",-34.8833333333333,-54.8333333333333
"58",1195,"A high-resolution diatom reconstruction between 21,000 and 17,4000 14C yr BP from the southern Bolivian Altiplano (18–23°S)","-15 13","-68 33",-15.2166666666667,-68.55
"59",1204,"Establishment of wetlands on the southeastern Atlantic Coastal Plain: Paleolimnological evidence of a mid-Holocene hydrologic threshold from a South Carolina pond","+33 5","-81 35",33.0833333333333,-81.5833333333333
"60",1255,"Diatom-based ionic concentration and salinity models from the south Bolivian Altiplano (15–23 ° S","-18 40","-67 10",-18.6666666666667,-67.1666666666667
"61",1256,"Reconstructing fluctuations of a shallow East African lake during the past 1800 yrs from sediment stratigraphy in a submerged crater basin","-0 46","+36 22",-0.766666666666667,36.3666666666667
"62",1325,"A 12,400 14c yr Offshore Diatom Record From East Central Lake Victoria, East Africa","-0 58","+33 27",-0.966666666666667,33.45
"63",1335,"Paleolimnological investigation of recent acidity changes in Sawanoike Pond, Kyoto, Japan","+35 0","+135 46",35,135.766666666667
"64",6,"A deadly cocktail: How a drought around 4200 cal. yr BP caused mass mortality events at the infamous ‘dodo swamp’ in Mauritius","-20 26","+57 41",-20.4333333333333,57.6833333333333
"65",11,"Middle to late Holocene relative sea level rise, climate variability and environmental change along the Colombian Caribbean coast","+10 51","-74 19",10.85,-74.3166666666667
