taxon_original;harmonized_taxon_names;revised_harmonized_taxon_name
Achnanthidium spp;Achnanthidium spp.;Achnanthidium spp.
Achnanthidium spp;Achnanthidium spp.;Achnanthidium spp.
Actinella brasiliensis;Actinella brasiliensis var brasiliensis;Actinella brasiliensis var. brasiliensis
Actinella brasiliensis Grun. var. brasiliensis;Actinella brasiliensis var brasiliensis;Actinella brasiliensis var. brasiliensis
Actinella guianensis;Actinella guianensis var guianensis;Actinella guianensis var. guianensis
Actinella guianensis;Actinella guianensis var guianensis;Actinella guianensis var. guianensis
Actinella guianensis;Actinella guianensis var guianensis;Actinella guianensis var. guianensis
Actinella guianensis Grun. var. guianensis;Actinella guianensis var guianensis;Actinella guianensis var. guianensis
Actinella mirabilis Grun. var. mirabilis;Actinella mirabilis var mirabilis;Actinella mirabilis var. mirabilis
Actinella pararobusta;Actinella pararobusta;Actinella pararobusta
Actinella punctata;Actinella punctata;Actinella punctata
Actinella robusta;Actinella robusta var robusta;Actinella robusta var. robusta
Actinella robusta Hust. var. robusta;Actinella robusta var robusta;Actinella robusta var. robusta
Actinella sp. 1 (60æm, 7æm, 20 striae/10æm);Actinella sp.1;Actinella sp.1
Actinocyclus normanii forma subsalus;Actinocyclusÿnormanii f. subsalsa;Actinocyclus normanii f. subsalsa
Navicula bryophila;Adlafia bryophila;Adlafia bryophila
Navicula bryophila;Adlafia bryophila;Adlafia bryophila
Navicula bryophila;Adlafia bryophila;Adlafia bryophila
Adlafia bryophila;Adlafia bryophila;Adlafia bryophila
Navicula bryophila;Adlafia bryophila;Adlafia bryophila
Navicula brypohila;Adlafia bryophila;Adlafia bryophila
Adlafia bryophila (Petersen) Lange-Bertalot;Adlafia bryophila;Adlafia bryophila
Adlafia cf. muscora (Kociolek et Reviers) Moser, Lange-Bertalot et Metzeltin;Adlafia cf muscora;Adlafia cf. muscora
Adlafia cf minuscula;Adlafia minuscula;Adlafia minuscula
Adlafia minuscula;Adlafia minuscula;Adlafia minuscula
Adlafia minuscula;Adlafia minuscula;Adlafia minuscula
Navicula  minuscula Grun. var. minuscula;Adlafia minuscula;Adlafia minuscula
Navicula minuscula;Adlafia minuscula;Adlafia minuscula
Adlafia minuscula;Adlafia minuscula;Adlafia minuscula
Adlafia cf minuscula;Adlafia minuscula;Adlafia minuscula
Adlafia minuscula (Grunow) Lange-Bertalot;Adlafia minuscula;Adlafia minuscula
Navicula minuscula;Adlafia minuscula;Adlafia minuscula
Adlafia minuscula (Grunow) Lange-Bertalot;Adlafia minuscula;Adlafia minuscula
Navicula muralis Grun. var. muralis ;Adlafia minuscula var muralis;Adlafia minuscula var. muralis
Adlafia sp. 2 SORATA;Adlafia sp. 2 SORATA;Adlafia sp. 2 SORATA
Adlafia suchlandtii;Adlafia suchlandtii;Adlafia suchlandtii
Adlafia suchlandtii (Hustedt) Lange-Bertalot;Adlafia suchlandtii;Adlafia suchlandtii
Amphora cf atacamana;Ammphora cf acatamana;Ammphora cf. acatamana
Amphora cf atacamana;Ammphora cf acatamana;Ammphora cf. acatamana
Amphiphora gigantea var. sulcata;Amphiphora gigantea var. sulcata;Amphiphora gigantea var. sulcata
Amphipleura cf chiapanensis;Amphipleura cf chiapanensis;Amphipleura cf. chiapanensis
Amphipleura lindheimeri Grun. var. lindheimeri ;Amphipleura lindheimeri var lindheimeri;Amphipleura lindheimeri var. lindheimeri
Amphipleura pellucida(Kutz.)var. pellucida;Amphipleura pellucida var pellucida;Amphipleura pellucida var. pellucida
Amphora acutiuscula;Amphora acutiuscula;Amphora acutiuscula
Amphora acutuiscula;Amphora acutiuscula;Amphora acutiuscula
Amphora acutuiscula(Kutz.) var acutuiscula;Amphora acutiuscula;Amphora acutiuscula
Amphora acutiuscula;Amphora acutiuscula;Amphora acutiuscula
Amphora acutiuscula;Amphora acutiuscula;Amphora acutiuscula
Halamphora aff. montana (Krasske) Levkov ;Amphora aff montana;Amphora aff. montana
Amphora atacamae;Amphora atacamae;Amphora atacamae
Amphora atacamae minor;Amphora atacamae minor;Amphora atacamae minor
Amphora atacamana;Amphora atacamana;Amphora atacamana
Amphora atacamana;Amphora atacamana;Amphora atacamana
Amphora atacamana minor;Amphora atacamana var minor;Amphora atacamana var. minor
Amphora atacamana minor;Amphora atacamana var minor;Amphora atacamana var. minor
Amphora baulii;Amphora baulii;Amphora baulii
Amphora birugula Hohn var. birugula;Amphora birugula;Amphora birugula
Amphora boliviana;Amphora boliviana;Amphora boliviana
Amphora boliviana;Amphora boliviana;Amphora boliviana
Amphora boliviana elongata;Amphora boliviana var elongata;Amphora boliviana var. elongata
Amphora boliviana elongata;Amphora boliviana var elongata;Amphora boliviana var. elongata
Amphora carolineana;Amphora caroliniana;Amphora caroliniana
Amphora carvajaliana;Amphora carvajaliana;Amphora carvajaliana
Amphora carvajaliana;Amphora carvajaliana;Amphora carvajaliana
Amphora carvajaliana;Amphora carvajaliana;Amphora carvajaliana
Amphora carvajaliana;Amphora carvajaliana;Amphora carvajaliana
Amphora carvajaliana Patrick;Amphora carvajaliana;Amphora carvajaliana
Amphora carvajaliana;Amphora carvajaliana;Amphora carvajaliana
Amphora cf luciae sensu;Amphora cf luciae sensu;Amphora cf. luciae sensu
Amphora cf luciae sensu;Amphora cf luciae sensu;Amphora cf. luciae sensu
Amphora cf tenerrima;Amphora cf tenerrima;Amphora cf. tenerrima
Amphora cf tenerrima;Amphora cf tenerrima;Amphora cf. tenerrima
Amphora chilensis;Amphora chilensis;Amphora chilensis
Amphora coffeaeformis;Amphora coffeaeformis;Amphora coffeaeformis
Amphora coffeaeformis;Amphora coffeaeformis;Amphora coffeaeformis
Amphora coffeaformis;Amphora coffeaeformis;Amphora coffeaeformis
Amphora coffeaeformis;Amphora coffeaeformis;Amphora coffeaeformis
Amphora coffeiformis;Amphora coffeaeformis;Amphora coffeaeformis
Amphora coffeiformis (Ag.) Ktz. Var. coffeiformis ;Amphora coffeaeformis;Amphora coffeaeformis
Amphora coffeaeformis;Amphora coffeaeformis;Amphora coffeaeformis
Amphora coffeaeformis;Amphora coffeaeformis;Amphora coffeaeformis
Amphora coffeaeformis;Amphora coffeaeformis;Amphora coffeaeformis
Halamphora coffaeformis (Agardh) Ku?tzing ;Amphora coffeaeformis;Amphora coffeaeformis
Amphora copulata;Amphora copulata;Amphora copulata
Amphora lybica;Amphora copulata;Amphora copulata
Amphora copulata;Amphora copulata;Amphora copulata
Amphora lybica;Amphora copulata;Amphora copulata
Amphora copulata;Amphora copulata;Amphora copulata
Amphora lybica;Amphora copulata;Amphora copulata
Amphora lybica;Amphora copulata;Amphora copulata
Amphora lybica;Amphora copulata;Amphora copulata
Amphora copulata;Amphora copulata;Amphora copulata
Amphora lybica;Amphora copulata;Amphora copulata
Amphora copulata;Amphora copulata;Amphora copulata
Amphora copulata;Amphora copulata;Amphora copulata
Amphora copulata (Ku?tzing) Schoeman & Archibald    ;Amphora copulata;Amphora copulata
Amphora libyca Eheremberg  ;Amphora copulata;Amphora copulata
Amphora libyca;Amphora copulata;Amphora copulata
Amphora libyca;Amphora copulata;Amphora copulata
Amphora delicatissima;Amphora delicatissima;Amphora delicatissima
Amphora dusenii;Amphora duseni;Amphora duseni
Amphora fontinelis ;Amphora fontinalis;Amphora fontinalis
Amphora holsatica;Amphora holsatica;Amphora holsatica
Amphora inarensis;Amphora inarensis;Amphora inarensis
Amphora inariensis;Amphora inarensis;Amphora inarensis
Amphora inariensis;Amphora inarensis;Amphora inarensis
Amphora inariensis;Amphora inarensis;Amphora inarensis
Amphora inariensis;Amphora inarensis;Amphora inarensis
Amphora inarensis;Amphora inarensis;Amphora inarensis
Amphora indistincta;Amphora indistincta;Amphora indistincta
Amphora lineolata;Amphora lineolata;Amphora lineolata
Amphora mira;Amphora mira;Amphora mira
Amphora montana;Amphora montana;Amphora montana
Amphora montana Krasske;Amphora montana;Amphora montana
Amphora lybica;Amphora ovalis;Amphora ovalis
Amphora ovalis;Amphora ovalis;Amphora ovalis
Amphora ovalis(Kutz)Kutz. var.ovalis;Amphora ovalis;Amphora ovalis
Amphora ovalis;Amphora ovalis;Amphora ovalis
Amphora ovalis;Amphora ovalis;Amphora ovalis
Amphora ovalis;Amphora ovalis;Amphora ovalis
Amphora ovalis;Amphora ovalis;Amphora ovalis
Amphora ovalis;Amphora ovalis;Amphora ovalis
Amphora pediculus;Amphora pediculus;Amphora pediculus
Amphora pediculus;Amphora pediculus;Amphora pediculus
Amphora pediculis;Amphora pediculus;Amphora pediculus
Amphora pediculus;Amphora pediculus;Amphora pediculus
Amphora pediculus;Amphora pediculus;Amphora pediculus
Amphora ovalis var. pediculus(Kutz)V.H. ex DeT.;Amphora pediculus;Amphora pediculus
Amphora pediculus;Amphora pediculus;Amphora pediculus
Amphora pediculus;Amphora pediculus;Amphora pediculus
Amphora pediculus (Ktzing) Grunow;Amphora pediculus;Amphora pediculus
Amphora perpusilla (Grun.) Grun. var. perpusilla;Amphora perpusilla;Amphora perpusilla
Amphora platensis;Amphora platensis;Amphora platensis
Amphora sabiniana;Amphora sabiniana;Amphora sabiniana
Amphora sabiniana Reim. sabiniana;Amphora sabiniana;Amphora sabiniana
Amphora sp. 1 MISCANTI;Amphora sp. 1 MISCANTI;Amphora sp. 1 MISCANTI
Amphora sp. 1 (10æm, 3æm, 23 striae/10æm;Amphora sp.1;Amphora sp.1
Amphora sp.1 BREA;Amphora sp.1 BREA;Amphora sp.1 BREA
Amphora(malla)caimana;Amphora sp.1 CAIMANA;Amphora sp.1 CAIMANA
Amphora sp.1 CALZADA;Amphora sp.1 CALZADA;Amphora sp.1 CALZADA
Amphora sp;Amphora sp.1 DESCANSO;Amphora sp.1 DESCANSO
Amphora sp. 1;Amphora sp.1 GALAPAGOS;Amphora sp.1 GALAPAGOS
Amphora sp.  ;Amphora sp.1 POZUELOS;Amphora sp.1 POZUELOS
Amphora sp. 2 (45æm, 12æm, 15 striae/10æm;Amphora sp.2;Amphora sp.2
Amphora sp. 2;Amphora sp.2 GALAPAGOS;Amphora sp.2 GALAPAGOS
Amphora sp. 3 (47æm, 24æm, 12 striae/10æm);Amphora sp.3;Amphora sp.3
Amphora sp. 4 (12æm, 6æm, 18-20 striae/10æm);Amphora sp.4;Amphora sp.4
Amphora sp. 5 (22æm, 4æm, 12 striae/10æm);Amphora sp.5;Amphora sp.5
Amphora spp.;Amphora spp.;Amphora spp.
Amphora sp;Amphora spp.;Amphora spp.
Amphora spp;Amphora spp.;Amphora spp.
Amphora species;Amphora spp.;Amphora spp.
Amphora spp;Amphora spp.;Amphora spp.
Amphora sp.;Amphora spp.;Amphora spp.
Amphora spp.;Amphora spp.;Amphora spp.
Amphora spp.;Amphora spp.;Amphora spp.
Amphora subacutiuscula;Amphora subacutiuscula;Amphora subacutiuscula
Amphora subacutiuscula;Amphora subacutiuscula;Amphora subacutiuscula
Amphora submontana;Amphora submontana;Amphora submontana
Amphora turgida;Amphora turgida;Amphora turgida
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta Ktz. var. veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Halamphora veneta (Ku?tzing) Levkov          ;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Amphora veneta;Amphora veneta;Amphora veneta
Anomoeoneis brachysira;Anomoeneis brachysira;Anomoeneis brachysira
Anomoeoneis brachysira;Anomoeneis brachysira;Anomoeneis brachysira
Anomoeoneis brachysira;Anomoeneis brachysira;Anomoeneis brachysira
Anomoeoeneis brashysira;Anomoeneis brachysira;Anomoeneis brachysira
Anomoeoneis brachysira;Anomoeneis brachysira;Anomoeneis brachysira
Anomoeoneis sphaerophora v. sculpta;Anomoeneis sphaerophora var sculpta;Anomoeneis sphaerophora var. sculpta
Anomoeoneis sphaerophora fa. sculpta Krammer  ;Anomoeneis sphaerophora var sculpta;Anomoeneis sphaerophora var. sculpta
Anomeoneis costata;Anomoeoneis sphaephora f costata;Anomoeoneis sphaephora f costata
Anomoeoneis costata;Anomoeoneis sphaephora f costata;Anomoeoneis sphaephora f costata
Anomoeoneis costata;Anomoeoneis sphaephora f costata;Anomoeoneis sphaephora f. costata
Anomoeoneis sphaephora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomeoneis sphaerophora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoeoneis sphaerophora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoeoneis sphaerophora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoeoneis sphaerophora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoeoneis spahaerophora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoneis spharophora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoeoneis sphaephora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoeoneis sphaephora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoeoneis sphaerophora;Anomoeoneis sphaerophora;Anomoeoneis sphaerophora
Anomoeoneis sphaephora f costata;Anomoeoneis sphaerophora f costata;Anomoeoneis sphaerophora f costata
Anomoeoneis sphaephora f costata;Anomoeoneis sphaerophora f costata;Anomoeoneis sphaerophora f costata
Anomoeoneis sphaephora f costata;Anomoeoneis sphaerophora f costata;Anomoeoneis sphaerophora f costata
Anomoeoneis sphaephora f costata;Anomoeoneis sphaerophora f costata;Anomoeoneis sphaerophora f costata
Anomoeoneis sphaephora f costata;Anomoeoneis sphaerophora f costata;Anomoeoneis sphaerophora f. costata
Anomoeoneis sphaerophora angusta;Anomoeoneis sphaerophora var angusta;Anomoeoneis sphaerophora var. angusta
Anomoeoneis sphaerophora var angusta;Anomoeoneis sphaerophora var angusta;Anomoeoneis sphaerophora var. angusta
Anomoeoneis sphaerophora angusta;Anomoeoneis sphaerophora var angusta;Anomoeoneis sphaerophora var. angusta
Anomoeoneis sphaerophora navicularis;Anomoeoneis sphaerophora var navicularis;Anomoeoneis sphaerophora var. navicularis
Anomoeoneis sphaerophora platensis;Anomoeoneis sphaerophora var platensis;Anomoeoneis sphaerophora var. platensis
Anomoeoneis sphaerophora polygramma;Anomoeoneis sphaerophora var polygramma;Anomoeoneis sphaerophora var. polygramma
Asterionella formosa;Asterionella formosa;Asterionella formosa
Asterionella formosa var. gracillima;Asterionella formosa var gracillima;Asterionella formosa var. gracillima
Asterionella formosa var. gracillima (Hant.) Grun;Asterionella formosa var gracillima;Asterionella formosa var. gracillima
Asterionella sp. 1 (35æm, 1æm, 8-cell stellar colonies;Asterionella sp.1;Asterionella sp.1
Asterionella sp. 1;Asterionella sp.1 GALAPAGOS;Asterionella sp.1 GALAPAGOS
Asterionella sphaerophora (Ktz.) Schmid f. costata;Asterionella sphaerophora f costata;Asterionella sphaerophora f costata
Asterionella spahaerophore (Ehr.) Pfitz. var spaerophora;Asterionella sphaerophora var sphaerophora;Asterionella sphaerophora var. sphaerophora
Asterionella spp;Asterionella spp.;Asterionella spp.
Asterionella spp.;Asterionella spp.;Asterionella spp.
Asteromphalus hiltonianus;Asteromphalus hiltonianus;Asteromphalus hiltonianus
Asteroemphalus hookeri ;Asteromphalus hookeri;Asteromphalus hookeri
Aulacoseira aff italica;Aulacoseira aff italica;Aulacoseira aff. italica
Aulacoseira agassizii (Ostf.) Simon. var. agassizii;Aulacoseira agassizii var agassizii;Aulacoseira agassizii var. agassizii
Aulacoseira alpigena;Aulacoseira alpigena;Aulacoseira alpigena
Aulacoseira alpigena;Aulacoseira alpigena;Aulacoseira alpigena
Aulacoseira alpigena;Aulacoseira alpigena;Aulacoseira alpigena
Aulacoseira alpigena;Aulacoseira alpigena;Aulacoseira alpigena
Aulacoseira alpigena;Aulacoseira alpigena;Aulacoseira alpigena
Aulacoseira alpigena;Aulacoseira alpigena;Aulacoseira alpigena
Aulacoseira alpigena;Aulacoseira alpigena;Aulacoseira alpigena
Aulacoseira alpigena;Aulacoseira alpigena;Aulacoseira alpigena
Aulacoseira ambigua;Aulacoseira ambigua;Aulacoseira ambigua
Aulacoseira ambigua;Aulacoseira ambigua;Aulacoseira ambigua
Aulacoseira ambigua;Aulacoseira ambigua;Aulacoseira ambigua
Aulacoseira ambigua;Aulacoseira ambigua;Aulacoseira ambigua
