collection;species_original;genera_harmonised;species_harmonised
Amazon-lowlands;Achnantes cf subatomus;Achnanthes;Achnanthes cf subatomus
Amazon-lowlands;Achnantes exigua;Achnanthidium;Achnanthidium exiguum
Amazon-lowlands;Adlafia cf minuscula;Adlafia;Adlafia minuscula
Amazon-lowlands;Amphipleura cf chiapanensis;Amphipleura;Amphipleura cf chiapanensis
Amazon-lowlands;Amphora veneta;Amphora;Amphora veneta
Amazon-lowlands;Aulacoseira ambigua;Aulacoseira;Aulacoseira ambigua
Amazon-lowlands;Aulacoseira granulata;Aulacoseira;Aulacoseira granulata
Amazon-lowlands;Brachysira vitrea;Brachysira;Brachysira vitrea
Amazon-lowlands;Caloneis aquacerulaeae;Caloneis;Caloneis aquacerulaeae
Amazon-lowlands;Cocconeis pediculus;Cocconeis;Cocconeis pediculus
Amazon-lowlands;Cocconeis placentula var euglypta;Cocconeis;Cocconeis placentula var euglypta
Amazon-lowlands;Cocconeis placentula var lineata;Cocconeis;Cocconeis placentula var lineata
Amazon-lowlands;Cocconeis placentula var placentula;Cocconeis;Cocconeis placentula var placentula
Amazon-lowlands;Craticula accomodiformis;Craticula;Craticula accomodiformis
Amazon-lowlands;Craticula cuspidata;Craticula;Craticula cuspidata
Amazon-lowlands;Craticula riparia;Craticula;Craticula riparia
Amazon-lowlands;Cyclostephanos cf invisitatus;Cyclostephanos;Cyclostephanos cf invisitatus
Amazon-lowlands;Cyclotella atomus;Cyclotella;Cyclotella atomus
Amazon-lowlands;Cyclotella distingueda;Cyclotella;Cyclotella distingueda
Amazon-lowlands;Cyclotella meneghiniana;Cyclotella;Cyclotella meneghiniana
Amazon-lowlands;Cymbella cymbiformis;Cymbella;Cymbella cymbiformis
Amazon-lowlands;Denticula elegans;Denticula;Denticula elegans
Amazon-lowlands;Denticula kuetzingii;Denticula;Denticula kuetzingii
Amazon-lowlands;Diadesmis cf lacunosa;Diadesmis;Diadesmis cf lacunosa
Amazon-lowlands;Diploneis ovalis;Diploneis;Diploneis ovalis
Amazon-lowlands;Encyonema jemtlandicum var venezolanum;Encyonema;Encyonema jemtlandicum var venezolanum
Amazon-lowlands;Encyonema silesiacum;Encyonema;Encyonema silesiacum
Amazon-lowlands;Encyonema sp.1;Encyonema;Encyonema sp.2
Amazon-lowlands;Ephitemia sorex;Epithemia;Epithemia sorex
Amazon-lowlands;Eunotia aff monodon;Eunotia;Eunotia aff monodon
Amazon-lowlands;Eunotia monodon;Eunotia;Eunotia monodon
Amazon-lowlands;Fragilaria sp.1;Fragilaria;Fragilaria sp.6
Amazon-lowlands;Fragilaria sp.2;Fragilaria;Fragilaria sp.7
Amazon-lowlands;Fragilaria tenera;Fragilaria;Fragilaria tenera
Amazon-lowlands;Gomphonema cf angustum;Gomphonema;Gomphonema angustatum
Amazon-lowlands;Gomphonema cf parvulum 1;Gomphonema;Gomphonema cf parvulum 1
Amazon-lowlands;Gomphonema cf parvulum 2;Gomphonema;Gomphonema cf parvulum 2
Amazon-lowlands;Gomphonema clavatum;Gomphonema;Gomphonema clavatum
Amazon-lowlands;Gomphonema lingulatiformis;Gomphonema;Gomphonema lingulatiformis
Amazon-lowlands;Gomphonema parvulum;Gomphonema;Gomphonema parvulum
Amazon-lowlands;Gomphonema sp.1;Gomphonema;Gomphonema sp.5
Amazon-lowlands;Gomphonema subclavatum;Gomphonema;Gomphonema subclavatum
Amazon-lowlands;Gomphonema turris var coarctata;Gomphonema;Gomphonema turris var turris f coarctata
Amazon-lowlands;Gyrosigma accuminatum;Gyrosigma;Gyrosigma acuminatum
Amazon-lowlands;Gyrosigma obtusanum;Gyrosigma;Gyrosigma obtusatum
Amazon-lowlands;Hantzschia amphyoxys;Hantzschia;Hantzschia amphioxys
Amazon-lowlands;Luticola acidoclinata;Luticola;Luticola acidoclinata
Amazon-lowlands;Luticola cf mutica;Luticola;Luticola mutica
Amazon-lowlands;Luticola muticoides;Luticola;Luticola muticoides
Amazon-lowlands;Luticola peguana;Luticola;Luticola peguana
Amazon-lowlands;Navicula angusta;Navicula;Navicula angusta
Amazon-lowlands;Navicula capitatoradiata;Navicula;Navicula capitatoradiata
Amazon-lowlands;Navicula cf detenta;Navicula;Navicula cf detenta
Amazon-lowlands;Navicula cf electrolytifuga;Navicula;Navicula cf electrolytifuga
Amazon-lowlands;Navicula cryptocephala;Navicula;Navicula cryptocephala
Amazon-lowlands;Navicula oligotraphenta;Navicula;Navicula oligotraphenta
Amazon-lowlands;Navicula rostellata;Navicula;Navicula rostellata
Amazon-lowlands;Navicula sp.1;Navicula;Navicula sp.13
Amazon-lowlands;Navicula trivialis;Navicula;Navicula trivialis
Amazon-lowlands;Neidium productum;Neidium;Neidium productum
Amazon-lowlands;Nitzschia aff semirobusta;Nitzschia;Nitzschia aff semirobusta
Amazon-lowlands;Nitzschia amphibia;Nitzschia;Nitzschia amphibia
Amazon-lowlands;Nitzschia capitellata;Nitzschia;Nitzschia capitellata
Amazon-lowlands;Nitzschia cf subtilioides;Nitzschia;Nitzschia cf subtilioides
Amazon-lowlands;Nitzschia cf palea;Nitzschia;Nitzschia palea
Amazon-lowlands;Nitzschia palea;Nitzschia;Nitzschia palea
Amazon-lowlands;Nitzschia tropica;Nitzschia;Nitzschia tropica
Amazon-lowlands;Pinnularia cf acuminata var guyanensis;Pinnularia;Pinnularia cf acuminata var guyanensis
Amazon-lowlands;Pinnularia flama;Pinnularia;Pinnularia flama
Amazon-lowlands;Pinnularia gibba;Pinnularia;Pinnularia gibba
Amazon-lowlands;Pinnularia gibba var sancta;Pinnularia;Pinnularia gibba var sancta
Amazon-lowlands;Pinnularia hyalina;Pinnularia;Pinnularia hyalina
Amazon-lowlands;Pinnularia microstauron;Pinnularia;Pinnularia microstauron
Amazon-lowlands;Pinnularia parvullisima;Pinnularia;Pinnularia parvulisima
Amazon-lowlands;Pinnularia sp.;Pinnularia;Pinnularia spp
Amazon-lowlands;Pinnularia subanglica;Pinnularia;Pinnularia subanglica
Amazon-lowlands;Pinnularia subgibba var capitata;Pinnularia;Pinnularia subgibba var capitata
Amazon-lowlands;Placoneis cf constants;Placoneis;Placoneis cf constants
Amazon-lowlands;Placoneis cf minor;Placoneis;Placoneis cf minor
Amazon-lowlands;Placoneis cf placentula;Placoneis;Placoneis cf placentula
Amazon-lowlands;Pseudostaurosira brevistriata;Pseudostaurosira;Pseudostaurosira brevistriata
Amazon-lowlands;Rhopalodia gibba;Rhopalodia;Rhopalodia gibba
Amazon-lowlands;Sellaphora bacillum;Sellaphora;Sellaphora bacillum
Amazon-lowlands;Sellaphora laevissima;Sellaphora;Sellaphora laevissima
Amazon-lowlands;Sellaphora pupula;Sellaphora;Sellaphora pupula
Amazon-lowlands;Sellaphora cf seminulum;Sellaphora;Sellaphora seminulum
Amazon-lowlands;Sellaphora sp. 1 TOTORA;Sellaphora;Sellaphora sp. 1 TOTORA
Amazon-lowlands;Staurosira construens var venter;Staurosira;Staurosira construens var venter
Amazon-lowlands;Staurosira lapponica;Staurosirella;Staurosirella lapponica
Amazon-lowlands;Staurosirella pinnata;Staurosirella;Staurosirella pinnata
Amazon-lowlands;Stephanodiscus cf vestibulis;Stephanodiscus;Stephanodiscus cf vestibulis
Amazon-lowlands;Stephanodiscus sp.1;Stephanodiscus;Stephanodiscus spp
Amazon-lowlands;Surirella linearis;Surirella;Surirella linearis 
Amazon-lowlands;Tryblionella levidensis;Tryblionella;Tryblionella levidensis
Amazon-lowlands;cf Placoneis;Placoneis;
Amazon-lowlands;cf Trachyneis;Trachyneis;
Bradbury-SAltiplano;Achnanthes brevipes;Achnanthes;Achnanthes brevipes var brevipes
Bradbury-SAltiplano;Achnanthes sp.1 CHAIRIRI;Achnanthes;Achnanthes sp.1 CHAIRIRI
Bradbury-SAltiplano;Achnantes exigua;Achnanthidium;Achnanthidium exiguum
Bradbury-SAltiplano;Achnanthidium minutissimum;Achnanthidium;Achnanthidium minutissimum
Bradbury-SAltiplano;Achnanthidium saprophilum;Achnanthidium;Achnanthidium saprophilum
Bradbury-SAltiplano;Amphora acutiuscula;Amphora;Amphora acutiuscula
Bradbury-SAltiplano;Amphora carvajaliana;Amphora;Amphora carvajaliana
Bradbury-SAltiplano;Amphora cf luciae sensu;Amphora;Amphora cf luciae sensu
Bradbury-SAltiplano;Amphora cf tenerrima;Amphora;Amphora cf tenerrima
Bradbury-SAltiplano;Amphora coffeaeformis;Amphora;Amphora coffeaeformis
Bradbury-SAltiplano;Amphora copulata;Amphora;Amphora copulata
Bradbury-SAltiplano;Amphora lybica;Amphora;Amphora copulata
Bradbury-SAltiplano;Amphora pediculus;Amphora;Amphora pediculus
Bradbury-SAltiplano;Amphora subacutiuscula;Amphora;Amphora subacutiuscula
Bradbury-SAltiplano;Amphora veneta;Amphora;Amphora veneta
Bradbury-SAltiplano;Anomoeoneis sphaephora;Anomoeoneis;Anomoeoneis sphaerophora
Bradbury-SAltiplano;Anomoeoneis sphaephora f costata;Anomoeoneis;Anomoeoneis sphaerophora f costata
Bradbury-SAltiplano;Biremis circumtexta;Biremis;Biremis circumtexta
Bradbury-SAltiplano;Brachysira cf neglectissima;Brachysira;Brachysira cf neglectissima
Bradbury-SAltiplano;Brachysira sp.1 CHAIRIRI;Brachysira;Brachysira sp.1 CHAIRIRI
Bradbury-SAltiplano;Caloneis cf bacillum;Caloneis;Caloneis cf bacillum
Bradbury-SAltiplano;Caloneis cf molaris;Caloneis;Caloneis cf molaris
Bradbury-SAltiplano;Campylodiscus clypeus;Campylodiscus;Campylodiscus clypeus
Bradbury-SAltiplano;Cocconeis cf pseudothumensis;Cocconeis;Cocconeis cf pseudothumensis
Bradbury-SAltiplano;Cocconeis placentula var euglypta;Cocconeis;Cocconeis placentula var euglypta
Bradbury-SAltiplano;Cocconeis placentula var lineata;Cocconeis;Cocconeis placentula var lineata
Bradbury-SAltiplano;Cocconeis placentula var placentula;Cocconeis;Cocconeis placentula var placentula
Bradbury-SAltiplano;Cocconeis pseudolineata;Cocconeis;Cocconeis pseudolineata
Bradbury-SAltiplano;Craticula acidoclinata;Craticula;Craticula acidoclinata
Bradbury-SAltiplano;Craticula ambigua;Craticula;Craticula ambigua
Bradbury-SAltiplano;Craticula buderi;Craticula;Craticula buderi
Bradbury-SAltiplano;Craticula cuspidata;Craticula;Craticula cuspidata
Bradbury-SAltiplano;Craticula halophila;Craticula;Craticula halophila
Bradbury-SAltiplano;Craticula halophidoides;Craticula;Craticula halophilioides
Bradbury-SAltiplano;Craticula spp;Craticula;Craticula spp
Bradbury-SAltiplano;Fragilaria pulchella;Ctenophora;Ctenophora pulchella
Bradbury-SAltiplano;Cyclotella meneghiniana;Cyclotella;Cyclotella meneghiniana
Bradbury-SAltiplano;Cymbella cymbiformis;Cymbella;Cymbella cymbiformis
Bradbury-SAltiplano;Cymbella excisa;Cymbella;Cymbella excisa
Bradbury-SAltiplano;Nitzschia denticula;Denticula;Denticula kuetzingii
Bradbury-SAltiplano;Denticula valida;Denticula;Denticula valida
Bradbury-SAltiplano;Diatoma moniliformis;Diatoma;Diatoma moniliformis
Bradbury-SAltiplano;Diatoma vulgaris;Diatoma;Diatoma vulgaris
Bradbury-SAltiplano;Cyclotella stelligera;Discostella;Discostella stelligera
Bradbury-SAltiplano;Encyonema minutum;Encyonema;Encyonema minutum
Bradbury-SAltiplano;Encyonema silesiacum var chilensis;Encyonema;Encyonema silesiacum var chilensis
Bradbury-SAltiplano;Encyonema sp.1 LAGUNA BLANCA;Encyonema;Encyonema sp.1 LAGUNA BLANCA
Bradbury-SAltiplano;Encyonopsis microcephala;Encyonopsis;Encyonopsis microcephala
Bradbury-SAltiplano;Encyonopsis subminuta;Encyonopsis;Encyonopsis subminuta
Bradbury-SAltiplano;Entomoneis cf paludosa var subsalina;Entomoneis;Entomoneis paludosa var subsalina
Bradbury-SAltiplano;Eolimna subminuscula;Eolimna;Eolimna subminuscula
Bradbury-SAltiplano;Ephitemia adnata;Epithemia;Epithemia adnata
Bradbury-SAltiplano;Ephitemia sorex;Epithemia;Epithemia sorex
Bradbury-SAltiplano;Eunotia exigua;Eunotia;Eunotia exigua
Bradbury-SAltiplano;Eunotia muscicula var tridentula;Eunotia;Eunotia muscicola var tridentula
Bradbury-SAltiplano;Eunotia tenella;Eunotia;Eunotia tenella
Bradbury-SAltiplano;Fallacia cf pygmaea;Eunotia;Fallacia cf pygmaea
Bradbury-SAltiplano;Fragilaria aff investiens;Fragilaria;Fragilaria aff investiens
Bradbury-SAltiplano;Fragilaria capucina;Fragilaria;Fragilaria capucina
Bradbury-SAltiplano;Fragilaria capucinca var capitelata;Fragilaria;Fragilaria capucina var capitelata
Bradbury-SAltiplano;Fragilaria sp.1 LAGUNILLAS;Fragilaria;Fragilaria sp.1 LAGUNILLAS
Bradbury-SAltiplano;Fragilaria tenera;Fragilaria;Fragilaria tenera
Bradbury-SAltiplano;Fragilaria vaucheriae;Fragilaria;Fragilaria vaucheriae
Bradbury-SAltiplano;Frankophila similioides;Frankophila;Frankophila similioides
Bradbury-SAltiplano;Gomphonema angustatum;Gomphonema;Gomphonema angustatum
Bradbury-SAltiplano;Gomphonema auritum;Gomphonema;Gomphonema auritum
Bradbury-SAltiplano;Gomphonema cf parvulum;Gomphonema;Gomphonema cf parvulum
Bradbury-SAltiplano;Gomphonema cf pseudoagur;Gomphonema;Gomphonema cf pseudoaugur
Bradbury-SAltiplano;Gomphonema clavatum;Gomphonema;Gomphonema clavatum
Bradbury-SAltiplano;Gomphonema gracile;Gomphonema;Gomphonema gracile
Bradbury-SAltiplano;Gomphonema lagenula;Gomphonema;Gomphonema lagenula
Bradbury-SAltiplano;Gomphonema minutum;Gomphonema;Gomphonema minutum
Bradbury-SAltiplano;Gomphonema parvulum;Gomphonema;Gomphonema parvulum
Bradbury-SAltiplano;Gomphonema pseudoagur;Gomphonema;Gomphonema pseudoaugur
Bradbury-SAltiplano;Gomphonema pumilum var rigidum;Gomphonema;Gomphonema pumilum var rigidum
Bradbury-SAltiplano;Gomphonema sp.1 DESAGUADERO;Gomphonema;Gomphonema sp.1 DESAGUADERO
Bradbury-SAltiplano;Gomphonema sp.1 HUANCAROMA;Gomphonema;Gomphonema sp.1 HUANCAROMA
Bradbury-SAltiplano;Gomphonema sp.1 MAURI;Gomphonema;Gomphonema sp.1 MAURI
Bradbury-SAltiplano;Gomphonema capitatum;Gomphonema;Gomphonema truncatum var capitatum
Bradbury-SAltiplano;Gyrosigma accuminatum;Gyrosigma;Gyrosigma acuminatum
Bradbury-SAltiplano;Halamphora kevei;Halamphora;Halamphora kevei
Bradbury-SAltiplano;Halamphora paraveneta;Halamphora;Halamphora paraveneta
Bradbury-SAltiplano;Hantzschia amphyoxys;Hantzschia;Hantzschia amphioxys
Bradbury-SAltiplano;Hantzschia cf abundans;Hantzschia;Hantzschia cf abundans
Bradbury-SAltiplano;Hantzschia distinctepunctata;Hantzschia;Hantzschia distinctepunctata
Bradbury-SAltiplano;Hantzschia sp.1 DESAGUADEROP;Hantzschia;Hantzschia sp.1 DESAGUADEROP
Bradbury-SAltiplano;Hippodonta hungarica;Hippodonta;Hippodonta hungarica
Bradbury-SAltiplano;Lemnicola hungarica;Lemnicola;Lemnicola hungarica
Bradbury-SAltiplano;Luticola kotschyi;Luticola;Luticola kotschyi
Bradbury-SAltiplano;Luticola mutica;Luticola;Luticola mutica
Bradbury-SAltiplano;Luticola nivalis;Luticola;Luticola nivalis
Bradbury-SAltiplano;Luticola sp.1 LAGUNA BLANCA;Luticola;Luticola sp.1 LAGUNA BLANCA
Bradbury-SAltiplano;Luticola sp.1 POOPO;Luticola;Luticola sp.1 POOPO
Bradbury-SAltiplano;Fragilaria martyi;Martiana;Martiana martyii
Bradbury-SAltiplano;Mastogloia elliptica;Mastogloia;Mastogloia elliptica
Bradbury-SAltiplano;Navicula aff luciae;Navicula;Navicula aff luciae
Bradbury-SAltiplano;Navicula altiplanensis;Navicula;Navicula altiplanensis
Bradbury-SAltiplano;Navicula capitatoradiata;Navicula;Navicula capitatoradiata
Bradbury-SAltiplano;Navicula cf dilucida;Navicula;Navicula cf dilucida
Bradbury-SAltiplano;Navicula cf lauca;Navicula;Navicula cf lauca
Bradbury-SAltiplano;Navicula cryptocephala;Navicula;Navicula cryptocephala
Bradbury-SAltiplano;Navicula cryptotenella;Navicula;Navicula cryptotenella
Bradbury-SAltiplano;Navicula erifuga;Navicula;Navicula erifuga
Bradbury-SAltiplano;Navicula gregaria;Navicula;Navicula gregaria
Bradbury-SAltiplano;Navicula lanceolata;Navicula;Navicula lanceolata
Bradbury-SAltiplano;Navicula lauca;Navicula;Navicula lauca
Bradbury-SAltiplano;Navicula libonensis;Navicula;Navicula libonensis
Bradbury-SAltiplano;Navicula microdigitoradiata;Navicula;Navicula microdigitoradiata
Bradbury-SAltiplano;Navicula parinocota;Navicula;Navicula parinocota
Bradbury-SAltiplano;Navicula peregrina;Navicula;Navicula peregrina
Bradbury-SAltiplano;Navicula pseudogracilis;Navicula;Navicula pseudogracilis
Bradbury-SAltiplano;Navicula reichardtiana;Navicula;Navicula reichardtiana 
Bradbury-SAltiplano;Navicula salinicola;Navicula;Navicula salinicola
Bradbury-SAltiplano;Navicula sp.1 DESAGUADERO3;Navicula;Navicula sp.1 DESAGUADERO3
Bradbury-SAltiplano;Navicula sp.1 NAZACARA;Navicula;Navicula sp.1 NAZACARA
Bradbury-SAltiplano;Navicula sp.1 SALCRO;Navicula;Navicula sp.1 SALCRO
Bradbury-SAltiplano;Navicula sp.1 SOLEDAD;Navicula;Navicula sp.1 SOLEDAD
Bradbury-SAltiplano;Navicula sp.1 UMAPA;Navicula;Navicula sp.1 UMAPA
Bradbury-SAltiplano;Navicula tripunctata;Navicula;Navicula tripunctata
Bradbury-SAltiplano;Navicula vandami var mertiense;Navicula;Navicula vandami var mertiense
Bradbury-SAltiplano;Navicula veneta;Navicula;Navicula veneta
Bradbury-SAltiplano;Naviculadicita cf utermoehlii;Navicula;Naviculadicita cf utermoehlii
Bradbury-SAltiplano;Naviculadicta cf bacilloides;Naviculadicta;Naviculadicta cf bacilloides
Bradbury-SAltiplano;Naviculadicta chilensis;Naviculadicta;Naviculadicta chilensis
Bradbury-SAltiplano;Naviculadicta sp.1 DESAGUADERO;Naviculadicta;Naviculadicta sp.1 DESAGUADERO
Bradbury-SAltiplano;Navicymbula pusilla;Navicymbula;Navicymbula pusilla
Bradbury-SAltiplano;Neidium bisulcatum;Neidium;Neidium bisulcatum
Bradbury-SAltiplano;Nitzschia acidoclinata;Nitzschia;Nitzschia acidoclinata
Bradbury-SAltiplano;Nitzschia adamata;Nitzschia;Nitzschia adamata
Bradbury-SAltiplano;Nitzschia aff semirobusta;Nitzschia;Nitzschia aff semirobusta
Bradbury-SAltiplano;Nitzschia agnita;Nitzschia;Nitzschia agnita
Bradbury-SAltiplano;Nitzschia boliviana;Nitzschia;Nitzschia boliviana
Bradbury-SAltiplano;Nitzschia capitellata;Nitzschia;Nitzschia capitellata
Bradbury-SAltiplano;Nitzschia cf alpina;Nitzschia;Nitzschia cf alpina
Bradbury-SAltiplano;Nitzschia cf archibaldii;Nitzschia;Nitzschia cf archibaldii
Bradbury-SAltiplano;Nitzschia cf bacillum;Nitzschia;Nitzschia cf bacillum
Bradbury-SAltiplano;Nitzschia cf boliviana;Nitzschia;Nitzschia cf boliviana
Bradbury-SAltiplano;Nitzschia cf elliptica;Nitzschia;Nitzschia cf elliptica
Bradbury-SAltiplano;Nitzschia cf fonticola;Nitzschia;Nitzschia cf fonticola
Bradbury-SAltiplano;Nitzschia cf frustulum;Nitzschia;Nitzschia cf frustulum
Bradbury-SAltiplano;Nitzschia cf palea;Nitzschia;Nitzschia cf palea
Bradbury-SAltiplano;Nitzschia cf palea debilis;Nitzschia;Nitzschia cf palea var debilis
Bradbury-SAltiplano;Nitzschia cf perminuta;Nitzschia;Nitzschia cf perminuta
Bradbury-SAltiplano;Nitzschia cf pusilla;Nitzschia;Nitzschia cf pusilla
Bradbury-SAltiplano;Nitzschia chungara;Nitzschia;Nitzschia chungara
Bradbury-SAltiplano;Nitzschia communis;Nitzschia;Nitzschia communis
Bradbury-SAltiplano;Nitzschia commutata;Nitzschia;Nitzschia commutata
Bradbury-SAltiplano;Nitzschia dissipata;Nitzschia;Nitzschia dissipata
Bradbury-SAltiplano;Nitzschia dubia;Nitzschia;Nitzschia dubia
Bradbury-SAltiplano;Nitzschia epithemioides;Nitzschia;Nitzschia epithemioides
Bradbury-SAltiplano;Nitzschia fonticola;Nitzschia;Nitzschia fonticola
Bradbury-SAltiplano;Nitzschia frustulum;Nitzschia;Nitzschia frustulum
Bradbury-SAltiplano;Nitzschia gracilis;Nitzschia;Nitzschia gracilis
Bradbury-SAltiplano;Nitzschia hantzschiana;Nitzschia;Nitzschia hantzschiana
Bradbury-SAltiplano;Nitzschia inconspicua;Nitzschia;Nitzschia inconspicua
Bradbury-SAltiplano;Nitzschia liebetruthii;Nitzschia;Nitzschia liebertruthii
Bradbury-SAltiplano;Nitzschia linearis;Nitzschia;Nitzschia linearis
Bradbury-SAltiplano;Nitzschia microcephala;Nitzschia;Nitzschia microcephala
Bradbury-SAltiplano;Nitzschia nana;Nitzschia;Nitzschia nana
Bradbury-SAltiplano;Nitzschia palea;Nitzschia;Nitzschia palea
Bradbury-SAltiplano;Nitzschia sigma;Nitzschia;Nitzschia sigma
Bradbury-SAltiplano;Nitzschia solita;Nitzschia;Nitzschia solita
Bradbury-SAltiplano;Nitzschia soratensis;Nitzschia;Nitzschia soratensis
Bradbury-SAltiplano;Nitzschia sp.1 DESAGUADERO1;Nitzschia;Nitzschia sp.1 DESAGUADERO1
Bradbury-SAltiplano;Nitzschia sp.1 DESAGUADERO2;Nitzschia;Nitzschia sp.1 DESAGUADERO2
Bradbury-SAltiplano;Nitzschia sp.1 NAZACARA;Nitzschia;Nitzschia sp.1 NAZACARA
Bradbury-SAltiplano;Nitzschia sp.2 NAZACARA;Nitzschia;Nitzschia sp.2 NAZACARA
Bradbury-SAltiplano;Nitzschia subacicularis;Nitzschia;Nitzschia subacicularis
Bradbury-SAltiplano;Nitzschia subtilioides;Nitzschia;Nitzschia subtilioides
Bradbury-SAltiplano;Nitzschia supralitorea;Nitzschia;Nitzschia supralitorea
Bradbury-SAltiplano;Nitzschia tropica;Nitzschia;Nitzschia tropica
Bradbury-SAltiplano;Nitzschia umbonata;Nitzschia;Nitzschia umbonata
Bradbury-SAltiplano;Nitzschia valdecostata;Nitzschia;Nitzschia valdecostata
Bradbury-SAltiplano;Pinnularia borealis;Pinnularia;Pinnularia borealis
Bradbury-SAltiplano;Pinnularia cf stomatophora;Pinnularia;Pinnularia cf stomatophora
Bradbury-SAltiplano;Pinnularia gibba;Pinnularia;Pinnularia gibba
Bradbury-SAltiplano;Pinnularia laucensis;Pinnularia;Pinnularia laucensis
Bradbury-SAltiplano;Pinnularia obscura;Pinnularia;Pinnularia obscura
Bradbury-SAltiplano;Placoneis constants;Placoneis;Placoneis constants
Bradbury-SAltiplano;Planothidium biporomum;Planothidium;Planothidium biporomum
Bradbury-SAltiplano;Planothidium delicatulum;Planothidium;Planothidium delicatulum
Bradbury-SAltiplano;Planothidium frequentissimum;Planothidium;Planothidium frequentissimum
Bradbury-SAltiplano;Planothidium lanceolatum;Planothidium;Planothidium lanceolatum
Bradbury-SAltiplano;Planothidium rhombicuneatum;Planothidium;Planothidium rhombicuneatum
Bradbury-SAltiplano;Planothidium rostratum;Planothidium;Planothidium rostratum
Bradbury-SAltiplano;Psammothidium subatomoides;Psammothidium;Psammothidium subatomoides
Bradbury-SAltiplano;Pseudostaurosira brevistriata;Pseudostaurosira;Pseudostaurosira brevistriata
Bradbury-SAltiplano;Pseudostaurosira cf decipiens;Pseudostaurosira;Pseudostaurosira cf decipiens
Bradbury-SAltiplano;Fragilaria cf elliptica;Pseudostaurosira;Pseudostaurosira cf elliptica
Bradbury-SAltiplano;Pseudostaurosira cf elliptica;Pseudostaurosira;Pseudostaurosira cf elliptica
Bradbury-SAltiplano;Pseudostaurosira cf kjotsunarum;Pseudostaurosira;Pseudostaurosira cf kjotsunarum
Bradbury-SAltiplano;Pseudostaurosira cf sajamaensis;Pseudostaurosira;Pseudostaurosira cf sajamaensis
Bradbury-SAltiplano;Staurosira laucensis;Pseudostaurosira;Pseudostaurosira laucensis
Bradbury-SAltiplano;Staurosira laucensis var vulpina;Pseudostaurosira;Pseudostaurosira laucensis var vulpina
Bradbury-SAltiplano;Staurosira pseudoconstruens;Pseudostaurosira;Pseudostaurosira pseudoconstruens
Bradbury-SAltiplano;Pseudostaurosira sp.1 LAKE34;Pseudostaurosira;Pseudostaurosira sp.1 LAKE34
Bradbury-SAltiplano;Pseudostaurosira subsalina;Pseudostaurosira;Pseudostaurosira subsalina
Bradbury-SAltiplano;Reimeria sinuata;Reimeria;Reimeria sinuata
Bradbury-SAltiplano;Rhoicosphenia abbreviata;Rhoicosphenia;Rhoicosphenia abbreviata
Bradbury-SAltiplano;Rhopalodia brebissoni;Rhopalodia;Rhopalodia brebissoni
Bradbury-SAltiplano;Rhopalodia cf gibberula;Rhopalodia;Rhopalodia cf gibberula
Bradbury-SAltiplano;Rhopalodia constricta;Rhopalodia;Rhopalodia constricta
Bradbury-SAltiplano;Rhopalodia gibba;Rhopalodia;Rhopalodia gibba
Bradbury-SAltiplano;Rhopalodia gibba var parallela;Rhopalodia;Rhopalodia gibba var parallela
Bradbury-SAltiplano;Sellaphora pupula;Sellaphora;Sellaphora pupula
Bradbury-SAltiplano;Stauroneis agrestis;Stauroneis;Stauroneis agrestis
Bradbury-SAltiplano;Staurophora vilamae;Staurophora;Staurophora vilamae
Bradbury-SAltiplano;Fragilaria construens f exigua;Staurosira;Staurosira construens var exigua
Bradbury-SAltiplano;Staurosira construens var venter;Staurosira;Staurosira construens var venter
Bradbury-SAltiplano;Staurosira sp.1 DESAGUADERO3;Staurosira;Staurosira sp.1 DESAGUADERO3
Bradbury-SAltiplano;Staurosira sp.1 FLOODPLAIN;Staurosira;Staurosira sp.1 FLOODPLAIN
Bradbury-SAltiplano;Staurosirella leptostauron;Staurosirella;Staurosirella leptostauron
Bradbury-SAltiplano;Staurosirella pinnata;Staurosirella;Staurosirella pinnata 
Bradbury-SAltiplano;Stephanodiscus parvus;Stephanodiscus;Stephanodiscus parvus
Bradbury-SAltiplano;Surirella angusta;Surirella;Surirella angusta
Bradbury-SAltiplano;Surirella brebissoni;Surirella;Surirella brebissoni
Bradbury-SAltiplano;Surirella ovalis;Surirella;Surirella ovalis
Bradbury-SAltiplano;Surirella roba;Surirella;Surirella roba
Bradbury-SAltiplano;Surirella wetzelli;Surirella;Surirella wetzelii
Bradbury-SAltiplano;Fragilaria acus;Synedra;Synedra acus
Bradbury-SAltiplano;Tabularia tabulata;Tabellaria;Tabellaria tabulata
Bradbury-SAltiplano;Tryblionella apiculata;Tryblionella;Tryblionella apiculata
Bradbury-SAltiplano;Tryblionella compressa;Tryblionella;Tryblionella compressa
Bradbury-SAltiplano;Tryblionella hungarica;Tryblionella;Tryblionella hungarica
Bradbury-SAltiplano;Tryblionella tryblionella;Tryblionella;Tryblionella tryblionella
Bradbury-SAltiplano;Ulnaria ulna;Ulnaria;Ulnaria ulna
Bush-Guido;Psammothidium daoense;Achnanthes;Achnanthes daoensis
Bush-Guido;Achnanthidium catenatum;Achnanthidium;Achnanthidium catenatum
Bush-Guido;Achnanthidium minutissimum;Achnanthidium;Achnanthidium minutissimum
Bush-Guido;Navicula bryophila;Adlafia;Adlafia bryophila
Bush-Guido;Aulacoseira alpigena;Aulacoseira;Aulacoseira alpigena
Bush-Guido;Aulacoseira ambigua;Aulacoseira;Aulacoseira ambigua
