id;CollectionName;Country;Collector-Analyst;Year;SiteName;SampleType;Habitat;Substrate;code_original;code;region;Lat DD S;Long DD W;EnvironmentalData (1=yes/2=no);Mud;Slides;Count;Observations
129;GoslingBirdAndes;Peru;Gosling-Bird;2003;Sora Kkota;surface sediment;Lake;epipelon;;GslngBA_SoraKkot;Peru-Andean Puna;-16,183;-68,338;1;1;0;0;No mud sample found
130;GoslingBirdAndes;Peru;Gosling-Bird;2003;Khara Kkota (north);surface sediment;Lake;epipelon;;GslngBA_KK(nrth);Peru-Andean Puna;-16,133;-68,362;1;1;1;1;Khara Kkota 2 (COUNTED)
131;GoslingBirdAndes;Peru;Gosling-Bird;2003;Aquihui;surface sediment;Lake;epipelon;;GslngBA_Aquihui;Peru-Andean Puna;-16,089;-68,885;1;1;1;0;Aquihui 1 and 3 - BARREN
132;GoslingBirdAndes;Peru;Gosling-Bird;2003;Lake 34;surface sediment;Lake;epipelon;;GslngBA_Lake 34;Peru-Andean Puna;-16,915;-68,95;1;1;1;1;Lake 34 2 (COUNTED), and 3
133;GoslingBirdAndes;Peru;Gosling-Bird;2003;Muru Kkota;surface sediment;Lake;epipelon;;GslngBA_MuruKkot;Peru-Andean Puna;-16,427;-68,143;1;1;0;0;Barren diatoms
134;JuninPlain;Peru;Tapia;1999;L. Tauli, shore;modern;Lake;water;02.VII.99-1;JunnPln_L.Tl,shr1;JuninPlain;-10,724;-76,071;1;0;1;1;Confirm Pedro
135;JuninPlain;Peru;Tapia;1999;Huagapo Cave, outside;modern;Spring;periphyton;28.VI.99-3;JunnPln_HgpCv,ot;JuninPlain;-11,268;-75,787;1;0;1;1;Confirm Pedro
136;JuninPlain;Peru;Tapia;1999;L. Ccochachuycho, shore;modern;Lake;periphyton;02.VII.99-4;JunnPln_L.Ccch,s;JuninPlain;-10,76;-76,072;1;0;1;1;Confirm Pedro
137;JuninPlain;Peru;Tapia;1999;Junin 11, Gunoc Km 255;surface sediment;Stream;epipelon;01.VII.99-36;JunnPln_J11,GK252;JuninPlain;-10,944;-76,046;1;0;1;1;Confirm Pedro
138;JuninPlain;Peru;Tapia;1999;Junin 11, Gunoc Km 255;modern;Stream;epilithic;01.VII.99-37;JunnPln_J11,GK253;JuninPlain;-10,944;-76,046;1;0;1;1;Confirm Pedro
139;JuninPlain;Peru;Tapia;1999;Junin 11, Gunoc Km 255;modern;Stream;water;01.VII.99-39;JunnPln_J11,GK254;JuninPlain;-10,944;-76,046;1;0;1;1;Confirm Pedro
140;JuninPlain;Peru;Tapia;1999;Junin 11, Gunoc Km 255;modern;Stream;water;01.VII.99-40;JunnPln_J11,GK255;JuninPlain;-10,944;-76,046;1;0;1;1;Confirm Pedro
141;JuninPlain;Peru;Tapia;1999;L. Lulicocha, shore;modern;Lake;periphyton;02.VII.99-7;JunnPln_L.Llcc,s1;JuninPlain;-10,778;-76,097;1;0;1;1;Confirm Pedro
142;JuninPlain;Peru;Tapia;1999;Junin 13, Qda. Anascanchi;modern;Stream;water;04.VII.99-9;JunnPln_J13,Qd.A2;JuninPlain;-10,979;-76,036;1;0;1;1;Confirm Pedro
143;JuninPlain;Peru;Tapia;1999;Junin 13, Qda. Anascanchi;modern;Stream;water;04.VII.99-10;JunnPln_J13,Qd.A3;JuninPlain;-10,979;-76,036;1;0;1;1;Confirm Pedro
144;JuninPlain;Peru;Tapia;1999;Junin 10, Tambo del Sol;modern;Stream;periphyton;01.VII.99-30;JunnPln_Jn10,TdS1;JuninPlain;-10,81;-76,134;1;0;1;1;Confirm Pedro
145;JuninPlain;Peru;Tapia;1999;Junin 10, Tambo del Sol;surface sediment;Stream;epipelon;01.VII.99-31;JunnPln_Jn10,TdS2;JuninPlain;-10,803;-76,126;1;0;1;1;Confirm Pedro
146;JuninPlain;Peru;Tapia;1999;Junin 10, Tambo del Sol;modern;Stream;water;01.VII.99-33;JunnPln_Jn10,TdS3;JuninPlain;-10,81;-76,134;1;0;1;1;Confirm Pedro
147;JuninPlain;Peru;Tapia;1999;Junin 10, Tambo del Sol;modern;Stream;water;01.VII.99-34;JunnPln_Jn10,TdS4;JuninPlain;-10,81;-76,134;1;0;1;1;Confirm Pedro
148;JuninPlain;Peru;Tapia;1999;Junin 9, ditch before Shelby;modern;Stream;periphyton;01.VII.99-25;JunnPln_Jnn9,dbS1;JuninPlain;-10,814;-76,232;1;0;1;1;Confirm Pedro
149;JuninPlain;Peru;Tapia;1999;Junin 14, Palcamayo R.;modern;Stream;water;04.VII.99-11;JunnPln_Jn14,PR.2;JuninPlain;-10,915;-76,047;1;0;1;1;Confirm Pedro
150;JuninPlain;Peru;Tapia;1999;Junin 14, Palcamayo R.;modern;Stream;water;04.VII.99-12;JunnPln_Jn14,PR.3;JuninPlain;-10,915;-76,047;1;0;1;1;Confirm Pedro
151;JuninPlain;Peru;Tapia;1999;L. Yanacocha, shore;modern;Lake;periphyton;26.VI.99-7;JunnPln_L.Yncc,s1;JuninPlain;-10,833;-76,036;1;0;1;1;Confirm Pedro
152;JuninPlain;Peru;Tapia;1999;Junin 7, San Pedro de Pari;modern;Lake;water;01.VII.99-18;JunnPln_Jn7,SPdP2;JuninPlain;-10,964;-76,231;1;0;1;1;Confirm Pedro
153;JuninPlain;Peru;Tapia;1999;Junin 7, San Pedro de Pari;modern;Lake;water;01.VII.99-19;JunnPln_Jn7,SPdP3;JuninPlain;-10,964;-76,231;1;0;1;1;Confirm Pedro
154;JuninPlain;Peru;Tapia;1999;L. Purun, center;surface sediment;Lake;epipelon;03.VII.99-5;JunnPln_L.Prn,cn;JuninPlain;-10,835;-76,46;1;0;1;1;Confirm Pedro
155;JuninPlain;Peru;Tapia;1999;Junin 1, Chacachimpa R.;modern;River;water;30.VI.99-3;JunnPln_Jnn1,CR.2;JuninPlain;-11,165;-76,017;1;0;1;1;Confirm Pedro
156;JuninPlain;Peru;Tapia;1999;Junin 1, Chacachimpa R.;modern;River;water;30.VI.99-4;JunnPln_Jnn1,CR.3;JuninPlain;-11,165;-76,017;1;0;1;1;Confirm Pedro
157;JuninPlain;Peru;Tapia;1999;L. Purun, shore;modern;Lake;periphyton;03.VII.99-1;JunnPln_L.Prn,sh1;JuninPlain;-10,836;-76,454;1;0;1;1;Confirm Pedro
158;JuninPlain;Peru;Tapia;1999;Junin 12, Chacpas;modern;Stream;water;04.VII.99-7;JunnPln_Jnn12,Ch2;JuninPlain;-11,002;-76,01;1;0;1;1;Confirm Pedro
159;JuninPlain;Peru;Tapia;1999;Junin 12, Chacpas;modern;Stream;water;04.VII.99-8;JunnPln_Jnn12,Ch3;JuninPlain;-11,002;-76,01;1;0;1;1;Confirm Pedro
160;JuninPlain;Peru;Tapia;1999;Yanacocha 1, wetland;modern;Wetland;periphyton;27.VI.99-1;JunnPln_Yncch1,w;JuninPlain;-10,857;-75,986;1;0;1;1;Confirm Pedro
161;JuninPlain;Peru;Tapia;1999;Junin 2, Warmipuquio spring;modern;Spring;periphyton;30.VI.99-6;JunnPln_Jnn2,Wrs2;JuninPlain;-11,113;-76,091;1;0;1;1;Confirm Pedro
162;JuninPlain;Peru;Tapia;1999;Junin 2, Warmipuquio spring;surface sediment;Spring;epipelon;30.VI.99-7;JunnPln_Jnn2,Wrs3;JuninPlain;-11,113;-76,091;1;0;1;1;Confirm Pedro
163;JuninPlain;Peru;Tapia;1999;Junin 2, Warmipuquio spring;modern;Spring;water;30.VI.99-10;JunnPln_Jnn2,Wrs4;JuninPlain;-11,113;-76,091;1;0;1;1;Confirm Pedro
164;JuninPlain;Peru;Tapia;1999;Junin 2, Warmipuquio spring;modern;Spring;water;30.VI.99-11;JunnPln_Jnn2,Wrs5;JuninPlain;-11,113;-76,091;1;0;1;1;Confirm Pedro
165;JuninPlain;Peru;Tapia;1999;Yanacocha 2, inflow stream;modern;Stream;periphyton;27.VI.99-3;JunnPln_Yncc2,is;JuninPlain;-10,857;-75,983;1;0;1;1;Confirm Pedro
166;JuninPlain;Peru;Tapia;1999;Junin 3, spring 2;modern;Spring;water;30.VI.99-15;JunnPln_Jnn3,sp22;JuninPlain;-11,124;-76,086;1;0;1;1;Confirm Pedro
167;JuninPlain;Peru;Tapia;1999;Junin 3, spring 2;modern;Spring;water;30.VI.99-16;JunnPln_Jnn3,sp23;JuninPlain;-11,124;-76,086;1;0;1;1;Confirm Pedro
168;JuninPlain;Peru;Tapia;1999;Junin 14, Palcamayo R.;modern;Stream;periphyton;04.VII.99-5;JunnPln_Jn14,PR.1;JuninPlain;-10,915;-76,047;1;0;1;1;Confirm Pedro
169;JuninPlain;Peru;Tapia;1999;Junin 4, Ondores spring;modern;Spring;epilithic;01.VII.99-2;JunnPln_Jnn4,Ons2;JuninPlain;-11,082;-76,148;1;0;1;1;Confirm Pedro
170;JuninPlain;Peru;Tapia;1999;Junin 4, Ondores spring;modern;Spring;water;01.VII.99-4;JunnPln_Jnn4,Ons3;JuninPlain;-11,082;-76,148;1;0;1;1;Confirm Pedro
171;JuninPlain;Peru;Tapia;1999;Junin 4, Ondores spring;modern;Spring;water;01.VII.99-5;JunnPln_Jnn4,Ons4;JuninPlain;-11,082;-76,148;1;0;1;1;Confirm Pedro
172;JuninPlain;Peru;Tapia;1999;Junin 8, Upamayo Bridge;modern;Stream;periphyton;01.VII.99-20;JunnPln_Jnn8,UpB1;JuninPlain;-10,921;-76,263;1;0;1;1;Confirm Pedro
173;JuninPlain;Peru;Tapia;1999;Junin 5, Conoc spring;surface sediment;Spring;epipelon;01.VII.99-7;JunnPln_Jnn5,Cns2;JuninPlain;-11,056;-76,158;1;0;1;1;Confirm Pedro
174;JuninPlain;Peru;Tapia;1999;Junin 5, Conoc spring;modern;Spring;water;01.VII.99-9;JunnPln_Jnn5,Cns3;JuninPlain;-11,056;-76,158;1;0;1;1;Confirm Pedro
175;JuninPlain;Peru;Tapia;1999;Junin 5, Conoc spring;modern;Spring;water;01.VII.99-10;JunnPln_Jnn5,Cns4;JuninPlain;-11,056;-76,158;1;0;1;1;Confirm Pedro
176;JuninPlain;Peru;Tapia;1999;Junin 11, Gunoc Km 255;modern;Stream;periphyton;01.VII.99-35;JunnPln_J11,GK251;JuninPlain;-10,944;-76,046;1;0;1;1;Confirm Pedro
177;JuninPlain;Peru;Tapia;1999;Junin 6, Chuchucancha R.;surface sediment;River;epipelon;01.VII.99-12;JunnPln_Jnn6,CR.2;JuninPlain;-11,042;-76,188;1;0;1;1;Confirm Pedro
178;JuninPlain;Peru;Tapia;1999;Junin 6, Chuchucancha R.;modern;River;water;01.VII.99-14;JunnPln_Jnn6,CR.3;JuninPlain;-11,042;-76,188;1;0;1;1;Confirm Pedro
179;JuninPlain;Peru;Tapia;1999;Junin 6, Chuchucancha R.;modern;River;water;01.VII.99-15;JunnPln_Jnn6,CR.4;JuninPlain;-11,042;-76,188;1;0;1;1;Confirm Pedro
180;JuninPlain;Peru;Tapia;1999;Junin 7, San Pedro de Pari;modern;Lake;periphyton;01.VII.99-16;JunnPln_Jn7,SPdP1;JuninPlain;-10,964;-76,231;1;0;1;1;Confirm Pedro
181;JuninPlain;Peru;Tapia;1999;Junin 8, Upamayo Bridge;modern;Stream;water;01.VII.99-21;JunnPln_Jnn8,UpB2;JuninPlain;-10,921;-76,263;1;0;1;1;Confirm Pedro
182;JuninPlain;Peru;Tapia;1999;Junin 8, Upamayo Bridge;modern;Stream;water;01.VII.99-23;JunnPln_Jnn8,UpB3;JuninPlain;-10,921;-76,263;1;0;1;1;Confirm Pedro
183;JuninPlain;Peru;Tapia;1999;Junin 8, Upamayo Bridge;modern;Stream;water;01.VII.99-24;JunnPln_Jnn8,UpB4;JuninPlain;-10,921;-76,263;1;0;1;1;Confirm Pedro
184;JuninPlain;Peru;Tapia;1999;Junin 13, Qda. Anascanchi;modern;Stream;periphyton;04.VII.99-3;JunnPln_J13,Qd.A1;JuninPlain;-10,979;-76,036;1;0;1;1;Confirm Pedro
185;JuninPlain;Peru;Tapia;1999;Junin 9, ditch before Shelby;surface sediment;Stream;epipelon;01.VII.99-26;JunnPln_Jnn9,dbS2;JuninPlain;-10,813;-76,232;1;0;1;1;Confirm Pedro
186;JuninPlain;Peru;Tapia;1999;Junin 9, ditch before Shelby;modern;Stream;water;01.VII.99-28;JunnPln_Jnn9,dbS3;JuninPlain;-10,814;-76,232;1;0;1;1;Confirm Pedro
187;JuninPlain;Peru;Tapia;1999;Junin 9, ditch before Shelby;modern;Stream;water;01.VII.99-29;JunnPln_Jnn9,dbS4;JuninPlain;-10,814;-76,232;1;0;1;1;Confirm Pedro
188;JuninPlain;Peru;Tapia;1999;L. Alcacocha, shore;modern;Lake;water;26.VI.99-2;JunnPln_L.Alcc,s1;JuninPlain;-11,084;-75,935;1;0;1;1;Confirm Pedro
189;JuninPlain;Peru;Tapia;1999;L. Alcacocha, shore;modern;Lake;water;26.VI.99-3;JunnPln_L.Alcc,s2;JuninPlain;-11,084;-75,935;1;0;1;1;Confirm Pedro
190;JuninPlain;Peru;Tapia;1999;L. Junin, center;modern;Lake;periphyton;25.VI.99-1;JunnPln_L.Jnn,cn1;JuninPlain;-10,996;-76,062;1;0;1;1;Confirm Pedro
191;JuninPlain;Peru;Tapia;1999;Junin 12, Chacpas;modern;Stream;epilithic;04.VII.99-1;JunnPln_Jnn12,Ch1;JuninPlain;-11,002;-76,01;1;0;1;1;Confirm Pedro
192;JuninPlain;Peru;Tapia;1999;Junin 6, Chuchucancha R.;modern;River;periphyton;01.VII.99-11;JunnPln_Jnn6,CR.1;JuninPlain;-11,042;-76,188;1;0;1;1;Confirm Pedro
193;JuninPlain;Peru;Tapia;1999;L. Junin, center;modern;Lake;water;25.VI.99-4;JunnPln_L.Jnn,cn2;JuninPlain;-10,996;-76,062;1;0;1;1;Confirm Pedro
194;JuninPlain;Peru;Tapia;1999;L. Junin, center;modern;Lake;water;25.VI.99-5;JunnPln_L.Jnn,cn3;JuninPlain;-10,996;-76,062;1;0;1;1;Confirm Pedro
195;JuninPlain;Peru;Tapia;1999;L. Junin, center;modern;Lake;benthos;25.VI.99-12;JunnPln_L.Jnn,cn4;JuninPlain;-10,996;-76,062;1;0;1;1;Confirm Pedro
196;JuninPlain;Peru;Tapia;1999;L. Junin, shore;modern;Lake;water;25.VI.99-2;JunnPln_L.Jnn,sh1;JuninPlain;-11,058;-76,156;1;0;1;1;Confirm Pedro
197;JuninPlain;Peru;Tapia;1999;L. Junin, shore;modern;Lake;water;25.VI.99-3;JunnPln_L.Jnn,sh2;JuninPlain;-11,058;-76,156;1;0;1;1;Confirm Pedro
198;JuninPlain;Peru;Tapia;1999;L. Junin, shore;modern;Lake;periphyton;25.VI.99-9;JunnPln_L.Jnn,sh3;JuninPlain;-11,058;-76,156;1;0;1;1;Confirm Pedro
199;JuninPlain;Peru;Tapia;1999;L. Junin, shore;modern;Lake;periphyton;25.VI.99-11;JunnPln_L.Jnn,sh4;JuninPlain;-11,058;-76,156;1;0;1;1;Confirm Pedro
200;JuninPlain;Peru;Tapia;1999;Junin 5, Conoc spring;modern;Spring;periphyton;01.VII.99-6;JunnPln_Jnn5,Cns1;JuninPlain;-11,056;-76,158;1;0;1;1;Confirm Pedro
201;JuninPlain;Peru;Tapia;1999;L. Lulicocha, shore;modern;Lake;water;02.VII.99-8;JunnPln_L.Llcc,s2;JuninPlain;-10,778;-76,097;1;0;1;1;Confirm Pedro
202;JuninPlain;Peru;Tapia;1999;L. Paca, 12m deep;modern;Lake;plankton;23.VI.99-4;JunnPln_L.Pc,12d1;JuninPlain;-11,729;-75,507;1;0;1;1;Confirm Pedro
203;JuninPlain;Peru;Tapia;1999;L. Paca, 12m deep;modern;Lake;water;23.VI.99-7;JunnPln_L.Pc,12d2;JuninPlain;-11,729;-75,507;1;0;1;1;Confirm Pedro
204;JuninPlain;Peru;Tapia;1999;L. Paca, 12m deep;modern;Lake;water;23.VI.99-8;JunnPln_L.Pc,12d3;JuninPlain;-11,729;-75,507;1;0;1;1;Confirm Pedro
205;JuninPlain;Peru;Tapia;1999;Junin 4, Ondores spring;modern;Spring;periphyton;01.VII.99-1;JunnPln_Jnn4,Ons1;JuninPlain;-11,082;-76,148;1;0;1;1;Confirm Pedro
206;JuninPlain;Peru;Tapia;1999;L. Paca, inflow stream;modern;Stream;epilithic;23.VI.99-2;JunnPln_L.Pc,ins2;JuninPlain;-11,717;-75,507;1;0;1;1;Confirm Pedro
207;JuninPlain;Peru;Tapia;1999;L. Paca, surface;modern;Lake;water;23.VI.99-5;JunnPln_L.Pc,srf1;JuninPlain;-11,729;-75,507;1;0;1;1;Confirm Pedro
208;JuninPlain;Peru;Tapia;1999;L. Paca, surface;modern;Lake;water;23.VI.99-6;JunnPln_L.Pc,srf2;JuninPlain;-11,729;-75,507;1;0;1;1;Confirm Pedro
209;JuninPlain;Peru;Tapia;1999;L. Paca, surface;modern;Lake;periphyton;23.VI.99-9;JunnPln_L.Pc,srf3;JuninPlain;-11,729;-75,507;1;0;1;1;Confirm Pedro
210;JuninPlain;Peru;Tapia;1999;L. Alcacocha, shore;modern;Lake;periphyton;26.VI.99-5;JunnPln_L.Alcc,s3;JuninPlain;-11,084;-75,935;1;0;1;1;Confirm Pedro
211;JuninPlain;Peru;Tapia;1999;Junin 2, Warmipuquio spring;modern;Spring;periphyton;30.VI.99-5;JunnPln_Jnn2,Wrs1;JuninPlain;-11,113;-76,091;1;0;1;1;Confirm Pedro
212;JuninPlain;Peru;Tapia;1999;L. Purun, shore;modern;Lake;water;03.VII.99-2;JunnPln_L.Prn,sh2;JuninPlain;-10,836;-76,454;1;0;1;1;Confirm Pedro
213;JuninPlain;Peru;Tapia;1999;Junin 3, spring 2;modern;Spring;periphyton;30.VI.99-12;JunnPln_Jnn3,sp21;JuninPlain;-11,124;-76,086;1;0;1;1;Confirm Pedro
214;JuninPlain;Peru;Tapia;1999;L. Tauli, shore;surface sediment;Lake;epipelon;02.VII.99-2;JunnPln_L.Tl,shr2;JuninPlain;-10,724;-76,071;1;0;1;1;Confirm Pedro
215;JuninPlain;Peru;Tapia;1999;Junin 1, Chacachimpa R.;modern;River;periphyton;30.VI.99-1;JunnPln_Jnn1,CR.1;JuninPlain;-11,165;-76,017;1;0;1;1;Confirm Pedro
216;JuninPlain;Peru;Tapia;1999;L. Yanacocha, shore;modern;Lake;water;26.VI.99-8;JunnPln_L.Yncc,s2;JuninPlain;-10,833;-76,036;1;0;1;1;Confirm Pedro
217;JuninPlain;Peru;Tapia;1999;L. Yanacocha, shore;modern;Lake;water;26.VI.99-9;JunnPln_L.Yncc,s3;JuninPlain;-10,833;-76,036;1;0;1;1;Confirm Pedro
218;JuninPlain;Peru;Tapia;1999;L. Yanacocha, shore;modern;Lake;algae;26.VI.99-13;JunnPln_L.Yncc,s4;JuninPlain;-10,833;-76,036;1;0;1;1;Confirm Pedro
219;JuninPlain;Peru;Tapia;1999;Huagapo Cave, inside;modern;Spring;periphyton;28.VI.99-1;JunnPln_HgpCv,in;JuninPlain;-11,268;-75,787;1;0;1;1;Confirm Pedro
220;JuninPlain;Peru;Tapia;1999;Yanacocha 4, outlet channel;surface sediment;channel;epipelon;27.VI.99-12;JunnPln_Yncc4,oc;JuninPlain;-10,872;-76;1;0;1;1;Confirm Pedro
221;JuninPlain;Peru;Tapia;1999;L. Paca, inflow stream;modern;Stream;periphyton;23.VI.99-1;JunnPln_L.Pc,ins1;JuninPlain;-11,717;-75,507;1;0;1;1;Confirm Pedro
222;JuninPlain;Peru;Tapia;1999;Yanacocha 3, spring;modern;Spring;periphyton;27.VI.99-5;JunnPln_Yncch3,s1;JuninPlain;-10,856;-75,972;1;0;1;1;Confirm Pedro
223;JuninPlain;Peru;Tapia;1999;Yanacocha 3, spring;modern;Spring;epilithic;27.VI.99-6;JunnPln_Yncch3,s2;JuninPlain;-10,856;-75,972;1;0;1;1;Confirm Pedro
224;JuninPlain;Peru;Tapia;1999;Yanacocha 3, spring;modern;Spring;water;27.VI.99-8;JunnPln_Yncch3,s3;JuninPlain;-10,856;-75,972;1;0;1;1;Confirm Pedro
225;JuninPlain;Peru;Tapia;1999;Yanacocha 3, spring;modern;Spring;water;27.VI.99-9;JunnPln_Yncch3,s4;JuninPlain;-10,856;-75,972;1;0;1;1;Confirm Pedro
226;LacCore;Ecuador;several;1999;Dos Chorreras;core top;Lake;;26-128xx-1A;LacCore_ChrrrsVl;Ecuador-Andean;-2,77;-79,161;0;1;0;0;
227;LacCore;Chile;several;1993;Laguna Seca;core top;Lake;;ATAC-LS93-3A;LacCore_LagunSec1;Chile-Andean;-18,192;-69,242;0;1;0;1;COUNTED
228;LacCore;Chile;several;1993;Laguna Seca;core top;Lake;;ATAC-LS93-4A;LacCore_LagunSec2;Chile-Andean;-18,192;-69,242;0;1;0;0;
229;LacCore;Argentina;several;2006;Laguna de los Pozuelos;core top;Lake;;AAFBLP-LP06-4A;LacCore_LgndlsPz1;Argentina-Andean;-22,303;-65,993;0;1;0;0;Barren diatoms
230;LacCore;Argentina;several;2006;Laguna de los Pozuelos;core top;Lake;;AAFBLP-LP06-2A;LacCore_LgndlsPz2;Argentina-Andean;-22,305;-66,02;0;1;0;0;
231;LacCore;Argentina;several;2006;Laguna de los Pozuelos;core top;Lake;;AAFBLP-LP06-6A;LacCore_LgndlsPz3;Argentina-Andean;-22,333;-66,001;0;1;0;0;
232;LacCore;Chile;several;1993;Laguna Miscanti;core top;Lake;;ATAC-LM93-1A;LacCore_LgnMscnt1;Chile-Andean;-23,73;-67,77;0;1;0;1;COUNTED
233;LacCore;Chile;several;1993;Laguna Miscanti;core top;Lake;;ATAC-LM93-2A;LacCore_LgnMscnt2;Chile-Andean;-23,73;-67,77;0;1;0;0;
234;LacCore;Chile;several;1993;Laguna del Negro Francisco;core top;Lake;;ATAC-LNF93-1A;LacCore_LgndlNgF1;Chile-Andean;-27,46;-69,23;0;1;0;1;COUNTED
235;LacCore;Chile;several;1993;Laguna del Negro Francisco;core top;Lake;;ATAC-LNF93-2A;LacCore_LgndlNgF2;Chile-Andean;-27,46;-69,23;0;1;0;0;
236;LacCore;Argentina;several;2006;Laguna La Brea;core top;Lake;;AAFBLP-LLB06-2A;LacCore_LagunLBr;Argentina-Andean;-23,858;-64,438;0;1;0;1;COUNTED
237;LacCore;Argentina;several;2007;Laguna Tita Moreno;core top;Lake;;FBOM-LTM07-1A;LacCore_LgnTtMrn;Argentina-Andean;-26,563;-59,416;0;1;0;0;Barren diatoms
238;LacCore;Brazil;several;2009;Lagoon Gaiba;core top;Lake;;FBOM-GVA09-2A;LacCore_LagoGaiv1;Pantanal;-17,769;-57,712;0;1;0;0;Barren diatoms
239;LacCore;Bolivia;several;2005;Lagoon Gaiba;core top;Lake;;FBOM-GVA09-3A;LacCore_LagoGaiv2;Pantanal;-17,769;-57,728;0;1;0;0;Barren diatoms
240;LacCore;Argentina;several;2005;Laguna Bombilla;core top;Lake;;TDF-BML05-1A;LacCore_LgnBmbll;Tierra del Fuego;-54,651;-67,803;0;1;0;0;
241;LacCore;Argentina;several;2005;Aguas Blancas;core top;Lake;;TDF-AGB05-1A;LacCore_AgsBlncs;Tierra del Fuego;-54,628;-67,246;0;1;0;0;
242;LacCore;Argentina;several;2005;unnamed lake;core top;Lake;;TDF-UNM05-1A;LacCore_unnamdlk;Tierra del Fuego;-54,522;-66,283;0;1;0;0;
243;LacCore;Argentina;several;2005;Laguna Amarga;core top;Lake;;TDF-AMA05-1A;LacCore_LagnAmrg;Tierra del Fuego;-50,976;-72,749;0;1;0;0;
244;Lauca Basin;Chile;Fritz-Spanbauer;2014;Chungara;core top;Lake;;CG01-0;LB(Chn)_Chungara1;Lauca Basin;-18,252;-69,163;0;1;1;0;
245;Lauca Basin;Chile;Fritz-Spanbauer;2014;Chungara;core top;Lake;;CG01-6.5;LB(Chn)_Chungara2;Lauca Basin;-18,252;-69,163;0;1;0;0;
246;Lauca Basin;Chile;Fritz-Spanbauer;2014;Chungara;core top;Lake;;CG3-0;LB(Chn)_Chungara3;Lauca Basin;-18,252;-69,163;0;1;1;1;
247;Lauca Basin;Chile;Fritz-Spanbauer;2014;Cota Vinto;modern;Lake;periphyton;CV-1;LaucBsn_CotaVint1;Lauca Basin;-18,207;-69,271;0;1;1;0;
248;Lauca Basin;Chile;Fritz-Spanbauer;2014;Cota Vinto;modern;Lake;periphyton;CV-2;LaucBsn_CotaVint2;Lauca Basin;-18,207;-69,271;0;1;1;0;
249;Lauca Basin;Chile;Fritz-Spanbauer;2014;Cota Vinto;modern;Lake;periphyton;CV-3;LaucBsn_CotaVint3;Lauca Basin;-18,207;-69,271;0;1;1;0;
250;Lauca Basin;Chile;Fritz-Spanbauer;2014;Cotacotani;modern;Lake;periphyton;CC-1;LaucBsn_Cotacotn1;Lauca Basin;-18,205;-69,222;0;1;1;1;
251;Lauca Basin;Chile;Fritz-Spanbauer;2014;Cotacotani;modern;Lake;periphyton;CC-2;LaucBsn_Cotacotn2;Lauca Basin;-18,201;-69,219;0;1;1;0;
252;Lauca Basin;Chile;Fritz-Spanbauer;2014;Cotacotani;modern;Lake;periphyton;CC-3;LaucBsn_Cotacotn3;Lauca Basin;-18,194;-69,214;0;1;0;0;
253;Lauca Basin;Chile;Fritz-Spanbauer;2014;Cotacotani;modern;Lake;periphyton;CC-4A;LaucBsn_Cotacotn4;Lauca Basin;-18,193;-69,211;0;1;0;0;
254;Lauca Basin;Chile;Fritz-Spanbauer;2014;Cotacotani;modern;Lake;periphyton;CC-4B;LaucBsn_Cotacotn5;Lauca Basin;-18,193;-69,211;0;1;0;0;
255;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Suarez;surface sediment;Lake;epipelon;;Myl-B-LagonSrz;Bolivia-Beni;-14,874;-64,865;1;1;0;0;
256;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Cernandez;surface sediment;Lake;epipelon;;Myl-B-LgnCrnnd;Bolivia-Beni;-14,686;-64,767;1;1;0;1;COUNTED
257;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Azul;surface sediment;Lake;epipelon;;Myl-B-LagonAzl;Bolivia-Beni;-14,986;-64,809;1;1;0;1;COUNTED
258;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Coitarama;surface sediment;Lake;epipelon;;Myl-B-LagnCtrm;Bolivia-Beni;-14,502;-64,869;1;1;0;1;COUNTED
259;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Belen;surface sediment;Lake;epipelon;;Myl-B-LagonBln;Bolivia-Beni;-14,454;-64,854;1;1;0;1;COUNTED
260;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Huachi;surface sediment;Lake;epipelon;;Myl-B-LagonHch;Bolivia-Beni;-14,303;-63,403;1;1;0;1;COUNTED
261;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Lomo Suarez;surface sediment;Lake;epipelon;;Myl-B-LgnLmSrz;Bolivia-Beni;-14,759;-64,953;1;1;0;1;COUNTED
262;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Puente de Ibaré;surface sediment;Lake;epipelon;;Myl-B-LgnPntdI;Bolivia-Beni;-14,87;-64,976;1;1;0;1;COUNTED
263;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Isireri;surface sediment;Lake;epipelon;;Myl-B-LagnIsrr;Bolivia-Beni;-14,988;-65,657;1;1;0;0;
264;Mayle-Beni,Pantanal;Bolivia;Mayle;2006;Lagoon Los Puentes;surface sediment;Lake;epipelon;;Myl-B-LgnLsPnt;Bolivia-Beni;-14,88;-65,027;1;1;0;0;
