id;CollectionName;Country;Collector-Analyst;Year;SiteName;SampleType;Habitat;Substrate;code_original;code;region;Lat DD S;Long DD W;EnvironmentalData (1=yes/2=no);Mud;Slides;Count;Observations
25;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Soledad (Uru Uru);modern;Lake;periphyton;3 VI 01-2b;Brdb-SA_LgS(UUr)2;Desaguadero-SAltiplano;-17,745;-67,307;1;0;1;1;COUNTED
26;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Soledad (Uru Uru);modern;Lake;water + algae;3 VI 01-2c;Brdb-SA_LgS(UUr)3;Desaguadero-SAltiplano;-17,745;-67,307;1;0;1;0;
27;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero  Eucaliptus Bridge;modern;channel;periphyton;4 VI 01-2a;Brdb-SA_RDsgdrEB1;Desaguadero-SAltiplano;-17,601;-67,529;1;0;1;0;
28;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero  Eucaliptus Bridge;modern;channel;periphyton;4 VI 01-2b;Brdb-SA_RDsgdrEB2;Desaguadero-SAltiplano;-17,6;-67,529;1;0;1;0;
29;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Eucaliptus Laguna;modern;Lake;periphyton;4 VI 01-3;Brdb-SA_EclptsLg;Desaguadero-SAltiplano;-17,582;-67,515;1;0;1;0;Barren diatoms
30;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Huancaroma Dairy;modern;Wetland;periphyton;4 VI 01-4a;Brdb-SA_HncrmDry1;Desaguadero-SAltiplano;-17,666;-67,483;1;0;1;1;COUNTED
31;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Huancaroma Dairy;modern;Wetland;mud;4 VI 01-4b;Brdb-SA_HncrmDry2;Desaguadero-SAltiplano;-17,661;-67,481;1;0;1;1;COUNTED
32;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Quebrada Huajra Uma;modern;River;periphyton;5 VI 01-1;Brdb-SA_RQbrdHjU;Desaguadero-SAltiplano;-17,503;-68,422;1;0;1;1;COUNTED
33;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Blanca S.  Rio Jalsuri Uma;modern;Stream;periphyton;5 VI 01-2;Brdb-SA_LgBS.RJU1;Desaguadero-SAltiplano;-17,468;-68,549;1;0;1;1;COUNTED
34;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Laguna Blanca S.  Rio Jalsuri Uma;modern;Stream;mud;5 VI 01-3;Brdb-SA_LgBS.RJU2;Desaguadero-SAltiplano;-17,468;-68,549;1;0;1;0;No slide
35;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Salcro Tarquiamaya;modern;Stream;periphyton;5 VI 01-4;Brdb-SA_SlcrTrqm;Desaguadero-SAltiplano;-17,479;-68,586;1;0;1;1;COUNTED
36;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Flood Plain Pond near Pipeline;modern;Pond;periphyton;5 VI 01-6;Brdb-SA_FldPlPnP;Desaguadero-SAltiplano;-17,326;-68,619;1;0;1;1;COUNTED
37;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero Bridge (pipeline);modern;channel;periphyton;5 VI 01-7;Brdb-SA_RDB(ppl);Desaguadero-SAltiplano;-17,313;-68,618;1;0;1;1;COUNTED
38;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Mauri;modern;River;periphyton;5 VI 01-8a;Brdb-SA_RioMauri;Desaguadero-SAltiplano;-17,293;-68,635;1;0;1;1;COUNTED
39;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Mauri algae;modern;River;periphyton;5 VI 01-8b;Brdb-SA_RMauralg;Desaguadero-SAltiplano;-17,293;-68,635;1;0;1;0;
40;Bradbury-SAltiplano;Bolivia;JP Bradbury;2001;Rio Desaguadero at Parco Khota;modern;River;periphyton;6 VI 01-1;Brdb-SA_RDsgdaPK;Desaguadero-SAltiplano;-17,211;-68,678;1;0;1;1;COUNTED
