Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
ENSI;2;1;1;1;1;1;3;Encyonema simile;K. Krammer 1997;;112
ESBG;2;1;-;-;-;-;-;Encyonema subgracile;K. Krammer 1997;;112
ENSU;3;2;-;-;-;-;4;Encyonema subminutum;K. Krammer et H. Lange-Bertalot;;112
ENVE;3;2;3;3;3;5;1;Encyonema ventricosum;(C.A. Agardh) A. Grunow in A. Schmidt et al. 1885;Cymbella ventricosa [1];"112; 152"
EVUL;2;1;1;1;1;1;1;Encyonema vulgare;K. Krammer 1997;Cymbella mesiana [3];"112; 152"
EAQL;2;1;1;1;1;1;4;Encyonopsis aequalis;(W. Smith in R.K. Greville) K. Krammer 1997;Cymbella aequalis;113
ECCF;2;1;1;1;1;1;3;Encyonopsis cesatiformis;K. Krammer 1997;;113
ECES;3;1;1;1;1;1;3;Encyonopsis cesatii;(G.L. Rabenhorst) K. Krammer 1997;Cymbella cesatii;"113; 152"
EDES;2;1;1;1;1;1;-;Encyonopsis descripta;(F. Hustedt) K. Krammer 1997;Cymbella descripta;113
ECFA;3;1;1;1;1;2;3;Encyonopsis falaisensis;(A. Grunow in H.F. van Heurck) K. Krammer 1997;Cymbella falaisensis;"113; 152"
EGRU;2;2;1;1;1;1;-;Encyonopsis grunowii;K. Krammer 1997;Cymbella naviculacea;113
ECKR;3;1;1;1;1;1;3;Encyonopsis krammeri;E. Reichardt in K. Krammer 1997;;"113; 152"
ELCL;3;1;1;1;1;2;3;Encyonopsis lanceola;(A. Grunow) K. Krammer 1997;;113
ENLE;3;2;-;-;-;-;-;Encyonopsis leei;K. Krammer 2003;;117
ENCM;-;2;1;1;1;-;3;Encyonopsis microcephala;(A. Grunow in H.F. van Heurck) K. Krammer 1997;Cymbella microcephala;"113; 152"
EMRO;-;2;-;-;-;-;4;Encyonopsis microcephala var. robusta;(F. Hustedt) K. Krammer 1997;Cymbella microcephala var. robusta;113
ECPM;-;2;1;1;1;-;3;Encyonopsis minuta;K. Krammer et E. Reichardt in K. Krammer 1997;;"113; 152"
ENEE;1;2;1;1;1;1;3;Encyonopsis neerlandica;B. van de Vijver, G.L. Verweij, J. van der Wal et A. Mertens 2012;;292
ENPH;2;1;1;1;1;1;-;Encyonopsis neoamphioxys;K. Krammer 1997;Cymbella amphioxys;113
ESUM;-;1;1;1;1;3;3;Encyonopsis subminuta;K. Krammer et E. Reichardt in K. Krammer 1997;;"113; 152"
EALA;5;5;-;-;-;5;-;Entomoneis alata;(C.G. Ehrenberg) C.G. Ehrenberg 1845;Amphiprora alata;118
ECOS;5;4;-;-;-;-;3;Entomoneis costata;(F. Hustedt) C.W. Reimer in R.M. Patrick et C.W. Reimer 1975;Amphiprora cholnokyi;"118; 326"
EKJE;5;7;-;-;-;-;-;Entomoneis kjellmanii;(Cleve) Poulin & Cardinal  1983;;326
EORN;3;1;1;1;1;2;1;Entomoneis ornata;(J.W. Bailey) C.W. Reimer in R.M. Patrick et C.W. Reimer 1975;Amphiprora ornata;118
EPAL;3;3;-;-;-;-;-;Entomoneis paludosa;(W. Smith) C.W. Reimer in R.M. Patrick et C.W. Reimer 1975;Amphiprora paludosa;118
ENPD;-;3;-;-;-;-;-;Entomoneis paludosa var. duplex;(A.S. Donkin) D.B. Czarnecki et D.C. Reinke 1982;;36
EPSU;3;4;-;-;-;-;-;Entomoneis paludosa var. subsalina;(P.T. Cleve) K. Krammer in H. Lange-Bertalot et K. Krammer 1987;;"118; 152"
EPDU;-;6;-;-;-;-;-;Entomoneis pseudoduplex;K. Osada et H. Kobayasi 1990;;"204; 326"
EPTU;-;5;-;-;-;-;-;Entomoneis punctulata;(A. Grunow) K. Osada et H. Kobayasi 1990;;326
EMUD;4;2;-;-;-;-;-;Eolimna muraloides;(F. Hustedt) H. Lange-Bertalot et M.S. Kulikovskiy 2010;Navicula muraloides;"118; 332"
EOSA;-;-;-;-;-;-;4;Eolimna subadnata;(F. Hustedt) G. Moser, H. Lange-Bertalot et D. Metzeltin 1998;Navicula subadnata;"118; 196"
EADN;5;2;1;2;2;4;2;Epithemia adnata;(F.T. Kützing) G.L. Rabenhorst 1853;"Epithemia adnata var. porcellus; Epithemia adnata var. saxonica; Epithemia zebra";"118; 152"
EARG;4;2;1;1;1;3;3;Epithemia argus;(C.G. Ehrenberg) F.T. Kützing 1844;;"118; 152"
EAAL;4;1;1;1;1;3;4;Epithemia argus var. alpestris;(W. Smith) A. Grunow 1862;;118
EFRI;4;3;-;-;-;5;-;Epithemia frickei;K. Krammer 1987;;"118; 152"
EGOE;4;2;1;1;-;-;3;Epithemia goeppertiana;F.W. Hilse in G.L. Rabenhorst 1861;Epithemia muelleri;"118; 152"
EHYN;4;2;-;-;-;5;-;Epithemia hyndmanii;W. Smith 1850;;118
ESOR;5;3;1;2;2;5;2;Epithemia sorex;F.T. Kützing 1844;;"118; 152"
ETUR;5;2;1;2;2;4;3;Epithemia turgida;(C.G. Ehrenberg) F.T. Kützing 1844;;"118; 152"
ETGR;5;2;1;2;2;4;3;Epithemia turgida var. granulata;(C.G. Ehrenberg) J.-J. Brun 1880;Navicula granulata [1];118
ETWE;5;3;-;-;-;4;-;Epithemia turgida var. westermannii;(C.G. Ehrenberg) A. Grunow 1862;;118
ECGR;-;6;-;-;-;-;-;Eucampia groenlandica;P.T. Cleve 1896;;76
EUZO;-;6;-;-;-;-;-;Eucampia zodiacus;C.G. Ehrenberg 1839;;"66; 304"
EUAL;3;1;1;1;1;1;3;Eucocconeis alpestris;(J.-J. Brun) H. Lange-Bertalot 1999;Achnanthes flexella var. alpestris;"118; 152"
EUAU;-;1;-;-;-;-;-;Eucocconeis austriaca;(F. Hustedt) H. Lange-Bertalot 1999;Achnanthes austriaca [1];"118; 145"
EUFL;3;1;1;1;1;1;3;Eucocconeis flexella;(F.T. Kützing) F. Meister 1912;Achnanthes flexella;"118; 152"
EULA;3;1;1;1;1;1;3;Eucocconeis laevis;(E.V. Østrup) H. Lange-Bertalot 1999;Achnanthes laevis;"118; 152"
EUQU;3;1;-;-;-;-;-;Eucocconeis quadratarea;(E.V. Østrup) H. Lange-Bertalot 1999;Achnanthes lapponica;118
EAMB;-;2;1;1;2;-;-;Eunotia ambivalens;H. Lange-Bertalot et N. Tagliaventi in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;Eunotia bilunaris var. linearis;"151; 152"
EUAG;1;1;1;1;1;1;2;Eunotia angustior;(A. Grunow) H. Lange-Bertalot et N.Tagliaventi in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;Eunotia parallela var. angusta;"118; 151"
EACF;2;1;1;1;1;1;-;Eunotia arcofallax;H. Lange-Bertalot in M. Werum et H. Lange-Bertalot 2004;;151
EARB;4;2;1;1;1;3;3;Eunotia arcubus;M. Nörpel et H. Lange-Bertalot in H. Lange-Bertalot 1993;;"118; 129; 152"
EARL;2;1;1;1;1;2;-;Eunotia arculus;H. Lange-Bertalot et M. Nörpel in H. Lange-Bertalot 1993;;"118; 129"
EARD;3;1;1;1;1;1;3;Eunotia arcuoides;N. Foged 1977;;"118; 151"
EARC;3;1;1;1;1;2;3;Eunotia arcus;C.G. Ehrenberg 1837;;"118; 152"
EBLG;3;2;-;-;2;5;-;Eunotia belgica;B. Van de Vijver et H. Lange-Bertalot in B. Van de Vijver, H. Lange-Bertalot et P. Compère 2010;;151
EBER;1;1;1;1;1;1;3;Eunotia bertrandii;H. Lange-Bertalot et N. Tagliaventi in H. Lange-Bertalot, M. Bąk et A. Witkowski  2011;;151
EBCS;2;1;1;1;1;2;-;Eunotia biconstricta;(A. Grunow in H.F. van Heurck) H. Lange-Bertalot 2011;;151
EUBI;2;1;1;1;1;2;3;Eunotia bidens;C.G. Ehrenberg 1843;;"118; 138; 151; 152"
EBLU;-;2;2;2;2;-;3;Eunotia bilunaris;(C.G. Ehrenberg) J. Schaarschmidt 1881;Eunotia lunaris;"118; 151; 152"
EBOR;2;1;1;1;1;1;3;Eunotia boreotenuis;M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;;151
EBOT;2;1;1;1;1;1;3;Eunotia botuliformis;F. Wild, M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot 1993;;"129; 151; 152"
ECTO;2;1;-;-;-;-;-;Eunotia cantonatii;H. Lange-Bertalot et N. Tagliaventi in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;;151
ECIR;2;1;1;1;1;1;3;Eunotia circumborealis;H. Lange-Bertalot et M. Nörpel-Schempp in H. Lange-Bertalot 1993;;"118; 129"
EDEN;2;1;1;1;1;1;3;Eunotia denticulata;(L.A. de Brébisson ex F.T. Kützing) G.L. Rabenhorst 1864;;"118; 152"
EDIA;2;1;1;1;1;1;3;Eunotia diadema;C.G. Ehrenberg 1837;Eunotia serra var. diadema;"118; 152"
EELE;2;1;1;1;1;1;3;Eunotia elegans;E.V. Østrup 1910;;"118; 309"
EEUR;2;1;1;1;1;1;-;Eunotia eurycephala;(A. Grunow) M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;;151
EEXI;1;2;2;2;3;-;3;Eunotia exigua;(L.A. de Brébisson ex F.T. Kützing) G.L. Rabenhorst 1864;Eunotia gracilis [1];"118; 152"
EEXS;2;1;1;1;1;2;3;Eunotia exsecta;(A. Cleve-Euler) M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;Eunotia veneris var. exsecta;151
EFAB;2;1;1;1;1;2;2;Eunotia faba;C.G. Ehrenberg 1837;"Eunotia faba f. rhomboidea; Eunotia vanheurckii";"118; 152"
EFAO;2;1;1;1;1;1;4;Eunotia fallacoides;H. Lange-Bertalot et M. Cantonati in M. Cantonati et H. Lange-bertalot 2011;;151
EFAL;2;1;1;1;1;1;4;Eunotia fallax;A. Cleve 1895;;"118; 152"
EFLE;2;1;1;1;1;2;3;Eunotia flexuosa;(L.A. de Brébisson ex F.T. Kützing) F.T. Kützing 1849 non sensu auct. nonnull.;;"118; 152"
EFOM;2;2;1;1;1;3;2;Eunotia formicina;H. Lange-Bertalot in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;Eunotia formica [3];151
EGEN;2;1;1;1;1;-;3;Eunotia genuflexa;M. Nörpel-Schempp in H. Lange-Bertalot et D. Metzeltin 1996;;"138; 152"
EGFA;3;1;-;-;-;-;3;Eunotia glacialifalsa;H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2000;;"118; 151; 152"
EGLA;2;1;1;1;1;2;3;Eunotia glacialis;F. Meister 1912;;"118; 129; 151; 152"
EGLS;-;1;1;1;1;1;3;Eunotia glacialispinosa;H. Lange-Bertalot et M. Cantonati in M. Cantonati et H. Lange-Bertalot 2010;;151
EUGR;2;1;1;1;1;1;4;Eunotia groenlandica;(A. Grunow) M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;"Eunotia fallax var. gracillima / var. groenlandica; Eunotia gracillima";"118; 138; 151; 152"
EIAT;2;1;1;1;1;1;-;Eunotia iatriaensis;N. Foged 1970;;151
EIMP;2;1;-;-;1;-;3;Eunotia implicata;M. Nörpel-Schempp, E. Alles et H. Lange-Bertalot in E. Alles, M. Nörpel-Schemp et H. Lange-Bertalot 1991;Eunotia pectinalis f. impressa;"118; 151; 152"
EINC;2;1;1;1;1;1;2;Eunotia incisa;W. Gregory 1854;;"118; 152"
EICD;2;1;-;-;-;1;-;Eunotia incisadistans;H. Lange-Bertalot et E. Sienkiewicz in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;;151
EUIN;2;1;1;1;1;1;3;Eunotia intermedia;(G. Krasske ex F. Hustedt) M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot 1993;Eunotia pectinalis f. intermedia;"118; 129"
EISL;2;1;1;1;1;1;4;Eunotia islandica;E.V. Østrup 1918;Eunotia diodon;"118; 129; 151"
EJUE;-;2;1;1;2;-;3;Eunotia juettnerae;Lange-Bertalot 2011;;151
EUJU;1;1;1;1;1;1;-;Eunotia julii;H. Lange-Bertalot et N. Tagliaventi in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;;151
EKRU;2;1;1;1;1;1;-;Eunotia kruegeri;H. Lange-Bertalot in M. Werum et H. Lange-Bertalot 2004;;151
ELAP;2;1;1;1;1;1;-;Eunotia lapponica;A. Grunow in A. Cleve 1895;;118
EMEI;2;1;1;1;1;1;4;Eunotia meisteri;F. Hustedt 1930;;"118; 152"
EMEO;2;1;1;1;1;1;4;Eunotia meisterioides;H. Lange-Bertalot in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011*;;151
EMRT;2;1;1;1;1;1;3;Eunotia mertensiae;H. Lange-Bertalot in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;;151
EMMO;2;1;1;1;1;2;3;Eunotia metamonodon;H. Lange-Bertalot in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011*;Eunotia monodon [2] [3];"151; 152"
EMIC;2;1;1;1;1;1;4;Eunotia microcephala;G. Krasske ex F. Hustedt 1932;;118
EMIN;3;1;1;1;1;3;4;Eunotia minor;(F.T. Kützing) A. Grunow in H.F. van Heurck 1881;Eunotia pectinalis var. minor;"118; 151; 152"
EMNU;2;1;1;1;1;1;-;Eunotia minutula;A. Grunow 1862;;151
EMNN;2;2;-;-;-;-;-;Eunotia monnieri;H. Lange-Bertalot et N. Tagliaventi in H. Lange-Bertalot, M. Bąk et A. Witkowski  2011;;151
EMON;2;1;1;1;1;1;2;Eunotia monodon;C.G. Ehrenberg 1843;;"118; 129; 151; 152"
EMUC;2;2;2;2;1;2;4;Eunotia mucophila;(H. Lange-Bertalot et al.) H. Lange-Bertalot in in D. Metzeltin et H. Lange-Bertalot 2007;Eunotia bilunaris var. mucophila;"118; 151; 152; 177"
EMUS;3;1;1;1;1;1;5;Eunotia muscicola;G. Krasske 1939;;"118; 153"
ENAE;2;1;1;1;1;1;3;Eunotia naegelii;E.F.A.W. Migula in O.W. Thomé 1907;Eunotia alpina;"118; 151"
ENEC;2;1;1;1;1;1;3;Eunotia neocompacta;S. Mayama in S. Mayama et A. Kawashima 1998;"Eunotia exigua var. compacta; Eunotia nymanniana [2]";"151; 152"
ENVI;2;1;1;1;1;1;3;Eunotia neocompacta var. vixcompacta;H. Lange-Bertalot in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011*;;"151; 152"
ENFA;2;1;1;1;1;1;4;Eunotia neofallax;M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot, K. Külbs, T. Lauser, M. Nörpel-Schempp et M. Willmann 1996;;"151; 152; 153"
EUNE;2;1;1;1;1;1;3;Eunotia neoscandinavica;H. Lange-Bertalot et A. Witkowski in H. Lange-Bertalot, M. Bąk  et A. Witkowski 2011;"Eunotia jemtlandica; Eunotia monodon var. bidens";"118; 129; 151"
EUNV;2;1;1;1;1;1;3;Eunotia novaisiae;H. Lange-Bertalot et L. Ector in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;;151
ENYM;1;2;2;2;2;-;3;Eunotia nymanniana;A. Grunow in H.F. van Heurck 1881 pro parte;"Eunotia exigua [2]; Eunotia steineckei";"118; 151; 152"
EUPA;2;1;1;1;1;1;4;Eunotia paludosa;A. Grunow 1862 s. str.;Eunotia fennica;"152; 294"
EPAR;2;1;1;1;1;1;2;Eunotia parallela;C.G. Ehrenberg 1843;;"118; 151"
EPTD;2;1;1;1;1;1;-;Eunotia paratridentula;H. Lange-Bertalot et M. Kulikovskiy in M.S. Kulikovskiy, H. Lange-Bertalot, A. Witkowski, N.I. Dorofeyuk et S.I. Genkal 2010;Eunotia muscicola var. tridentula;"118; 129; 152"
EPEC;2;1;2;1;2;3;3;Eunotia pectinalis;(F.T. Kützing) G.L. Rabenhorst 1864 non sensu F. Husted, nec sensu H. Germain 1981, nec sensu auct. nonnull.;;"118; 151; 152"
EPXI;2;1;1;1;1;1;2;Eunotia pexii;H. Lange-Bertalot in M. Werum et H. Lange-Bertalot 2004;;"151; 221"
EPIR;1;1;1;1;1;1;3;Eunotia pirla;J.R. Carter et R.J. Flower 1988;;"22; 151"
EPOM;3;2;1;1;1;3;3;Eunotia pomeranica;H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;;151
EPRA;2;1;1;1;1;2;3;Eunotia praerupta;C.G. Ehrenberg 1843 s.str.;;"118; 152"
EPSG;2;1;1;1;1;1;4;Eunotia pseudogroenlandica;H. Lange-Bertalot et N. Tagliaventi in H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;;"124; 145; 151; 152"
EPSP;2;1;1;1;1;2;3;Eunotia pseudopectinalis;F. Hustedt 1924;;"118; 151"
ERHO;2;1;1;1;1;2;3;Eunotia rhomboidea;F. Hustedt 1950;Eunotia tenella [2];"118; 151; 152"
ERHY;2;1;1;1;1;1;3;Eunotia rhynchocephala;F. Hustedt 1936;;"118; 151"
ERUZ;3;2;1;1;1;4;3;Eunotia ruzickae;J. Bilý et P. Marvan 1962;;151
ESAT;2;1;1;1;1;1;-;Eunotia satelles;(M. Nörpel-Schempp et H. Lange-Bertalot) M. Nörpel-Schemmp et H. Lange-Bertalot 1996;Eunotia rhynchocephala var. satelles;"118; 129; 151"
ESED;3;2;-;-;-;-;-;Eunotia sedina;H. Lange-Bertalot, M. Bąk et A. Witkowski 2011;;151
ESEM;2;1;1;1;1;1;-;Eunotia seminulum;M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;;151
ESEP;2;1;1;1;1;1;3;Eunotia septentrionalis;E.V. Østrup 1897;;118
ESER;2;1;1;1;1;1;3;Eunotia serra;C.G. Ehrenberg 1837;Eunotia robusta;118
ESOL;3;1;2;1;2;2;3;Eunotia soleirolii;(F.T. Kützing) G.L. Rabenhorst 1864;Eunotia pectinalis [2];"118; 151; 152"
EUSG;1;1;1;1;1;1;4;Eunotia sphagnicola;B. Van de Vijver, A. Mertens et H. Lange-Bertalot 2022;Eunotia paludosa [2];"118; 151; 152; 294"
ESUB;1;1;1;1;1;1;3;Eunotia subarcuatoides;E. Alles, M. Nörpel-Schempp et H. Lange-Bertalot 1991;Eunotia lunaris var. subarcuata;"4; 118; 152"
ESUD;2;1;1;1;1;2;3;Eunotia sudetica;G.F.O. Müller 1898;;"4; 118; 152"
ETEN;2;1;1;1;1;1;3;Eunotia tenella;(A. Grunow) F. Hustedt in A. Schmidt et al. 1913;Eunotia exigua var. tenella;"118; 152"
ETET;2;1;1;1;1;1;3;Eunotia tetraodon;C.G. Ehrenberg 1838;Eunotia serra var. tetraodon;"118; 129"
ETNC;1;1;1;1;1;1;4;Eunotia trinacria;G. Krasske 1929;Eunotia paludosa var. trinacria;"118; 151"
EURS;2;1;1;1;1;1;-;Eunotia ursamaioris;H. Lange-Bertalot et M. Nörpel-Schempp in H. Lange-Bertalot et S.I. Genkal 1999;Eunotia septentrionalis [2];"118; 138; 141; 145"
EVAL;2;2;1;1;1;1;-;Eunotia valida;F. Hustedt 1930;Eunotia gracilis [2];"118; 152"
EVUD;2;1;1;1;1;1;-;Eunotia variundulata;M. Nörpel-Schempp et H. Lange-Bertalot in H. Lange-Bertalot, K. Külbs, T. Lauser, M. Nörpel-Schempp et M. Willmann 1996;"Eunotia exigua var. tridentula; Eunotia polydentula; Eunotia varioundulata";"118; 246"
EVEN;2;1;1;1;1;2;3;Eunotia veneris;(F.T. Kützing) G.B. De Toni 1892;;118
EUDU;5;7;-;-;-;-;1;Eunotogramma dubium;F. Hustedt 1939;;326
EUMA;5;7;-;-;-;-;-;Eunotogramma marinum;(W. Smith) H. Peragallo et M. Peragallo ex S.L. VanLandingham 1978;;"152; 326"
FAQO;5;7;-;-;-;-;-;Fallacia aequorea;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;;"233; 237; 326"
FAMP;5;7;-;-;-;-;-;Fallacia amphipleuroides;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;;"237; 326"
FARN;4;6;-;-;-;-;-;Fallacia arenaria;K. Sabbe et W. Vyverman in K. Sabbe, W. Vyverman et K. Muylaert 1999;;"237; 326"
FCLE;4;4;-;-;-;-;-;Fallacia clepsidroides;A. Witkowski 1994;;"325; 326"
FCRY;5;5;-;-;-;-;3;Fallacia cryptolyra;(C. Brockmann) A.J. Stickle et D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula cryptolyra;"118; 152; 237; 326"
FDPO;5;7;-;-;-;-;-;Fallacia diploneoides;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula diploneoides;"90; 233; 326"
FDSP;4;2;-;-;-;5;-;Fallacia dissipatoides;(F. Hustedt) D. Metzeltin, H. Lange-Bertalot et F. García-Rodriguez 2005;;"118; 142"
FDIT;-;6;-;-;-;-;-;Fallacia dithmarsica;(D. König in F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula dithmarsica;"233; 326"
FESC;5;7;-;-;-;-;-;Fallacia escorialis;(R. Simonsen) K. Sabbe et W. Vyverman in K. Sabbe, W. Vyverman et K. Muylaert 1999;;"237; 326"
FFLR;4;6;-;-;-;-;-;Fallacia florinae;(M.E.K. Møller) A. Witkowski 1993;Navicula florinae;"325; 326"
FFOR;-;6;-;-;-;-;-;Fallacia forcipata;(R.K. Greville) A.J. Stickle et D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula forcipata;"118; 237; 325; 326"
FAFR;4;2;-;-;-;-;-;Fallacia fracta;(F. Hustedt ex R. Simonsen) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula fracta;"118; 244"
FGEM;-;6;-;-;-;-;-;Fallacia gemmifera;(R. Simonsen) D. G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula gemmifera;"233; 244; 326"
FHEL;4;2;1;1;1;5;-;Fallacia helensis;(P. Schulz-Danzig) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula helensis;118
FHLN;5;7;-;-;-;-;-;Fallacia hyalinula;(G.B. de Toni) A.J. Stickle et D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula hyalinula;"90; 233; 326"
FIND;2;2;-;-;-;-;4;Fallacia indifferens;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula indifferens;118
FINS;3;2;1;1;1;3;4;Fallacia insociabilis;(G. Krasske) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula insociabilis;118
FLEN;4;2;-;1;2;-;-;Fallacia lenzii;H. Lange-Bertalot in M. Werum et H. Lange-Bertalot 2004;Navicula lenzii;"118; 152"
FLIT;5;7;-;-;-;-;-;Fallacia litoricola;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula litoricola;"233; 326"
FLCN;4;4;-;-;3;5;-;Fallacia lucinensis;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula lucinensis;"118; 152"
FMPU;5;6;-;-;-;-;-;Fallacia margino-punctata;K. Sabbe et W. Vyverman in K. Sabbe, W. Vyverman et K. Muylaert 1999;;"237; 326"
FMIT;4;2;-;-;-;-;-;Fallacia mitis;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;;244
FMOC;4;2;3;2;3;5;3;Fallacia monoculata;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula monoculata;"118; 152"
FOCU;4;5;-;-;-;-;-;Fallacia oculiformis;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;;326
FOMI;4;2;-;-;3;5;-;Fallacia omissa;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula monoculata var. omissa;"118; 233"
FAPU;4;6;-;-;-;-;-;Fallacia pulchella;K. Sabbe et K. Muylaert in K. Sabbe, W. Vyverman et K. Muylaert 1999;;"237; 326"
FPYG;5;3;3;3;3;5;2;Fallacia pygmaea;(F.T. Kützing) A.J. Stickle et D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula pygmaea;"118; 152; 233; 325; 326"
FSCL;5;6;-;-;-;-;-;Fallacia scaldensis;K. Sabbe et K. Muylaert in K. Sabbe, W. Vyverman et K. Muylaert 1999;;"237; 326"
FSTA;4;2;-;-;-;-;-;Fallacia standeriella;(R.E.M. Archibald) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula standeriella;118
FSBH;3;2;1;1;2;4;3;Fallacia subhamulata;(A. Grunow in H.F. van Heurck) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula subhamulata;"118; 152"
FSLU;4;2;-;-;2;3;-;Fallacia sublucidula;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula sublucidula;"118; 244"
FTNR;4;5;3;3;3;5;3;Fallacia tenera;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;"Navicula tenera; Fallacia auriculata; Navicula dissipata";"118; 152; 237; 325; 326"
FVER;5;7;-;-;-;-;-;Fallacia versicolor;(A. Grunow) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula versicolor;"233; 326"
FVTR;1;1;1;1;1;1;4;Fallacia vitrea;(E.V. Østrup) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;"Navicula festiva; Frustulia vitrea; Navicula vitrea [1] [3]";118
FPEL;4;2;-;-;-;2;4;Fistulifera pelliculosa;(L.A. de Brébisson ex F.T. Kützing) H. Lange-Bertalot 1997;Navicula pelliculosa;"118; 134; 152"
FSAP;3;2;3;4;4;5;3;Fistulifera saprophila;(H. Lange-Bertalot et K. Bonik) H. Lange-Bertalot 1997;Navicula saprophila;"118; 134; 152"
FFIN;5;6;-;-;-;-;-;Fogedia finmarchica;(P.T. Cleve et A. Grunow) A. Witkowski et al. in A. Witkowski, D. Metzeltin, H. Lange-Bertalot et G. Bafana 1997;Navicula finmarchica;"250; 326"
FGEI;5;6;-;-;-;-;-;Fogedia geisslerae;A. Witkowski, D. Metzeltin et H. Lange-Bertalot in A. Witkowski et al. 1997;;326
FHTV;5;4;-;-;-;-;-;Fogedia heterovalvata;(R. Simonsen) A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;326
FACE;3;1;1;1;1;1;-;Fragilaria acerosa;B. Van de Vijver, C.E. Wetzel, A. Jarlman et L. Ector in B. Van de Vijver, D.M. Williams, W.-H. Kusber, M. Cantonati, P.B. Hamilton, C.E. Wetzel et L. Ector 2022;;290
FACI;2;1;1;1;1;3;-;Fragilaria acidoclinata;H. Lange-Bertalot et G. Hofmann in H. Lange-Bertalot 1993;;"118; 129; 152; 285"
FAEQ;3;2;1;1;2;4;-;Fragilaria aequalis;P.A.C. Heiberg 1863;Fragilaria tenuistriata;"272; 285; 287"
FALP;3;1;1;1;1;5;4;Fragilaria alpestris;G. Krasske ex F. Hustedt 1931;;"118; 285"
FAMI;4;5;-;-;-;-;-;Fragilaria amicorum;A. Witkowski et H. Lange-Bertalot 1993;;"324; 326"
FAPH;4;2;1;1;1;2;-;Fragilaria amphicephala;(F.T. Kützing) H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;Fragilaria capucina ssp./var. amphicephala;"118; 152; 285"
