Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
CBVM;2;1;-;-;-;-;-;Chamaepinnularia brevissima;(Hustedt) C.E.Wetzel & Ector 2013;Navicula brevissima;313
CHEV;3;2;1;1;1;3;4;Chamaepinnularia evanida;(F. Hustedt) H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;Navicula evanida;"118; 138; 152"
CHKF;3;3;1;1;2;4;3;Chamaepinnularia krookiformis;(K. Krammer) H. Lange-Bertalot et K. Krammer in H. Lange-Bertalot et S.I. Genkal 1999;Pinnularia krookiformis;"111; 118; 141"
CHKK;3;2;-;1;2;5;3;Chamaepinnularia krookii;(A. Grunow) H. Lange-Bertalot et K. Krammer in H. Lange-Bertalot et S.I. Genkal 1999;"Pinnularia krookii; Pinnularia globiceps var. krookii; Pinnularia ignobilis";"111; 141"
CMGN;5;5;-;-;-;-;-;Chamaepinnularia margaritiana;(A. Witkowski) A. Witkowski in H. Lange-Bertalot et D. Metzeltin 1996;;"138; 325; 326"
CHME;2;1;1;1;1;1;4;Chamaepinnularia mediocris;(G. Krasske) H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;Navicula mediocris;"118; 138; 152"
CMEA;2;1;1;1;1;1;4;Chamaepinnularia mediocris var. atomus;(F. Hustedt) H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;Navicula mediocris var. atomus;"138; 244"
CHOB;2;1;1;1;1;1;5;Chamaepinnularia obsoleta;(Hustedt) C.E.Wetzel & Ector 2013;Navicula obsoleta;"118; 313"
CHRH;2;1;1;1;1;1;4;Chamaepinnularia rhombelliptica;H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;;138
CHSO;2;1;1;1;1;1;4;Chamaepinnularia soehrensis;(G. Krasske) H. Lange-Bertalot et K. Krammer in H. Lange-Bertalot et D. Metzeltin 1996;Navicula soehrensis;"118; 138; 152"
CHSC;2;1;1;1;1;1;4;Chamaepinnularia soehrensis var. capitata;(G. Krasske) H. Lange-Bertalot et K. Krammer in H. Lange-Bertalot et D. Metzeltin 1996;Navicula soehrensis var. capitata;"138; 153"
CHSH;2;1;1;1;1;1;4;Chamaepinnularia soehrensis var. hassiaca;(G. Krasske) H. Lange-Bertalot et K. Krammer in H. Lange-Bertalot et D. Metzeltin 1996;Navicula soehrensis var. hassiaca;"118; 138"
CHSM;2;1;1;1;1;1;4;Chamaepinnularia soehrensis var. muscicola;(J.B. Petersen) H. Lange-Bertalot et K. Krammer in H. Lange-Bertalot et D. Metzeltin 1996;Navicula soehrensis var. muscicola;"118; 138"
CSMU;-;2;-;-;-;-;4;Chamaepinnularia submuscicola;(G. Krasske) H. Lange-Bertalot in M. Werum et H. Lange-Bertalot 2004;Navicula submuscicola;"118; 152; 309"
CWIK;5;5;-;-;-;5;-;Chamaepinnularia wiktoriae;(A. Witkowski et H. Lange-Bertalot) A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;Navicula wiktoriae;"325; 326"
CCPB;5;7;-;-;-;-;-;Cocconeiopsis breviata;(F. Hustedt) A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;Navicula breviata;326
COCC;5;6;-;-;-;-;-;Cocconeis costata;W. Gregory 1855;;"66; 326"
