TaxonId;Authority;Year;Genus;TaxonName;Informal;Species;Variety
PI006A;(Ehrenb.) W. Sm.;1853;Pinnularia;Pinnularia mesolepta;;mesolepta;
FSN057;NORD-CHILL;;Pinnularia;Pinnularia microstauron;;microstauron;
PI011A;(Ehrenb.) Cleve;1891;Pinnularia;Pinnularia microstauron;;microstauron;
PT987;EDDI Global Training Set;2001;Pinnularia;Pinnularia microstauron (agg.);x;microstauron (agg.);
XXC925;EDDI Salinity Training Set;2001;Pinnularia;Pinnularia microstauron (agg.);x;microstauron (agg.);
PI011C;(O. Müll.) Hust.;1930;Pinnularia;Pinnularia microstauron fo. biundulata;;microstauron;
PI011G;(Kütz.) A. Mayer;1912;Pinnularia;Pinnularia microstauron var. brebissonii;;microstauron;brebissonii
PI037A;(Grun.) Cleve;1896;Pinnularia;Pinnularia molaris;;molaris;
PI038A;(Ehrenb.) Ehrenb.;1843;Pinnularia;Pinnularia nobilis;;nobilis;
FSN058;NORD-CHILL;1997;Pinnularia;Pinnularia nodosa;;nodosa;
PI042A;(Ehrenb.) W. Sm.;1856;Pinnularia;Pinnularia nodosa;;nodosa;
PI139A;Krasske;1932;Pinnularia;Pinnularia obscura;;obscura;
PI144A;(Ralfs in Pritch.) A. Cleve-Euler;1922;Pinnularia;Pinnularia parvula;;parvula;
PI039A;(Ehrenb.) Cleve;1891;Pinnularia;Pinnularia platycephala;;platycephala;
PI040A;(Breb. ex Kütz.) W. Sm.;1856;Pinnularia;Pinnularia polyonca;;polyonca;
PI168A;Ostrup;;Pinnularia;Pinnularia pulchra;;pulchra;
PI056A;Hantzsch in Rabenh.;1861;Pinnularia;Pinnularia rupestris;;rupestris;
XXU990;EDDI pH Training Set;2001;Pinnularia;Pinnularia rupestris (agg.);x;rupestris (agg.);
UME507;(Hustedt) Krammer;1985;Pinnularia;Pinnularia schroederii;;schroederii;
PI052A;J.B. Petersen;1935;Pinnularia;Pinnularia silvatica;;silvatica;
PI9999;;;Pinnularia;Pinnularia sp.;;sp.;
A_ZZZ939;NGC;;Pinnularia;Pinnularia sp. (small, capitate fo.) (Etang d'Aube);x;sp. (small, capitate fo.) (Etang d'Aube);
A_pi1;JG-ALPE;;Pinnularia;Pinnularia sp1;x;sp1;
S_ZZZ995;VJJ (Svalbard);;Pinnularia;Pinnularia sp1 (SBAF);x;sp1 (SBAF);
B_ZZZ993;PIRLA;;Pinnularia;Pinnularia sp18;x;sp18;
A_ZZZ996;Roland Schmidt;;Pinnularia;Pinnularia sp2;x;sp2;
S_ZZZ994;VJJ (Svalbard);;Pinnularia;Pinnularia sp2 (SBAH);x;sp2 (SBAH);
B_ZZZ987;PIRLA;;Pinnularia;Pinnularia sp5;x;sp5;
PI157A;(Grun.) Cleve;1896;Pinnularia;Pinnularia stauntonii;;stauntonii;
PI024A;(Grun. ex A. Schmidt) Cleve;1891;Pinnularia;Pinnularia stomatophora;;stomatophora;
PI022A;Greg.;1856;Pinnularia;Pinnularia subcapitata;;subcapitata;
XXA984;EDDI Global Training Set;2001;Pinnularia;Pinnularia subcapitata (agg.);x;subcapitata (agg.);
PI022B;(Janisch ex Rabenh.) O. Müll.;1898;Pinnularia;Pinnularia subcapitata var. hilseana;;subcapitata;hilseana
PI009A;(Grun. in Van Heurck) Cleve;1896;Pinnularia;Pinnularia sublinearis;;sublinearis;
F_PI016D;(A. Cleve) A. Cleve-Euler;1955;Pinnularia;Pinnularia subrostrata;;subrostrata;
PI161A;(A. Cleve) A. Cleve-Euler;1955;Pinnularia;Pinnularia subrostrata;;subrostrata;
PI028A;(Grun.) Cleve;1896;Pinnularia;Pinnularia subsolaris;;subsolaris;
PI054A;Hilse;1861;Pinnularia;Pinnularia sudetica;;sudetica;
PI026A;Gregory;;Pinnularia;Pinnularia tenuis;;tenuis;
PI164A;(Ehrenb.) Patr. in Patr. & Reimer;1966;Pinnularia;Pinnularia termitina;;termitina;
AF_4250;Hust.;;Pinnularia;Pinnularia tropica;;tropica;
PI020A;Greg.;1854;Pinnularia;Pinnularia undulata;;undulata;
PI007A;(Nitzsch) Ehrenb.;1843;Pinnularia;Pinnularia viridis;;viridis;
PI007E;(Hilse) Hust.;;Pinnularia;Pinnularia viridis var. sudetica;;viridis;sudetica
PG004A;(Greg.) O. Kuntze;1898;Plagiotropis;Plagiotropis lepidoptera;;lepidoptera;
PL003A;(Kütz.) W. Sm.;1852;Pleurosigma;Pleurosigma acuminatum;;acuminatum;
PL002A;W. Sm.;1852;Pleurosigma;Pleurosigma elongatum;;elongatum;
PL050A;(Grun.) Grun. in Cleve & Grun.;1880;Pleurosigma;Pleurosigma salinarum;;salinarum;
PL9999;;;Pleurosigma;Pleurosigma sp.;;sp.;
POI999;;;Podosira;Podosira sp.;;sp.;
PS001A;(Grun. in Van Heurck) Williams & Round;1987;Pseudostaurosira;Pseudostaurosira brevistriata;;brevistriata;
PS002A;(Marciniak) Williams & Round;1987;Pseudostaurosira;Pseudostaurosira pseudoconstruens;;pseudoconstruens;
RA9999;;;Rhaphoneis;Rhaphoneis sp.;;sp.;
RZ001A;Zacharias;;Rhizosolenia;Rhizosolenia longiseta;;longiseta;
RC002A;(Ag.) Lange-Bertalot;1980;Rhoicosphenia;Rhoicosphenia abbreviata;;abbreviata;
RC001A;(Kütz.) Grun.;1860;Rhoicosphenia;Rhoicosphenia curvata;;curvata;
XXC924;EDDI Salinity Training Set;2001;Rhopalodia;Rhopalodia acuminata (agg.);x;acuminata (agg.);
RH008A;(Grun.) Krammer;1987;Rhopalodia;Rhopalodia acuminata var. protracta;;acuminata;protracta
RH001A;(Ehrenb.) O. Müll.;1895;Rhopalodia;Rhopalodia gibba;;gibba;
XXC953;EDDI Salinity Training Set;2001;Rhopalodia;Rhopalodia gibba (agg.);x;gibba (agg.);
XXG925;EDDI TP Training Set;2001;Rhopalodia;Rhopalodia gibba (agg.);x;gibba (agg.);
AF_4602;(Ehr.) O. Müller;;Rhopalodia;Rhopalodia gibba + v. ventricosa;;gibba + v. ventricosa;
C_Rhogvp;J. Reed (Caspian dataset);;Rhopalodia;Rhopalodia gibba var. parallela;;gibba;parallela
RH0036M;(Grunow) H. & M. Peragallo;1897-1908;Rhopalodia;Rhopalodia gibba var. parallela;;gibba;parallela
RH003A;(Ehrenb.) O. Müll.;1895;Rhopalodia;Rhopalodia gibberula;;gibberula;
XXC952;EDDI Salinity Training Set;2001;Rhopalodia;Rhopalodia gibberula (agg.);x;gibberula (agg.);
AF_4604;(Pantocsek) Tempere et Peragullo;1909;Rhopalodia;Rhopalodia gibberula var. debyi;;gibberula;debyi
RH003E;(W. Sm.) O. Müll.;1899;Rhopalodia;Rhopalodia gibberula var. rupestris;;gibberula;rupestris
AF_4608;O. Müller;;Rhopalodia;Rhopalodia gracilis;;gracilis;
RH002A;(Kütz.) O. Müll.;1899;Rhopalodia;Rhopalodia musculus;;musculus;
RH006B;(Ag.) Hakansson;1979;Rhopalodia;Rhopalodia operculata;;operculata;
RH006A;(Breb. ex W. Sm.) R. Ross in Hartley;1986;Rhopalodia;Rhopalodia operculata var. constricta;;operculata;constricta
RH9999;;;Rhopalodia;Rhopalodia sp.;;sp.;
AF_4614;O. Müller;;Rhopalodia;Rhopalodia vermicularis;;vermicularis;
SW_SCPE;A. Lotter;;Scoliopleura;Scoliopleura cf. peisonis;;peisonis;
SC001A;Grun.;;Scoliopleura;Scoliopleura peisonis;;peisonis;
SL003A;(Grun. in Van Heurck) Mann;1990;Sellaphora;Sellaphora minima;;minima;
SL002A;(Grun.) Mann;1990;Sellaphora;Sellaphora seminulum;;seminulum;
SE001A;(Ehrenb.) Patr. in Patr. & Reimer;1966;Semiorbis;Semiorbis hemicyclus;;hemicyclus;
SIM01A;(Grun. in Van Heurck) Lange-Bertalot;1979;Simonsenia;Simonsenia delognei;;delognei;
SF001A;(Lange-Bertalot) Flower, Jones & Round;1996;Stauroforma;Stauroforma exiguiformis;;exiguiformis;
AF_4804;Cholnoky & Klaus;;Stauroneis;Stauroneis abbottii;;abbottii;
SA009A;W. Sm.;1853;Stauroneis;Stauroneis acuta;;acuta;
AF_4805;Pet./Hust.;;Stauroneis;Stauroneis aerophila + S. nana;;aerophila + S. nana;
XXC923;EDDI Salinity Training Set;2001;Stauroneis;Stauroneis aerophila/nana (agg.);x;aerophila/nana (agg.);
SA019A;J.B. Petersen;1915;Stauroneis;Stauroneis agrestis;;agrestis;
SA004A;Hust.;1943;Stauroneis;Stauroneis alpina;;alpina;
SA001A;Ehrenb.;1843;Stauroneis;Stauroneis anceps;;anceps;
XXC951;EDDI Salinity Training Set;2001;Stauroneis;Stauroneis anceps (agg.);x;anceps (agg.);
AF_4802;Ehr.;;Stauroneis;Stauroneis anceps + v. linearis + f. gracilis;;anceps + v. linearis + f. gracilis;
SA001B;Rabenh.;1864;Stauroneis;Stauroneis anceps fo. gracilis;;anceps;
SA001F;Rabenh.;1864;Stauroneis;Stauroneis anceps fo. linearis;;anceps;
SA001C;M. Perag. & Brun in Herib.;1893;Stauroneis;Stauroneis anceps var. hyalina;;anceps;hyalina
SA026A;A. Cleve-Euler;1934;Stauroneis;Stauroneis biundulata;;biundulata;
SA017A;(Peterson) Hustedt;1959;Stauroneis;Stauroneis borrichi var. subcapitata;;borrichi;subcapitata
SA9996;H. Bennion;1992;Stauroneis;Stauroneis cf. agrestis;;agrestis;
SA9998;L. Hir (SF);1986;Stauroneis;Stauroneis cf. anceps (v. 1);;anceps (v. 1);
SA9995M;(Hustedt) Krammer & Lange-Bertalot;1985;Stauroneis;Stauroneis cf. tackei;;tackei;
SA038A;Hust.;1959;Stauroneis;Stauroneis dubitabilis;;dubitabilis;
SA042A;Hust.;1943;Stauroneis;Stauroneis gracillima;;gracillima;
SA012A;Patr.;1945;Stauroneis;Stauroneis kriegeri;;kriegeri;
SA005A;(Ehrenb.) Kütz.;1844;Stauroneis;Stauroneis legumen;;legumen;
SA015A;Hust.;1959;Stauroneis;Stauroneis lundii;;lundii;
SA055A;Krasske ex Hust.;1930;Stauroneis;Stauroneis montana;;montana;
SA9994M;Krammer & Lange-Bertalot;1991;Stauroneis;Stauroneis neoproducta;;neoproducta;
SA058A;Lagerst.;1873;Stauroneis;Stauroneis obtusa;;obtusa;
XXC922;EDDI Salinity Training Set;2001;Stauroneis;Stauroneis obtusa (agg.);x;obtusa (agg.);
SA058B;Krasske;;Stauroneis;Stauroneis obtusa var. catarinensis;;obtusa;catarinensis
SA013A;Hust.;1945;Stauroneis;Stauroneis palustris;;palustris;
SA006A;(Nitzsch) Ehrenb.;1943;Stauroneis;Stauroneis phoenicenteron;;phoenicenteron;
SA008A;Grun. in Van Heurck;1880;Stauroneis;Stauroneis producta;;producta;
SA011A;Krieger;;Stauroneis;Stauroneis pygmaea;;pygmaea;
SA063A;W. Sm.;1853;Stauroneis;Stauroneis salina;;salina;
SA003A;Grun.;1860;Stauroneis;Stauroneis smithii;;smithii;
XXC921;EDDI Salinity Training Set;2001;Stauroneis;Stauroneis smithii (agg.);x;smithii (agg.);
SA9999;;;Stauroneis;Stauroneis sp.;;sp.;
A_sta3;JG-ALPE;;Stauroneis;Stauroneis sp1;;sp1;
AF_4819;(Hust.) Krammer & Lange-B.;;Stauroneis;Stauroneis tackei;;tackei;
SA072A;Poretskii & Anisimova;1933;Stauroneis;Stauroneis wislouchii;;wislouchii;
SR001A;Ehrenb.;1843;Staurosira;Staurosira construens;;construens;
SS001A;(Grun. in Van Heurck) Williams & Round;1987;Staurosirella;Staurosirella lapponica;;lapponica;
SS002A;(Ehrenb.) Williams & Round;1987;Staurosirella;Staurosirella pinnata;;pinnata;
SP003A;;;Stenopterobia;Stenopterobia alpina;;alpina;
SP004A;A. Cleve;1939;Stenopterobia;Stenopterobia arctica;;arctica;
SP006A;(W Smith) Krammer;1987;Stenopterobia;Stenopterobia curvula;;curvula;
SP005A;(Lewis) M. Perag.;1897;Stenopterobia;Stenopterobia delicatissima;;delicatissima;
SP002A;(Greg.) R. Ross in Hartley;1986;Stenopterobia;Stenopterobia sigmatella;;sigmatella;
XXU896;EDDI pH Training Set;2001;Stenopterobia;Stenopterobia sigmatella (agg.);x;sigmatella (agg.);
SP002B;(Fontell) R. Ross in Hartley;1986;Stenopterobia;Stenopterobia sigmatella var. capitata;;sigmatella;capitata
SP9999;;;Stenopterobia;Stenopterobia sp.;;sp.;
UN9990M;Genkal & Kuzmin;1985;Stephanocostis;Stephanocostis chantaicus;;chantaicus;
ST009A;Hust.;;Stephanodiscus;Stephanodiscus alpinus;;alpinus;
AF_5001;Grun.;;Stephanodiscus;Stephanodiscus astraea + v. minutula;;astraea + v. minutula;
ST015A;(Kütz.) Kreiger;1927;Stephanodiscus;Stephanodiscus binderanus;;binderanus;
ST9989M;S. Wunsam;;Stephanodiscus;Stephanodiscus cf. alpinus;;alpinus;
XXG999;EDDI TP Training Set;2001;Stephanodiscus;Stephanodiscus cf. alpinus/medius (agg.);;alpinus/medius (agg.);
ST9996M;S. Wunsam;;Stephanodiscus;Stephanodiscus cf. hantzschii var. tenuis;;hantzschii;tenuis
AF_5003;Hust.;;Stephanodiscus;Stephanodiscus damasii;;damasii;
ST001A;Grun. in Cleve & Grun.;1880;Stephanodiscus;Stephanodiscus hantzschii;;hantzschii;
TS998;DR & CP;;Stephanodiscus;Stephanodiscus hantzschii (agg.);x;hantzschii (agg.);
XXC920;EDDI Salinity Training Set;2001;Stephanodiscus;Stephanodiscus hantzschii (agg.);x;hantzschii (agg.);
XXG973;EDDI TP Training Set;2001;Stephanodiscus;Stephanodiscus hantzschii (agg.);x;hantzschii (agg.);
ST001DM;Hustedt;1939;Stephanodiscus;Stephanodiscus hantzschii fo. tenuis;;hantzschii;
ST001B;Grun.;;Stephanodiscus;Stephanodiscus hantzschii var. pusilla;;hantzschii;pusilla
ST014A;Hakansson;1986;Stephanodiscus;Stephanodiscus medius;;medius;
ST004A;(Kütz.) Round;;Stephanodiscus;Stephanodiscus minutula;;minutula;
F_ST003B;(Kütz.) Cleve & Moller;;Stephanodiscus;Stephanodiscus minutulus;;minutulus;
ST021A;(Kütz.) Cleve & Moller;;Stephanodiscus;Stephanodiscus minutulus;;minutulus;
XXG974;EDDI TP Training Set;2001;Stephanodiscus;Stephanodiscus minutulus (agg.);x;minutulus (agg.);
ST012A;(Ehr.) Grun.;;Stephanodiscus;Stephanodiscus minutus;;minutus;
ST022A;Hakansson & Hickel;1986;Stephanodiscus;Stephanodiscus neoastraea;;neoastraea;
AF_5006;H.L. Smith;;Stephanodiscus;Stephanodiscus oregoniae;;oregoniae;
ST010A;Stoermer & Hakansson;1984;Stephanodiscus;Stephanodiscus parvus;;parvus;
XXA980;EDDI Global Training Set;2001;Stephanodiscus;Stephanodiscus parvus (agg.);x;parvus (agg.);
XXC967;EDDI Salinity Training Set;2001;Stephanodiscus;Stephanodiscus parvus (agg.);x;parvus (agg.);
XXG967;EDDI TP Training Set;2001;Stephanodiscus;Stephanodiscus parvus (agg.);x;parvus (agg.);
ST019B;(Kütz.) Hendey;1964;Stephanodiscus;Stephanodiscus rotula var. rotula;;rotula;rotula
ST9999;;;Stephanodiscus;Stephanodiscus sp.;;sp.;
ST002A;Hust.;1939;Stephanodiscus;Stephanodiscus tenuis;;tenuis;
SRI03A;(Lyngb.) Ag.;1832;Striatella;Striatella unipunctata;;unipunctata;
SU017A;W. Sm.;1856;Surirella;Surirella amphioxys;;amphioxys;
SU001A;Kütz.;1844;Surirella;Surirella angusta;;angusta;
SU074A;Ehrenb.;1843;Surirella;Surirella bifrons;;bifrons;
SU014A;Hust. ex A. Mayer;1917;Surirella;Surirella birostrata;;birostrata;
SU004A;Breb. & Godey;1835;Surirella;Surirella biseriata;;biseriata;
SU004B;(Ehrenb.) Hust.;1911;Surirella;Surirella biseriata var. bifrons;;biseriata;bifrons
SU004D;Hust.;1911;Surirella;Surirella biseriata var. constricta;;biseriata;constricta
SU9996M;Maly;1895;Surirella;Surirella bohemica;;bohemica;
SU073A;Krammer & Lange-Bertalot;1987;Surirella;Surirella brebisonii;;brebisonii;
XXC919;EDDI Salinity Training Set;2001;Surirella;Surirella brebisonii (agg.);x;brebisonii (agg.);
SU073B;Krammer & Lange-Bertalot;1987;Surirella;Surirella brebisonii var. kuetzingii;;brebisonii;kuetzingii
SU030A;Ehrenb.;1854;Surirella;Surirella constricta;;constricta;
SU032A;Breb. ex Kütz.;1849;Surirella;Surirella crumena;;crumena;
SU006A;Lewis;1864;Surirella;Surirella delicatissima fo. delicatissima;;delicatissima;
SU012A;Ehrenb.;1843;Surirella;Surirella elegans;;elegans;
AF_5310;O. Müller;;Surirella;Surirella engleri;;engleri;
AF_5315;O. Müller;;Surirella;Surirella fasciculata;;fasciculata;
AF_5320;O. Müller;;Surirella;Surirella fullebornii;;fullebornii;
SU038A;(W. Sm.) Grun.;1862;Surirella;Surirella gracilis;;gracilis;
SU039A;Brun;1880;Surirella;Surirella helvetica;;helvetica;
SU044A;Ostr.;1918;Surirella;Surirella islandica;;islandica;
SU075A;A. Cleve;1895;Surirella;Surirella lapponica;;lapponica;
SU005A;W. Sm.;1853;Surirella;Surirella linearis;;linearis;
SU005B;Grun.;1862;Surirella;Surirella linearis var. constricta;;linearis;constricta
SU016A;Breb. ex Kütz.;1849;Surirella;Surirella minuta;;minuta;
AF_5330;Forti;;Surirella;Surirella mulleri;;mulleri;
AF_5335;O. Müller;;Surirella;Surirella nyassae;;nyassae;
SU003A;Breb.;1838;Surirella;Surirella ovalis;;ovalis;
XXC918;EDDI Salinity Training Set;2001;Surirella;Surirella ovalis (agg.);x;ovalis (agg.);
XXG924;EDDI TP Training Set;2001;Surirella;Surirella ovalis/brebisonii (agg.);x;ovalis/brebisonii (agg.);
SU002A;Kütz.;1844;Surirella;Surirella ovata;;ovata;
SU002C;(Breb. ex Kütz.) Hust.;1930;Surirella;Surirella ovata var. crumena;;ovata;crumena
A_ZZZ956;Leclercq;1983;Surirella;Surirella roba;;roba;
SU076A;Leclercq;1983;Surirella;Surirella roba;;roba;
SU010A;Ehrenb.;1840;Surirella;Surirella robusta;;robusta;
SU010C;(Ehrenb.) Van Heurck;1885;Surirella;Surirella robusta var. splendida;;robusta;splendida
SU9999;S. Wunsam;;Surirella;Surirella sp.;;sp.;
SU063A;Kütz.;1844;Surirella;Surirella spiralis;;spiralis;
SU008A;Turpin;1828;Surirella;Surirella striatula;;striatula;
SU007A;Greg.;1856;Surirella;Surirella tenera;;tenera;
SU070A;A. Cleve-Euler;1951;Surirella;Surirella variabilis;;variabilis;
SY003A;Kütz.;1844;Synedra;Synedra acus;;acus;
XXA990;EDDI Global Training Set;2001;Synedra;Synedra acus (agg.);x;acus (agg.);
XXC992;EDDI Salinity Training Set;2001;Synedra;Synedra acus (agg.);x;acus (agg.);
XXG986;EDDI TP Training Set;2001;Synedra;Synedra acus (agg.);x;acus (agg.);
XXU996;EDDI pH Training Set;2001;Synedra;Synedra acus (agg.);x;acus (agg.);
SY003C;(Grun. in Van Heurck) Van Heurck;1885;Synedra;Synedra acus var. angustissima;;acus;angustissima
SY003B;(Kütz.) Hust.;1930;Synedra;Synedra acus var. radians;;acus;radians
SY007A;Kütz.;1844;Synedra;Synedra amphicephala;;amphicephala;
SY007B;(Grun. in Van Heurck) Hust.;1932;Synedra;Synedra amphicephala var. austriaca;;amphicephala;austriaca
SY027A;Greg.;1857;Synedra;Synedra baculus;;baculus;
SY012A;Lemm.;1900;Synedra;Synedra berolinensis;;berolinensis;
A_ZZZ976;NGC;;Synedra;Synedra cf. acus (fo.);;acus (fo.);
SY9989;CASS (P. Rioual);1997;Synedra;Synedra cf. nana (swollen central area);;nana (swollen central area);
AF_5435;El Hamouti 1989;;Synedra;Synedra cf. sp1 (Synedra/Fragilaria);;sp1 (Synedra/Fragilaria);
SY037A;(Ag.) Kütz.;1844;Synedra;Synedra crystallina;;crystallina;
AF_5415;West;;Synedra;Synedra cunningtonii;;cunningtonii;
SY011A;W. Sm.;1853;Synedra;Synedra delicatissima;;delicatissima;
XXG987;EDDI TP Training Set;2001;Synedra;Synedra delicatissima sensu PR;;delicatissima sensu PR;
AF_5409;O. Müller;;Synedra;Synedra dorsiventralis;;dorsiventralis;
SY043A;Kütz.;1844;Synedra;Synedra famelica;;famelica;
SY005A;(Ag.) Kütz.;1844;Synedra;Synedra fasciculata;;fasciculata;
SY082A;Cholnoky;1963;Synedra;Synedra hartii;;hartii;
SY010A;Grun. in Van Heurck;1881;Synedra;Synedra minuscula;;minuscula;
SY009A;Meister;1912;Synedra;Synedra nana;;nana;
SY004A;(W. Sm.) Hust.;1930;Synedra;Synedra parasitica;;parasitica;
SY004B;(Grun. in Van Heurck) Hust.;1930;Synedra;Synedra parasitica var. subconstricta;;parasitica;subconstricta
AF_5408;Grun.;;Synedra;Synedra provincialis;;provincialis;
SY008A;Ralfs ex Kütz.;1844;Synedra;Synedra pulchella;;pulchella;
SY017A;Kütz.;1844;Synedra;Synedra radians;;radians;
SY002A;Kütz.;1844;Synedra;Synedra rumpens;;rumpens;
AF_5418;(Grun.) Hust.;;Synedra;Synedra rumpens  var. neogena;;rumpens;neogena
XXC983;EDDI Salinity Training Set;2001;Synedra;Synedra rumpens (agg.);x;rumpens (agg.);
XXG983;EDDI TP Training Set;2001;Synedra;Synedra rumpens (agg.);x;rumpens (agg.);
SY9988;P. Rioual & C. Sayer;1998;Synedra;Synedra rumpens (Lac d'Aydat form);;rumpens (Lac d'Aydat form);
AF_5417;Kütz.;;Synedra;Synedra rumpens + v. fragilarioides;;rumpens + v. fragilarioides;
SY002B;(Kütz.) Hust.;1930;Synedra;Synedra rumpens var. familiaris;;rumpens;familiaris
SY002C;Grun. in Van Heurck;1881;Synedra;Synedra rumpens var. fragilarioides;;rumpens;fragilarioides
SY002D;Grun.;;Synedra;Synedra rumpens var. scotica;;rumpens;scotica
SY9999;;;Synedra;Synedra sp.;;sp.;
UME427;TK 1992;;Synedra;Synedra sp. (long);x;sp. (long);
SY015A;(Ag.) Kütz.;1844;Synedra;Synedra tabulata;;tabulata;
F_FR060A;W. Sm.;1856;Synedra;Synedra tenera;;tenera;
SY013A;W. Sm.;1856;Synedra;Synedra tenera;;tenera;
SY077A;(Kütz.) Kütz.;1844;Synedra;Synedra tenuissima;;tenuissima;
SY001A;(Nitzsch) Ehrenb.;1836;Synedra;Synedra ulna;;ulna;
XXG922;EDDI TP Training Set;2001;Synedra;Synedra ulna (agg.);x;ulna (agg.);
SY001G;(Ehrenb.) Grun.;1862;Synedra;Synedra ulna var. amphirhynchus;;ulna;amphirhynchus
SY001H;(Kütz.) Schonf.;1907;Synedra;Synedra ulna var. biceps;;ulna;biceps
SY001C;(Kütz.) Van Heurck;1885;Synedra;Synedra ulna var. danica;;ulna;danica
SY001D;Hust.;1932;Synedra;Synedra ulna var. oxyryhnchus fo. mediocontracta;;ulna;oxyryhnchus
B_ZZZ989;Hustedt;1932;Synedra;Synedra utermoehli;;utermoehli;
SY016A;(Kütz.) Kütz.;1844;Synedra;Synedra vaucheriae;;vaucheriae;
TA003A;(Ehrenb.) Grun. in Van Heurck;1881;Tabellaria;Tabellaria binalis;;binalis;
F_OX001B;Flower (unpub);1986;Tabellaria;Tabellaria binalis  fo. elliptica;;binalis;
TA003B;Flower (unpub);1986;Tabellaria;Tabellaria binalis fo. elliptica;;binalis;
TA9998;SWAP 1988;;Tabellaria;Tabellaria cf. flocculosa (long);;flocculosa (long);
TA9997;SWAP 1988;;Tabellaria;Tabellaria cf. flocculosa (short);;flocculosa (short);
TA002A;(Lyngb.) Kütz.;1844;Tabellaria;Tabellaria fenestrata;;fenestrata;
FSN061;NORD-CHILL;1997;Tabellaria;Tabellaria flocculosa;;flocculosa;
TA001A;(Roth) Kütz.;1844;Tabellaria;Tabellaria flocculosa;;flocculosa;
PT999;EDDI Global Training Set;2001;Tabellaria;Tabellaria flocculosa (agg.);x;flocculosa (agg.);
TA9996;SWAP 1988;;Tabellaria;Tabellaria flocculosa (agg.);x;flocculosa (agg.);
XXG981;EDDI TP Training Set;2001;Tabellaria;Tabellaria flocculosa (agg.);x;flocculosa (agg.);
XXU895;EDDI pH Training Set;2001;Tabellaria;Tabellaria flocculosa (agg.);x;flocculosa (agg.);
TA001E;Koppen;;Tabellaria;Tabellaria flocculosa type IV;;flocculosa type IV;
TA001C;(Grun. in Van Heurck) Knudson;1952;Tabellaria;Tabellaria flocculosa var. asterionelloides;;flocculosa;asterionelloides
TA004A;Knudson;1952;Tabellaria;Tabellaria quadriseptata;;quadriseptata;
PT985;EDDI Global Training Set;2001;Tabellaria;Tabellaria quadriseptata (agg.);x;quadriseptata (agg.);
XXG980;EDDI TP Training Set;2001;Tabellaria;Tabellaria quadriseptata (agg.);x;quadriseptata (agg.);
TA9999;;;Tabellaria;Tabellaria sp.;;sp.;
TU003A;(Ag.) Williams & Round;1986;Tabularia;Tabularia fasciculata;;fasciculata;
AF_6401;Ehr.;;Terpsinoe;Terpsinoe musica;;musica;
AF_6400;;;Terpsinoe;Terpsinoe sp.;;sp.;
TE001A;Ralfs;1843;Tetracyclus;Tetracyclus lacustris;;lacustris;
AF_5701;(Gasse) Hasle;;Thalassiosira;Thalassiosira faurii;;faurii;
TH002A;Hust.;1926;Thalassiosira;Thalassiosira fluviatilis;;fluviatilis;
TH016A;Hasle;1978;Thalassiosira;Thalassiosira guillardii;;guillardii;
TH031A;(Hust.) Hasle & Heimdal;1970;Thalassiosira;Thalassiosira pseudonana;;pseudonana;
TH003A;transfer to Th not published;;Thalassiosira;Thalassiosira rudolfi;;rudolfi;
AF_5703;(Bach.) Hasle;;Thalassiosira;Thalassiosira rudolfi petit;x;rudolfi petit;
TH9999;;;Thalassiosira;Thalassiosira sp.;;sp.;
TH038A;(Grun. in Van Heurck) Fryxell & Hasle;1977;Thalassiosira;Thalassiosira weissflogii;;weissflogii;
TCA999;;;Triceratium;Triceratium sp.;;sp.;
TR004A;(Greg.) Cleve;1894;Tropidoneis;Tropidoneis lepidoptera;;lepidoptera;
FR9986;;;Unknown;Unknown cf. Fragilaria/Synedra;;Fragilaria/Synedra;
A_ZZZ966;;;Unknown;Unknown diatom;x;diatom;
UN9999;;;Unknown;Unknown diatom;x;diatom;
UN9998;;;Unknown;Unknown naviculaceae;x;naviculaceae;
UN9987M;S. Wunsam;;Unknown;Unknown Pennate (1);x;Pennate (1);
UN9988M;S. Wunsam;;Unknown;Unknown Pennate (2);x;Pennate (2);
UN9997M;S. Wunsam;;Unknown;Unknown Pennate (3);x;Pennate (3);
S_ZZZ991;VJJ (Svalbard);;Unknown;Unknown sp. (centric);x;sp. (centric);
UN9993;H. Bennion;1992;Unknown;Unknown sp1 (Centric);x;sp1 (Centric);
UN9992;H. Bennion;1992;Unknown;Unknown sp2 (Centric);x;sp2 (Centric);
UN9991;H. Bennion;1992;Unknown;Unknown sp3 (Centric);x;sp3 (Centric);
A_ZZZ941;NGC;;Unknown;Unknown sp9 (Stavsvatn);x;sp9 (Stavsvatn);
UN9994;;;Unknown;Unknown undif.;x;undif.;
UN9995;;;Unknown;Unknown undif.;x;undif.;
FSN999;;;Unknown;Unknown unknown;x;unknown;
UN9997;;;Unknown;Unknown unknown;x;unknown;
