year;number ID;Number tropical;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;;
2008;653;49;Tanzania;02 55 S;2;55;2 55;;S;35 50 E;35;50;35 50;;E;no local affiliations;Africa
2008;656;50;Tanzania;06 15 20.04 S;6;15;6 15;20,04;S;29 30 38.77 E;29;30;29 30;38,77;E;one local affiliation. Coauthor;Africa
2008;666;51;Venezuela;08 51.165 N;8;51;8 51;;N;70 52.449 W;70;52;70 52;;W;no local affiliations;America
2008;678;52;Venezuela;10 10 N;10;10;10 10;;N;67 45 W;67;45;67 45;;W;no local affiliations;America
2008;679;53;Chile;18 14 51 S;18;14;18 14;51;S;69 09 45 W;69;9;69 9;45;W;no local affiliations;America
2008;687;54;Uganda;00 22 N;0;22;0 22;;N;29 54 E;29;54;29 54;;E;one local affiliation. Coauthor;Africa
2008;688;55;Ghana;06 30 N;6;30;6 30;;N;01 25 W;1;25;1 25;;W;no local affiliations;Africa
2008;734;56;United States, hawaii;21 35 N;21;35;21 35;;N;157 48 W;157;48;157 48;;W;All local affiliations;America
2007;762;57;Kenya;00 46 31 S;0;46;0 46;31;S;36 22 17 E;36;22;36 22;17;E;no local affiliations;Africa
2007;789;58;Tanzania;09 20 S;9;20;9 20;;S;33 45 E;33;45;33 45;;E;one local affiliation. Coauthor;Africa
2007;791;59;Ethiopia;05 00 N;5;0;5 0;;N;37 00 E;37;0;37 0;;E;no local affiliations;Africa
2007;797;60;Tanganyika;06 15 S;6;15;6 15;;S;29 30 E;29;30;29 30;;E;No local affiliations;Africa
2006;843;61;China;16 39 N;16;39;16 39; ;N;112 43 E;112;43;112 43;;E;Principal and several local affiliations;Asia
2006;844;62;Kenya;0 21 22 S;0;21;0 21;22;S;36 06 00 E;36;6;36 6;0;E;No local affiliations;Africa
2006;853;63;Tanzania;06 33.154 S;6;33;6 33;;S;29 58.306 E;29;34;29 34;;E;one local affiliation. Coauthor;Africa
2006;859;64;Mexico;19 02 29 N;19;2;19 2;29;N;98 12 22 W;98;12;98 12;22;W;no local affiliations;America
2006;876;65;Mexico;20 07 N;20;7;20 7;;N;102 40 W;102;40;102 40;;W;principal and several local affiliations;America
2006;885;66;Tanzania;06 15 S;6;15;6 15; ;S;29 30 E;29;30;29 30;;E;no local affiliations;Africa
2006;894;67;Java;07 59 S;7;59;7 59; ;S;113 23 E;113;23;113 23;;E;no local affiliations;Asia
2006;911;68;Mexico;18 36 N;18;36;18 36; ;N;9520 W;95;20;95 20;;W;All local affiliations;America
2005;921;69;Mexico;19 51 N;19;51;19 51;;N;101 40 W;101;40;101 40;;W;no local affiliations;America
2005;941;70;Mexico;19 08 N;19;8;19 8;;N;99 31 W;99;31;99 31;;W;all local affiliations;America
2005;952;71;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;one local affiliation. Coauthor;Africa
2005;953;72;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;one local affiliation. Coauthor;Africa
2005;954;73;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;one local affiliation. Coauthor;Africa
2005;955;74;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;no local affiliations;Africa
2005;956;75;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;no local affiliations;Africa
2005;957;76;Tanzania;3 18 S;3;18;3 18;;S;29 05 E;29;5;29 5;;E;no local affiliations;Africa
