Volume;Issue;Month;Year;number by year;number total published (number ID);Title;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;proxies;time period;;;
53;4;April;2015;26;26;The early Miocene paleolake Manuherikia: vegetation heterogeneity and warm-temperate to subtropical climate in southern New Zealand;New Zealand;45 20 S;45;20;45 20;;S;169 60 E;169;60;169 60;;E;Floral proxies;Early Miocene;;;
;;;2015;27;27;Siliceous microfossil changes in impact and reference lakes in the uranium mining region of the Athabasca basin in northern Saskatchewan;Canada;59 17 26,20 N;59;17;59 17;26,2;N;109 23 01,03 W;109;23;109 23;1,03;W;Diatoms, Chrysophytes;Late Holocene;;;
;;;2015;28;28;Effects of glacier meltwater on the algal sedimentary record of an alpine lake in the central US Rocky Mountains throughout the late Holocene;United States ;45 05 19,16 N;45;5;45 5;19,16;N;111 17 31,27 W;111;17;111 17;31,27;W;Diatoms, nitrogen;Late Holocene;;;
;;;2015;29;29;Organic lacustrine sediment varves as indicators of past precipitation changes: a 3,000-year climate record from Central Finland;Finland;62 33 39,75 N;62;33;62 33;39,75;N;27 00 09,35 E;27;0;27 0;9,35;E;organic matter;Late Holocene;;;
;;;2015;30;30;Holocene sea level and environmental change on the west coast of South Africa: evidence from plant biomarkers, stable isotopes and pollen;South Africa;32 20 03,85 S;32;20;32 20;3,85;S;18 25 08,12 E;18;25;18 25;8,12;E;plant biomarkers, stable isotopes;Holocene;;;
;;;2015;31;31;The rail-cutter: a simple, cheap and compact system for opening sediment cores in the lab and field;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2015;32;32;Recommendations for a system to photograph core segments and create stitched images of complete cores;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;3;March;2015;33;33;Ecosystem response to human- and climate-induced environmental stress on an anoxic coastal lagoon (Etoliko, Greece) since 1930 AD;Greece;38 28 02,56 N;38;28;38 28;2,56;N;21 19 58,96 E;21;19;21 19;58,96;E;XRF, Palynomorphs;Late Holocene;;;
;;;2015;34;34;The paleohydrology of Sluice Pond, NE Massachusetts, and its regional significance;United States ;42 29 19,55 N;42;29;42 29;19,55;N;70 57 51,92 W;70;57;70 57;51,92;W;stable isotopes;late Pleistocene, Holocene;;;
;;;2015;35;35;Diatom community response to extreme water-level fluctuations in two Alpine lakes: a core case study;Italy;46 08 34 N;46;8;46 8;34;N;10 42 20 E;10;42;10 42;20;E;diatoms;Late Holocene;;;
;;;2015;36;36;Lake morphometry controls the remobilization and long-term geochemical imprint of distal tephra deposition;United States ;43 58 41,28 N;43;58;43 58;41,28;N;114 53 00,92 W;114;53;114 53;0,92;W;XRF, Elemental composition, tephra;Late Pleistocene, Holocene;;;
;;;2015;37;37;A comment on Lai et al. (2014) concerning the origin of the Shell Bar section from the Qaidam Basin, NE Tibetan Plateau: lake formation versus river channel deposit, and 14C versus OSL dates;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
